Year,title,display,Bundesland,Value
2015,Share of expenditure for official development assistance in gross national income,Time series,HE,0.03
2010,Share of expenditure for official development assistance in gross national income,Time series,HH,0.04
2011,Share of expenditure for official development assistance in gross national income,Time series,HH,0.03
2012,Share of expenditure for official development assistance in gross national income,Time series,HH,0.03
2013,Share of expenditure for official development assistance in gross national income,Time series,HH,0.03
2014,Share of expenditure for official development assistance in gross national income,Time series,HH,0.04
2015,Share of expenditure for official development assistance in gross national income,Time series,HH,0.04
2010,Share of expenditure for official development assistance in gross national income,Time series,MV,0.02
2011,Share of expenditure for official development assistance in gross national income,Time series,MV,0.02
2012,Share of expenditure for official development assistance in gross national income,Time series,MV,0.02
2013,Share of expenditure for official development assistance in gross national income,Time series,MV,0.02
2014,Share of expenditure for official development assistance in gross national income,Time series,MV,0.02
2015,Share of expenditure for official development assistance in gross national income,Time series,MV,0.03
2010,Share of expenditure for official development assistance in gross national income,Time series,NI,0.03
2011,Share of expenditure for official development assistance in gross national income,Time series,NI,0.03
2012,Share of expenditure for official development assistance in gross national income,Time series,NI,0.03
2013,Share of expenditure for official development assistance in gross national income,Time series,NI,0.02
2014,Share of expenditure for official development assistance in gross national income,Time series,NI,0.03
2015,Share of expenditure for official development assistance in gross national income,Time series,NI,0.03
2010,Share of expenditure for official development assistance in gross national income,Time series,NW,0.03
2011,Share of expenditure for official development assistance in gross national income,Time series,NW,0.03
2012,Share of expenditure for official development assistance in gross national income,Time series,NW,0.03
2013,Share of expenditure for official development assistance in gross national income,Time series,NW,0.02
2014,Share of expenditure for official development assistance in gross national income,Time series,NW,0.02
2015,Share of expenditure for official development assistance in gross national income,Time series,NW,0.03
2010,Share of expenditure for official development assistance in gross national income,Time series,RP,0.02
2011,Share of expenditure for official development assistance in gross national income,Time series,RP,0.02
2012,Share of expenditure for official development assistance in gross national income,Time series,RP,0.02
2013,Share of expenditure for official development assistance in gross national income,Time series,RP,0.02
2014,Share of expenditure for official development assistance in gross national income,Time series,RP,0.02
2015,Share of expenditure for official development assistance in gross national income,Time series,RP,0.02
2010,Share of expenditure for official development assistance in gross national income,Time series,SH,0.02
2011,Share of expenditure for official development assistance in gross national income,Time series,SH,0.02
2012,Share of expenditure for official development assistance in gross national income,Time series,SH,0.02
2013,Share of expenditure for official development assistance in gross national income,Time series,SH,0.02
2014,Share of expenditure for official development assistance in gross national income,Time series,SH,0.02
2015,Share of expenditure for official development assistance in gross national income,Time series,SH,0.02
2010,Share of expenditure for official development assistance in gross national income,Time series,SL,0.03
2011,Share of expenditure for official development assistance in gross national income,Time series,SL,0.03
2012,Share of expenditure for official development assistance in gross national income,Time series,SL,0.04
2013,Share of expenditure for official development assistance in gross national income,Time series,SL,0.05
2014,Share of expenditure for official development assistance in gross national income,Time series,SL,0.04
2015,Share of expenditure for official development assistance in gross national income,Time series,SL,0.04
2010,Share of expenditure for official development assistance in gross national income,Time series,SN,0.02
2011,Share of expenditure for official development assistance in gross national income,Time series,SN,0.02
2012,Share of expenditure for official development assistance in gross national income,Time series,SN,0.03
2013,Share of expenditure for official development assistance in gross national income,Time series,SN,0.03
2014,Share of expenditure for official development assistance in gross national income,Time series,SN,0.03
2015,Share of expenditure for official development assistance in gross national income,Time series,SN,0.04
2010,Share of expenditure for official development assistance in gross national income,Time series,ST,0.04
2011,Share of expenditure for official development assistance in gross national income,Time series,ST,0.04
2012,Share of expenditure for official development assistance in gross national income,Time series,ST,0.04
2013,Share of expenditure for official development assistance in gross national income,Time series,ST,0.04
2014,Share of expenditure for official development assistance in gross national income,Time series,ST,0.05
2015,Share of expenditure for official development assistance in gross national income,Time series,ST,0.05
2010,Share of expenditure for official development assistance in gross national income,Time series,TH,0.02
2011,Share of expenditure for official development assistance in gross national income,Time series,TH,0.03
2012,Share of expenditure for official development assistance in gross national income,Time series,TH,0.03
2013,Share of expenditure for official development assistance in gross national income,Time series,TH,0.03
2014,Share of expenditure for official development assistance in gross national income,Time series,TH,0.04
2015,Share of expenditure for official development assistance in gross national income,Time series,TH,0.04
