Year,Units,display,criminal offences,Bundesland,GeoCode,Value
2016,per 100 000 inhabitants,a) time series,other criminal offences,a) germany (total),,6306
2017,per 100 000 inhabitants,a) time series,other criminal offences,a) germany (total),,5572
2018,per 100 000 inhabitants,a) time series,other criminal offences,a) germany (total),,5412
2019,per 100 000 inhabitants,a) time series,other criminal offences,a) germany (total),,5280
1993,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,Baden-Württemberg,6123
1994,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,Baden-Württemberg,5729
1995,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,Baden-Württemberg,5676
1996,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,Baden-Württemberg,5763
1997,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,Baden-Württemberg,5823
1998,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,Baden-Württemberg,5611
1999,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,Baden-Württemberg,5508
2000,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,Baden-Württemberg,5459
2001,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,Baden-Württemberg,5551
2002,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,Baden-Württemberg,5730
2003,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,Baden-Württemberg,5547
2004,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,Baden-Württemberg,6220
2005,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,Baden-Württemberg,5883
2006,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,Baden-Württemberg,5795
2007,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,Baden-Württemberg,5815
2008,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,Baden-Württemberg,5629
2009,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,Baden-Württemberg,5516
2010,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,Baden-Württemberg,5457
2011,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,Baden-Württemberg,5562
2012,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,Baden-Württemberg,5455
2013,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,Baden-Württemberg,5450
2014,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,Baden-Württemberg,5592
2015,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,Baden-Württemberg,5761
2016,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,Baden-Württemberg,5599
2017,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,Baden-Württemberg,5295
2018,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,Baden-Württemberg,5191
2019,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bw,Baden-Württemberg,5184
1993,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,Bayern,5699
1994,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,Bayern,5756
1995,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,Bayern,5659
1996,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,Bayern,5792
1997,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,Bayern,5841
1998,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,Bayern,5729
1999,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,Bayern,5712
2000,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,Bayern,5655
2001,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,Bayern,5790
2002,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,Bayern,5672
2003,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,Bayern,5755
2004,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,Bayern,5802
2005,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,Bayern,5533
2006,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,Bayern,5455
2007,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,Bayern,5392
2008,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,Bayern,5200
2009,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,Bayern,5130
2010,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,Bayern,5017
2011,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,Bayern,5032
2012,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,Bayern,5038
2013,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,Bayern,5073
2014,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,Bayern,5164
2015,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,Bayern,6350
2016,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,Bayern,6871
2017,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,Bayern,4868
2018,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,Bayern,4889
2019,per 100 000 inhabitants,a) time series,a) criminal offences (overall),by,Bayern,4615
1993,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,Berlin,16398
1994,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,Berlin,15961
1995,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,Berlin,16889
1996,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,Berlin,17333
1997,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,Berlin,17393
1998,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,Berlin,17432
1999,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,Berlin,17206
2000,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,Berlin,16849
2001,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,Berlin,17385
2002,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,Berlin,17758
2003,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,Berlin,17174
2004,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,Berlin,16500
2005,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,Berlin,15614
2006,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,Berlin,15240
2007,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,Berlin,15220
2008,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,Berlin,14796
2009,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,Berlin,15188
2010,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,Berlin,14526
2011,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,Berlin,15080
2012,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,Berlin,14892
2013,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,Berlin,14908
2014,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,Berlin,15873
2015,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,Berlin,16414
2016,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,Berlin,16161
2017,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,Berlin,14558
2018,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,Berlin,14160
2019,per 100 000 inhabitants,a) time series,a) criminal offences (overall),be,Berlin,14086
1993,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,Brandenburg,12919
1994,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,Brandenburg,12974
1995,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,Brandenburg,12097
1996,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,Brandenburg,11742
1997,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,Brandenburg,11312
1998,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,Brandenburg,10872
1999,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,Brandenburg,9786
2000,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,Brandenburg,9925
2001,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,Brandenburg,9556
2002,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,Brandenburg,9511
2003,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,Brandenburg,9613
2004,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,Brandenburg,9407
2005,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,Brandenburg,8975
2006,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,Brandenburg,8816
2007,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,Brandenburg,9010
2008,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,Brandenburg,8365
2009,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,Brandenburg,8070
2010,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,Brandenburg,8267
2011,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,Brandenburg,8031
2012,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,Brandenburg,7955
2013,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,Brandenburg,8052
2014,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,Brandenburg,8004
2015,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,Brandenburg,7660
2016,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,Brandenburg,7479
2017,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,Brandenburg,7015
2018,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,Brandenburg,6902
2019,per 100 000 inhabitants,a) time series,a) criminal offences (overall),bb,Brandenburg,6841
1993,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,Bremen,16134
1994,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,Bremen,14849
1995,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,Bremen,14855
1996,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,Bremen,14963
1997,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,Bremen,14447
1998,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,Bremen,13343
1999,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,Bremen,13049
2000,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,Bremen,14085
2001,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,Bremen,14219
2002,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,Bremen,14556
2003,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,Bremen,14482
2004,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,Bremen,15418
2005,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,Bremen,14716
2006,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,Bremen,14546
2007,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,Bremen,14638
2008,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,Bremen,14452
2009,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,Bremen,14239
2010,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,Bremen,13644
2011,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,Bremen,14277
2012,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,Bremen,13311
2013,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,Bremen,13059
2014,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,Bremen,12744
2015,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,Bremen,13784
2016,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,Bremen,13687
2017,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,Bremen,11960
2018,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,Bremen,10943
2019,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hb,Bremen,11454
1993,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,Hamburg,16920
1994,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,Hamburg,15402
1995,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,Hamburg,16735
1996,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,Hamburg,16124
1997,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,Hamburg,17664
1998,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,Hamburg,16924
1999,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,Hamburg,16854
2000,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,Hamburg,17030
2001,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,Hamburg,19007
2002,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,Hamburg,15993
2003,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,Hamburg,16144
2004,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,Hamburg,15529
2005,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,Hamburg,14583
2006,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,Hamburg,14051
2007,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,Hamburg,14027
2008,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,Hamburg,13888
2009,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,Hamburg,13932
2010,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,Hamburg,13240
2011,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,Hamburg,13418
2012,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,Hamburg,13245
2013,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,Hamburg,13724
2014,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,Hamburg,13743
2015,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,Hamburg,13839
2016,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,Hamburg,13384
2017,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,Hamburg,12480
2018,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,Hamburg,11941
2019,per 100 000 inhabitants,a) time series,a) criminal offences (overall),hh,Hamburg,11451
1993,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,Hessen,8363
1994,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,Hessen,7940
1995,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,Hessen,7776
1996,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,Hessen,7710
1997,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,Hessen,7628
1998,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,Hessen,7452
1999,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,Hessen,7136
2000,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,Hessen,6988
2001,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,Hessen,6801
2002,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,Hessen,7104
2003,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,Hessen,7535
2004,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,Hessen,7671
2005,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,Hessen,7329
2006,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,Hessen,7099
2007,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,Hessen,7016
2008,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,Hessen,6802
2009,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,Hessen,6810
2010,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,Hessen,6732
2011,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,Hessen,6648
2012,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,Hessen,6601
2013,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,Hessen,6429
2014,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,Hessen,6566
2015,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,Hessen,6616
2016,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,Hessen,6672
2017,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,Hessen,6046
2018,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,Hessen,5971
2019,per 100 000 inhabitants,a) time series,a) criminal offences (overall),he,Hessen,5823
1993,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,Mecklenburg-Vorpommern,13812
1994,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,Mecklenburg-Vorpommern,11898
1995,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,Mecklenburg-Vorpommern,12060
1996,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,Mecklenburg-Vorpommern,11705
1997,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,Mecklenburg-Vorpommern,11666
1998,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,Mecklenburg-Vorpommern,11311
1999,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,Mecklenburg-Vorpommern,10500
2000,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,Mecklenburg-Vorpommern,10267
2001,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,Mecklenburg-Vorpommern,10447
2002,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,Mecklenburg-Vorpommern,10001
2003,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,Mecklenburg-Vorpommern,10863
2004,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,Mecklenburg-Vorpommern,10412
2005,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,Mecklenburg-Vorpommern,9402
2006,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,Mecklenburg-Vorpommern,9029
2007,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,Mecklenburg-Vorpommern,9016
2008,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,Mecklenburg-Vorpommern,8881
2009,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,Mecklenburg-Vorpommern,8425
2010,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,Mecklenburg-Vorpommern,7968
2011,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,Mecklenburg-Vorpommern,7953
2012,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,Mecklenburg-Vorpommern,7883
2013,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,Mecklenburg-Vorpommern,7529
2014,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,Mecklenburg-Vorpommern,7304
2015,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,Mecklenburg-Vorpommern,7333
2016,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,Mecklenburg-Vorpommern,7632
2017,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,Mecklenburg-Vorpommern,6850
2018,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,Mecklenburg-Vorpommern,6745
2019,per 100 000 inhabitants,a) time series,a) criminal offences (overall),mv,Mecklenburg-Vorpommern,6916
1993,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,Niedersachsen,8597
1994,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,Niedersachsen,7710
1995,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,Niedersachsen,7788
1996,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,Niedersachsen,7516
1997,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,Niedersachsen,7424
1998,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,Niedersachsen,7286
1999,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,Niedersachsen,7018
2000,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,Niedersachsen,7206
2001,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,Niedersachsen,7219
2002,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,Niedersachsen,7727
2003,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,Niedersachsen,7523
2004,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,Niedersachsen,7437
2005,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,Niedersachsen,7618
2006,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,Niedersachsen,7657
2007,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,Niedersachsen,7717
2008,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,Niedersachsen,7516
2009,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,Niedersachsen,7549
2010,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,Niedersachsen,7473
2011,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,Niedersachsen,7099
2012,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,Niedersachsen,7167
2013,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,Niedersachsen,7015
2014,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,Niedersachsen,7095
2015,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,Niedersachsen,7263
2016,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,Niedersachsen,7090
2017,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,Niedersachsen,6621
2018,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,Niedersachsen,6362
2019,per 100 000 inhabitants,a) time series,a) criminal offences (overall),ni,Niedersachsen,6346
1993,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,Nordrhein-Westfalen,7806
1994,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,Nordrhein-Westfalen,7518
1995,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,Nordrhein-Westfalen,7681
1996,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,Nordrhein-Westfalen,7762
1997,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,Nordrhein-Westfalen,7579
1998,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,Nordrhein-Westfalen,7456
1999,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,Nordrhein-Westfalen,7461
2000,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,Nordrhein-Westfalen,7435
2001,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,Nordrhein-Westfalen,7709
2002,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,Nordrhein-Westfalen,8176
2003,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,Nordrhein-Westfalen,8373
2004,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,Nordrhein-Westfalen,8566
2005,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,Nordrhein-Westfalen,8417
2006,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,Nordrhein-Westfalen,8367
2007,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,Nordrhein-Westfalen,8407
2008,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,Nordrhein-Westfalen,8193
2009,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,Nordrhein-Westfalen,8257
2010,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,Nordrhein-Westfalen,8203
2011,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,Nordrhein-Westfalen,8615
2012,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,Nordrhein-Westfalen,8654
