Year,title,display,dimension,Bundesland,Value
2014,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),BB,0.35
2015,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),BB,0.21
2016,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),BB,-0.2
2010,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),BE,-2.56
2011,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),BE,-2.38
2012,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),BE,-0.6
2013,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),BE,-0.22
2014,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),BE,0.19
2015,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),BE,0.11
2016,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),BE,0.11
2010,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),BW,-0.62
2011,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),BW,-0.24
2012,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),BW,-0.23
2013,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),BW,-0.36
2014,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),BW,-0.19
2015,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),BW,-0.25
2016,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),BW,-0.37
2010,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),BY,-0.77
2011,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),BY,-0.27
2012,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),BY,-0.04
2013,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),BY,-0.15
2014,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),BY,-0.14
2015,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),BY,-0.03
2016,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),BY,-0.31
2010,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),HB,-3.72
2011,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),HB,-4.24
2012,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),HB,-2.93
2013,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),HB,-2.66
2014,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),HB,-2.19
2015,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),HB,-1.82
2016,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),HB,-2.43
2010,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),HE,-1.41
2011,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),HE,-0.9
2012,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),HE,-0.6
2013,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),HE,-0.53
2014,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),HE,-0.49
2015,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),HE,-0.39
2016,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),HE,-0.27
2010,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),HH,-1.8
2011,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),HH,-1.25
2012,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),HH,-0.82
2013,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),HH,-0.5
2014,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),HH,-0.25
2015,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),HH,-0.24
2016,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),HH,-0.16
2010,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),MV,-0.69
2011,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),MV,-0.57
2012,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),MV,-0.28
2013,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),MV,0.13
2014,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),MV,0.04
2015,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),MV,0.05
2016,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),MV,-0.15
2010,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),NI,-1.48
2011,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),NI,-0.79
2012,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),NI,-0.86
2013,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),NI,-0.53
2014,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),NI,-0.37
2015,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),NI,-0.28
2016,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),NI,-0.25
2010,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),NW,-1.12
2011,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),NW,-0.76
2012,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),NW,-0.54
2013,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),NW,-0.47
2014,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),NW,-0.26
2015,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),NW,-0.16
2016,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),NW,-0.31
2010,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),RP,-1.84
2011,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),RP,-1.26
2012,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),RP,-0.57
2013,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),RP,-0.5
2014,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),RP,-0.38
2015,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),RP,-0.29
2016,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),RP,-0.2
2010,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),SH,-2.25
2011,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),SH,-1.49
2012,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),SH,-1.03
2013,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),SH,-0.54
2014,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),SH,-0.32
2015,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),SH,-0.17
2016,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),SH,-0.27
2010,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),SL,-2.4
2011,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),SL,-1.98
2012,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),SL,-2.44
2013,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),SL,-2.2
2014,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),SL,-1.88
2015,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),SL,-1.54
2016,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),SL,-1.2
2010,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),SN,0.43
2011,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),SN,0.54
2012,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),SN,0.79
2013,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),SN,0.59
2014,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),SN,0.02
2015,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),SN,0.37
2016,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),SN,0.36
2010,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),ST,-1.4
2011,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),ST,-1.1
2012,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),ST,-0.02
2013,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),ST,0.03
2014,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),ST,0.04
2015,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),ST,0.09
2016,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),ST,-0.25
2010,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),TH,-1.98
2011,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),TH,-0.79
2012,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),TH,-0.01
2013,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),TH,0.02
2014,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),TH,0.03
2015,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),TH,0.05
2016,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),TH,0.02
1992,Funding balance and structural governmental funding balance,Time series,Gross domestic produkt (price-adjusted) (Year-on-year changes in %),,1.92
1993,Funding balance and structural governmental funding balance,Time series,Gross domestic produkt (price-adjusted) (Year-on-year changes in %),,-0.96
1994,Funding balance and structural governmental funding balance,Time series,Gross domestic produkt (price-adjusted) (Year-on-year changes in %),,2.46
1995,Funding balance and structural governmental funding balance,Time series,Gross domestic produkt (price-adjusted) (Year-on-year changes in %),,1.74
1996,Funding balance and structural governmental funding balance,Time series,Gross domestic produkt (price-adjusted) (Year-on-year changes in %),,0.82
1997,Funding balance and structural governmental funding balance,Time series,Gross domestic produkt (price-adjusted) (Year-on-year changes in %),,1.85
1998,Funding balance and structural governmental funding balance,Time series,Gross domestic produkt (price-adjusted) (Year-on-year changes in %),,1.98
1999,Funding balance and structural governmental funding balance,Time series,Gross domestic produkt (price-adjusted) (Year-on-year changes in %),,1.99
2000,Funding balance and structural governmental funding balance,Time series,Gross domestic produkt (price-adjusted) (Year-on-year changes in %),,2.96
2001,Funding balance and structural governmental funding balance,Time series,Gross domestic produkt (price-adjusted) (Year-on-year changes in %),,1.7
2002,Funding balance and structural governmental funding balance,Time series,Gross domestic produkt (price-adjusted) (Year-on-year changes in %),,0.0
2003,Funding balance and structural governmental funding balance,Time series,Gross domestic produkt (price-adjusted) (Year-on-year changes in %),,-0.71
2004,Funding balance and structural governmental funding balance,Time series,Gross domestic produkt (price-adjusted) (Year-on-year changes in %),,1.17
2005,Funding balance and structural governmental funding balance,Time series,Gross domestic produkt (price-adjusted) (Year-on-year changes in %),,0.71
2006,Funding balance and structural governmental funding balance,Time series,Gross domestic produkt (price-adjusted) (Year-on-year changes in %),,3.7
2007,Funding balance and structural governmental funding balance,Time series,Gross domestic produkt (price-adjusted) (Year-on-year changes in %),,3.26
2008,Funding balance and structural governmental funding balance,Time series,Gross domestic produkt (price-adjusted) (Year-on-year changes in %),,1.08
2009,Funding balance and structural governmental funding balance,Time series,Gross domestic produkt (price-adjusted) (Year-on-year changes in %),,-5.62
2010,Funding balance and structural governmental funding balance,Time series,Gross domestic produkt (price-adjusted) (Year-on-year changes in %),,4.08
2011,Funding balance and structural governmental funding balance,Time series,Gross domestic produkt (price-adjusted) (Year-on-year changes in %),,3.66
2012,Funding balance and structural governmental funding balance,Time series,Gross domestic produkt (price-adjusted) (Year-on-year changes in %),,0.49
2013,Funding balance and structural governmental funding balance,Time series,Gross domestic produkt (price-adjusted) (Year-on-year changes in %),,0.49
2014,Funding balance and structural governmental funding balance,Time series,Gross domestic produkt (price-adjusted) (Year-on-year changes in %),,2.18
2015,Funding balance and structural governmental funding balance,Time series,Gross domestic produkt (price-adjusted) (Year-on-year changes in %),,1.74
2016,Funding balance and structural governmental funding balance,Time series,Gross domestic produkt (price-adjusted) (Year-on-year changes in %),,2.24
2017,Funding balance and structural governmental funding balance,Time series,Gross domestic produkt (price-adjusted) (Year-on-year changes in %),,2.16
