Year,Units,display,title,sex,Bundesland,GeoCode,Value
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,bw,Baden-Württemberg,44.4
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,bw,Baden-Württemberg,46.1
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,bw,Baden-Württemberg,48.1
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,bw,Baden-Württemberg,49.6
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,bw,Baden-Württemberg,50.9
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,bw,Baden-Württemberg,51.5
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,bw,Baden-Württemberg,52.3
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,bw,Baden-Württemberg,56.6
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,bw,Baden-Württemberg,40.5
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,bw,Baden-Württemberg,39.4
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,bw,Baden-Württemberg,39.5
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,bw,Baden-Württemberg,39.7
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,bw,Baden-Württemberg,42.8
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,bw,Baden-Württemberg,43.9
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,bw,Baden-Württemberg,44.9
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,bw,Baden-Württemberg,45.4
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,bw,Baden-Württemberg,48.4
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,bw,Baden-Württemberg,46.6
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,bw,Baden-Württemberg,47.2
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,bw,Baden-Württemberg,49.5
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,bw,Baden-Württemberg,49.9
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,bw,Baden-Württemberg,50.6
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,bw,Baden-Württemberg,51.5
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,by,Bayern,35.2
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,by,Bayern,34.7
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,by,Bayern,35.8
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,by,Bayern,37.5
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,by,Bayern,39.4
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,by,Bayern,40.4
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,by,Bayern,41.1
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,by,Bayern,43.6
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,by,Bayern,45.3
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,by,Bayern,45.8
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,by,Bayern,45.7
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,by,Bayern,48.0
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,by,Bayern,48.8
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,by,Bayern,50.0
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,by,Bayern,49.5
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,by,Bayern,32.9
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,by,Bayern,33.1
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,by,Bayern,34.8
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,by,Bayern,36.8
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,by,Bayern,38.5
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,by,Bayern,40.2
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,by,Bayern,41.6
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,by,Bayern,44.8
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,by,Bayern,45.3
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,by,Bayern,46.1
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,by,Bayern,47.4
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,by,Bayern,49.5
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,by,Bayern,50.8
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,by,Bayern,52.2
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,by,Bayern,50.8
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,by,Bayern,37.4
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,by,Bayern,36.2
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,by,Bayern,36.9
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,by,Bayern,38.3
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,by,Bayern,40.3
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,by,Bayern,40.6
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,by,Bayern,40.7
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,by,Bayern,42.4
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,by,Bayern,45.3
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,by,Bayern,45.5
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,by,Bayern,43.9
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,by,Bayern,46.6
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,by,Bayern,46.9
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,by,Bayern,48.1
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,by,Bayern,48.3
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,be,Berlin,46.2
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,be,Berlin,46.6
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,be,Berlin,49.2
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,be,Berlin,47.1
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,be,Berlin,50.4
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,be,Berlin,50.7
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,be,Berlin,51.8
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,be,Berlin,53.7
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,be,Berlin,53.2
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,be,Berlin,54.0
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,be,Berlin,56.7
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,be,Berlin,59.7
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,be,Berlin,60.9
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,be,Berlin,62.7
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,be,Berlin,64.8
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,be,Berlin,47.1
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,be,Berlin,50.1
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,be,Berlin,53.0
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,be,Berlin,49.9
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,be,Berlin,56.2
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,be,Berlin,56.0
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,be,Berlin,59.3
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,be,Berlin,60.2
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,be,Berlin,59.1
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,be,Berlin,59.8
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,be,Berlin,63.7
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,be,Berlin,63.6
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,be,Berlin,66.1
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,be,Berlin,67.0
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,be,Berlin,69.2
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,be,Berlin,45.3
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,be,Berlin,43.2
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,be,Berlin,45.5
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,be,Berlin,44.5
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,be,Berlin,44.4
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,be,Berlin,45.8
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,be,Berlin,44.7
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,be,Berlin,47.5
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,be,Berlin,47.6
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,be,Berlin,48.4
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,be,Berlin,49.7
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,be,Berlin,55.7
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,be,Berlin,55.7
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,be,Berlin,58.3
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,be,Berlin,60.3
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bb,Brandenburg,32.1
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bb,Brandenburg,33.2
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bb,Brandenburg,34.7
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bb,Brandenburg,38.6
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bb,Brandenburg,41.1
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bb,Brandenburg,41.4
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bb,Brandenburg,44.5
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bb,Brandenburg,42.1
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bb,Brandenburg,42.6
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bb,Brandenburg,44.2
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bb,Brandenburg,43.3
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bb,Brandenburg,45.4
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bb,Brandenburg,42.4
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bb,Brandenburg,45.3
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bb,Brandenburg,44.4
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,bb,Brandenburg,36.9
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,bb,Brandenburg,39.5
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,bb,Brandenburg,42.2
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,bb,Brandenburg,47.1
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,bb,Brandenburg,47.8
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,bb,Brandenburg,50.2
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,bb,Brandenburg,53.6
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,bb,Brandenburg,51.6
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,bb,Brandenburg,49.0
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,bb,Brandenburg,50.5
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,bb,Brandenburg,53.2
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,bb,Brandenburg,54.2
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,bb,Brandenburg,48.4
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,bb,Brandenburg,53.5
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,bb,Brandenburg,52.1
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,bb,Brandenburg,27.5
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,bb,Brandenburg,27.5
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,bb,Brandenburg,27.3
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,bb,Brandenburg,30.4
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,bb,Brandenburg,35.2
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,bb,Brandenburg,33.4
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,bb,Brandenburg,35.8
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,bb,Brandenburg,33.9
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,bb,Brandenburg,36.5
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,bb,Brandenburg,37.6
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,bb,Brandenburg,34.1
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,bb,Brandenburg,36.9
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,bb,Brandenburg,36.8
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,bb,Brandenburg,36.8
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,bb,Brandenburg,36.7
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hb,Bremen,33.8
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hb,Bremen,36.8
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hb,Bremen,38.2
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hb,Bremen,39.4
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hb,Bremen,32.7
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hb,Bremen,41.5
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hb,Bremen,43.2
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hb,Bremen,41.8
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hb,Bremen,44.3
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hb,Bremen,53.4
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hb,Bremen,50.5
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hb,Bremen,46.6
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hb,Bremen,52.1
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hb,Bremen,52.3
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hb,Bremen,49.1
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,hb,Bremen,35.3
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,hb,Bremen,40.1
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,hb,Bremen,40.3
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,hb,Bremen,40.8
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,hb,Bremen,36.1
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,hb,Bremen,36.9
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,hb,Bremen,47.8
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,hb,Bremen,46.0
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,hb,Bremen,48.2
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,hb,Bremen,57.5
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,hb,Bremen,54.6
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,hb,Bremen,50.1
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,hb,Bremen,57.0
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,hb,Bremen,56.8
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,hb,Bremen,56.7
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,hb,Bremen,32.3
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,hb,Bremen,33.9
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,hb,Bremen,36.3
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,hb,Bremen,38.0
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,hb,Bremen,28.8
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,hb,Bremen,46.5
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,hb,Bremen,37.8
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,hb,Bremen,38.1
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,hb,Bremen,41.3
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,hb,Bremen,49.6
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,hb,Bremen,46.8
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,hb,Bremen,42.7
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,hb,Bremen,47.3
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,hb,Bremen,47.9
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,hb,Bremen,42.2
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hh,Hamburg,45.7
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hh,Hamburg,48.6
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hh,Hamburg,49.4
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hh,Hamburg,50.1
