Year,Units,display,title,sex,Bundesland,GeoCode,Value
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,mv,DE8,33.17
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,mv,DE8,32.11
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,mv,DE8,30.77
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,mv,DE8,33.24
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,mv,DE8,35.45
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,mv,DE8,34.82
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,mv,DE8,32.65
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,ni,DE9,36.19
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,ni,DE9,37.46
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,ni,DE9,38.13
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,ni,DE9,37.89
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,ni,DE9,40.07
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,ni,DE9,43.15
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,ni,DE9,41.38
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,nw,DEA,41.29
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,nw,DEA,42.01
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,nw,DEA,44.4
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,nw,DEA,45.0
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,nw,DEA,47.84
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,nw,DEA,48.71
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,nw,DEA,50.25
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,rp,DEB,38.49
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,rp,DEB,39.96
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,rp,DEB,42.26
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,rp,DEB,41.9
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,rp,DEB,43.67
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,rp,DEB,42.58
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,rp,DEB,44.23
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,sh,DEF,35.78
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,sh,DEF,40.39
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,sh,DEF,37.28
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,sh,DEF,38.19
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,sh,DEF,38.89
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,sh,DEF,39.66
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,sh,DEF,40.06
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,sl,DEC,32.86
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,sl,DEC,34.78
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,sl,DEC,38.26
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,sl,DEC,35.69
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,sl,DEC,35.75
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,sl,DEC,40.2
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,sl,DEC,41.4
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,sn,DED,46.36
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,sn,DED,44.03
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,sn,DED,42.67
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,sn,DED,45.8
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,sn,DED,46.18
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,sn,DED,48.27
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,sn,DED,46.22
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,st,DEE,32.16
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,st,DEE,31.44
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,st,DEE,30.9
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,st,DEE,30.62
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,st,DEE,32.35
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,st,DEE,34.21
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,st,DEE,33.41
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,th,DEG,36.4
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,th,DEG,37.2
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,th,DEG,39.1
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,th,DEG,39.8
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,th,DEG,37.6
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,th,DEG,36.9
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,th,DEG,40.3
1999,percentage (%),a) time series,tertiary education,total,,,24.8
2000,percentage (%),a) time series,tertiary education,total,,,25.33
2001,percentage (%),a) time series,tertiary education,total,,,25.05
2002,percentage (%),a) time series,tertiary education,total,,,25.07
2003,percentage (%),a) time series,tertiary education,total,,,25.05
2004,percentage (%),a) time series,tertiary education,total,,,26.76
2005,percentage (%),a) time series,tertiary education,total,,,26.06
2006,percentage (%),a) time series,tertiary education,total,,,25.85
2007,percentage (%),a) time series,tertiary education,total,,,26.5
2008,percentage (%),a) time series,tertiary education,total,,,27.6
2009,percentage (%),a) time series,tertiary education,total,,,29.37
2010,percentage (%),a) time series,tertiary education,total,,,29.77
2011,percentage (%),a) time series,tertiary education,total,,,30.68
2012,percentage (%),a) time series,tertiary education,total,,,31.9
2013,percentage (%),a) time series,tertiary education,total,,,33.08
2014,percentage (%),a) time series,tertiary education,total,,,31.36
2015,percentage (%),a) time series,tertiary education,total,,,32.25
2016,percentage (%),a) time series,tertiary education,total,,,33.1
2017,percentage (%),a) time series,tertiary education,total,,,34.0
2018,percentage (%),a) time series,tertiary education,total,,,34.93
