Year,Units,title,sex,Bundesland,GeoCode,Value
2011,percentage (%),german school graduates (share of all german leavers),,,,95.0
2012,percentage (%),german school graduates (share of all german leavers),,,,95.1
2013,percentage (%),german school graduates (share of all german leavers),,,,95.4
2014,percentage (%),german school graduates (share of all german leavers),,,,95.1
2015,percentage (%),german school graduates (share of all german leavers),,,,95.0
2016,percentage (%),german school graduates (share of all german leavers),,,,95.1
2017,percentage (%),german school graduates (share of all german leavers),,,,94.8
2018,percentage (%),german school graduates (share of all german leavers),,,,94.6
2019,percentage (%),german school graduates (share of all german leavers),,,,94.5
1996,percentage (%),foreign school graduates,,bw,'080000000000',80.0
1997,percentage (%),foreign school graduates,,bw,'080000000000',80.3
1998,percentage (%),foreign school graduates,,bw,'080000000000',81.2
1999,percentage (%),foreign school graduates,,bw,'080000000000',80.8
2000,percentage (%),foreign school graduates,,bw,'080000000000',80.1
2001,percentage (%),foreign school graduates,,bw,'080000000000',79.8
2002,percentage (%),foreign school graduates,,bw,'080000000000',80.3
2003,percentage (%),foreign school graduates,,bw,'080000000000',81.5
2004,percentage (%),foreign school graduates,,bw,'080000000000',82.5
2005,percentage (%),foreign school graduates,,bw,'080000000000',83.3
2006,percentage (%),foreign school graduates,,bw,'080000000000',83.9
2007,percentage (%),foreign school graduates,,bw,'080000000000',84.9
2008,percentage (%),foreign school graduates,,bw,'080000000000',86.3
2009,percentage (%),foreign school graduates,,bw,'080000000000',87.2
2010,percentage (%),foreign school graduates,,bw,'080000000000',88.3
2011,percentage (%),foreign school graduates,,bw,'080000000000',88.7
2012,percentage (%),foreign school graduates,,bw,'080000000000',88.0
2013,percentage (%),foreign school graduates,,bw,'080000000000',90.0
2014,percentage (%),foreign school graduates,,bw,'080000000000',89.1
2015,percentage (%),foreign school graduates,,bw,'080000000000',90.1
2016,percentage (%),foreign school graduates,,bw,'080000000000',87.8
2017,percentage (%),foreign school graduates,,bw,'080000000000',80.6
2018,percentage (%),foreign school graduates,,bw,'080000000000',81.5
2019,percentage (%),foreign school graduates,,bw,'080000000000',84.1
1996,percentage (%),foreign school graduates,female,bw,'080000000000',84.1
1997,percentage (%),foreign school graduates,female,bw,'080000000000',84.4
1998,percentage (%),foreign school graduates,female,bw,'080000000000',84.6
1999,percentage (%),foreign school graduates,female,bw,'080000000000',85.0
2000,percentage (%),foreign school graduates,female,bw,'080000000000',84.7
2001,percentage (%),foreign school graduates,female,bw,'080000000000',84.4
2002,percentage (%),foreign school graduates,female,bw,'080000000000',84.0
2003,percentage (%),foreign school graduates,female,bw,'080000000000',85.6
2004,percentage (%),foreign school graduates,female,bw,'080000000000',86.2
2005,percentage (%),foreign school graduates,female,bw,'080000000000',87.5
2006,percentage (%),foreign school graduates,female,bw,'080000000000',87.0
2007,percentage (%),foreign school graduates,female,bw,'080000000000',87.6
2008,percentage (%),foreign school graduates,female,bw,'080000000000',88.8
2009,percentage (%),foreign school graduates,female,bw,'080000000000',89.4
2010,percentage (%),foreign school graduates,female,bw,'080000000000',89.8
2011,percentage (%),foreign school graduates,female,bw,'080000000000',90.6
2012,percentage (%),foreign school graduates,female,bw,'080000000000',89.7
2013,percentage (%),foreign school graduates,female,bw,'080000000000',91.4
2014,percentage (%),foreign school graduates,female,bw,'080000000000',90.3
2015,percentage (%),foreign school graduates,female,bw,'080000000000',91.5
2016,percentage (%),foreign school graduates,female,bw,'080000000000',89.7
2017,percentage (%),foreign school graduates,female,bw,'080000000000',85.5
2018,percentage (%),foreign school graduates,female,bw,'080000000000',85.5
2019,percentage (%),foreign school graduates,female,bw,'080000000000',87.0
1996,percentage (%),foreign school graduates,male,bw,'080000000000',76.3
1997,percentage (%),foreign school graduates,male,bw,'080000000000',76.6
1998,percentage (%),foreign school graduates,male,bw,'080000000000',78.0
1999,percentage (%),foreign school graduates,male,bw,'080000000000',77.2
2000,percentage (%),foreign school graduates,male,bw,'080000000000',75.9
2001,percentage (%),foreign school graduates,male,bw,'080000000000',75.8
2002,percentage (%),foreign school graduates,male,bw,'080000000000',76.9
2003,percentage (%),foreign school graduates,male,bw,'080000000000',77.7
2004,percentage (%),foreign school graduates,male,bw,'080000000000',79.1
2005,percentage (%),foreign school graduates,male,bw,'080000000000',79.5
2006,percentage (%),foreign school graduates,male,bw,'080000000000',81.1
2007,percentage (%),foreign school graduates,male,bw,'080000000000',82.5
2008,percentage (%),foreign school graduates,male,bw,'080000000000',84.0
2009,percentage (%),foreign school graduates,male,bw,'080000000000',85.1
2010,percentage (%),foreign school graduates,male,bw,'080000000000',86.9
2011,percentage (%),foreign school graduates,male,bw,'080000000000',86.9
2012,percentage (%),foreign school graduates,male,bw,'080000000000',86.3
2013,percentage (%),foreign school graduates,male,bw,'080000000000',88.7
2014,percentage (%),foreign school graduates,male,bw,'080000000000',88.0
2015,percentage (%),foreign school graduates,male,bw,'080000000000',88.7
2016,percentage (%),foreign school graduates,male,bw,'080000000000',86.1
2017,percentage (%),foreign school graduates,male,bw,'080000000000',76.5
2018,percentage (%),foreign school graduates,male,bw,'080000000000',78.2
2019,percentage (%),foreign school graduates,male,bw,'080000000000',81.7
1996,percentage (%),foreign school graduates,,by,'090000000000',74.8
1997,percentage (%),foreign school graduates,,by,'090000000000',74.8
1998,percentage (%),foreign school graduates,,by,'090000000000',72.8
1999,percentage (%),foreign school graduates,,by,'090000000000',74.6
2000,percentage (%),foreign school graduates,,by,'090000000000',74.7
2001,percentage (%),foreign school graduates,,by,'090000000000',72.1
2002,percentage (%),foreign school graduates,,by,'090000000000',75.7
2003,percentage (%),foreign school graduates,,by,'090000000000',77.7
2004,percentage (%),foreign school graduates,,by,'090000000000',78.5
2005,percentage (%),foreign school graduates,,by,'090000000000',80.0
2006,percentage (%),foreign school graduates,,by,'090000000000',81.9
2007,percentage (%),foreign school graduates,,by,'090000000000',83.4
2008,percentage (%),foreign school graduates,,by,'090000000000',84.4
2009,percentage (%),foreign school graduates,,by,'090000000000',85.4
2010,percentage (%),foreign school graduates,,by,'090000000000',87.4
2011,percentage (%),foreign school graduates,,by,'090000000000',89.4
2012,percentage (%),foreign school graduates,,by,'090000000000',88.5
2013,percentage (%),foreign school graduates,,by,'090000000000',89.1
2014,percentage (%),foreign school graduates,,by,'090000000000',88.3
2015,percentage (%),foreign school graduates,,by,'090000000000',86.5
2016,percentage (%),foreign school graduates,,by,'090000000000',81.6
2017,percentage (%),foreign school graduates,,by,'090000000000',79.0
2018,percentage (%),foreign school graduates,,by,'090000000000',81.2
2019,percentage (%),foreign school graduates,,by,'090000000000',82.2
1996,percentage (%),foreign school graduates,female,by,'090000000000',80.1
1997,percentage (%),foreign school graduates,female,by,'090000000000',80.3
1998,percentage (%),foreign school graduates,female,by,'090000000000',76.8
1999,percentage (%),foreign school graduates,female,by,'090000000000',79.6
2000,percentage (%),foreign school graduates,female,by,'090000000000',80.2
2001,percentage (%),foreign school graduates,female,by,'090000000000',78.4
2002,percentage (%),foreign school graduates,female,by,'090000000000',80.9
2003,percentage (%),foreign school graduates,female,by,'090000000000',82.0
2004,percentage (%),foreign school graduates,female,by,'090000000000',83.3
2005,percentage (%),foreign school graduates,female,by,'090000000000',84.0
2006,percentage (%),foreign school graduates,female,by,'090000000000',85.7
2007,percentage (%),foreign school graduates,female,by,'090000000000',87.1
2008,percentage (%),foreign school graduates,female,by,'090000000000',87.6
2009,percentage (%),foreign school graduates,female,by,'090000000000',88.0
2010,percentage (%),foreign school graduates,female,by,'090000000000',89.9
2011,percentage (%),foreign school graduates,female,by,'090000000000',91.6
2012,percentage (%),foreign school graduates,female,by,'090000000000',90.9
2013,percentage (%),foreign school graduates,female,by,'090000000000',91.6
2014,percentage (%),foreign school graduates,female,by,'090000000000',90.9
2015,percentage (%),foreign school graduates,female,by,'090000000000',90.0
2016,percentage (%),foreign school graduates,female,by,'090000000000',88.6
2017,percentage (%),foreign school graduates,female,by,'090000000000',86.0
2018,percentage (%),foreign school graduates,female,by,'090000000000',85.7
2019,percentage (%),foreign school graduates,female,by,'090000000000',86.6
1996,percentage (%),foreign school graduates,male,by,'090000000000',70.1
1997,percentage (%),foreign school graduates,male,by,'090000000000',69.6
1998,percentage (%),foreign school graduates,male,by,'090000000000',69.1
1999,percentage (%),foreign school graduates,male,by,'090000000000',70.0
2000,percentage (%),foreign school graduates,male,by,'090000000000',69.6
2001,percentage (%),foreign school graduates,male,by,'090000000000',66.2
2002,percentage (%),foreign school graduates,male,by,'090000000000',70.7
2003,percentage (%),foreign school graduates,male,by,'090000000000',73.8
2004,percentage (%),foreign school graduates,male,by,'090000000000',74.1
2005,percentage (%),foreign school graduates,male,by,'090000000000',76.3
2006,percentage (%),foreign school graduates,male,by,'090000000000',78.2
2007,percentage (%),foreign school graduates,male,by,'090000000000',79.9
2008,percentage (%),foreign school graduates,male,by,'090000000000',81.4
2009,percentage (%),foreign school graduates,male,by,'090000000000',82.8
2010,percentage (%),foreign school graduates,male,by,'090000000000',84.9
2011,percentage (%),foreign school graduates,male,by,'090000000000',87.3
2012,percentage (%),foreign school graduates,male,by,'090000000000',86.3
2013,percentage (%),foreign school graduates,male,by,'090000000000',86.8
2014,percentage (%),foreign school graduates,male,by,'090000000000',85.9
2015,percentage (%),foreign school graduates,male,by,'090000000000',83.5
2016,percentage (%),foreign school graduates,male,by,'090000000000',76.0
2017,percentage (%),foreign school graduates,male,by,'090000000000',73.4
2018,percentage (%),foreign school graduates,male,by,'090000000000',77.8
2019,percentage (%),foreign school graduates,male,by,'090000000000',78.5
1996,percentage (%),foreign school graduates,,be,'110000000000',73.3
1997,percentage (%),foreign school graduates,,be,'110000000000',73.0
1998,percentage (%),foreign school graduates,,be,'110000000000',69.4
1999,percentage (%),foreign school graduates,,be,'110000000000',72.4
2000,percentage (%),foreign school graduates,,be,'110000000000',74.4
2001,percentage (%),foreign school graduates,,be,'110000000000',76.0
2002,percentage (%),foreign school graduates,,be,'110000000000',75.9
2003,percentage (%),foreign school graduates,,be,'110000000000',74.1
2004,percentage (%),foreign school graduates,,be,'110000000000',77.1
2005,percentage (%),foreign school graduates,,be,'110000000000',77.9
2006,percentage (%),foreign school graduates,,be,'110000000000',79.3
2007,percentage (%),foreign school graduates,,be,'110000000000',79.6
2008,percentage (%),foreign school graduates,,be,'110000000000',80.3
2009,percentage (%),foreign school graduates,,be,'110000000000',83.6
2010,percentage (%),foreign school graduates,,be,'110000000000',82.9
2011,percentage (%),foreign school graduates,,be,'110000000000',84.7
2012,percentage (%),foreign school graduates,,be,'110000000000',87.4
2013,percentage (%),foreign school graduates,,be,'110000000000',87.5
2014,percentage (%),foreign school graduates,,be,'110000000000',83.5
2015,percentage (%),foreign school graduates,,be,'110000000000',78.7
2016,percentage (%),foreign school graduates,,be,'110000000000',81.0
2017,percentage (%),foreign school graduates,,be,'110000000000',79.2
2018,percentage (%),foreign school graduates,,be,'110000000000',78.3
2019,percentage (%),foreign school graduates,,be,'110000000000',81.1
1996,percentage (%),foreign school graduates,female,be,'110000000000',79.8
1997,percentage (%),foreign school graduates,female,be,'110000000000',78.3
1998,percentage (%),foreign school graduates,female,be,'110000000000',76.2
1999,percentage (%),foreign school graduates,female,be,'110000000000',78.4
2000,percentage (%),foreign school graduates,female,be,'110000000000',78.1
2001,percentage (%),foreign school graduates,female,be,'110000000000',81.0
2002,percentage (%),foreign school graduates,female,be,'110000000000',79.4
2003,percentage (%),foreign school graduates,female,be,'110000000000',79.6
2004,percentage (%),foreign school graduates,female,be,'110000000000',81.3
2005,percentage (%),foreign school graduates,female,be,'110000000000',83.0
2006,percentage (%),foreign school graduates,female,be,'110000000000',83.6
2007,percentage (%),foreign school graduates,female,be,'110000000000',82.5
2008,percentage (%),foreign school graduates,female,be,'110000000000',84.4
2009,percentage (%),foreign school graduates,female,be,'110000000000',85.8
2010,percentage (%),foreign school graduates,female,be,'110000000000',86.2
2011,percentage (%),foreign school graduates,female,be,'110000000000',87.9
2012,percentage (%),foreign school graduates,female,be,'110000000000',89.2
2013,percentage (%),foreign school graduates,female,be,'110000000000',89.6
2014,percentage (%),foreign school graduates,female,be,'110000000000',85.6
2015,percentage (%),foreign school graduates,female,be,'110000000000',82.4
2016,percentage (%),foreign school graduates,female,be,'110000000000',83.3
2017,percentage (%),foreign school graduates,female,be,'110000000000',82.4
2018,percentage (%),foreign school graduates,female,be,'110000000000',83.0
2019,percentage (%),foreign school graduates,female,be,'110000000000',85.3
1996,percentage (%),foreign school graduates,male,be,'110000000000',67.5
1997,percentage (%),foreign school graduates,male,be,'110000000000',68.7
1998,percentage (%),foreign school graduates,male,be,'110000000000',63.8
1999,percentage (%),foreign school graduates,male,be,'110000000000',67.5
2000,percentage (%),foreign school graduates,male,be,'110000000000',71.1
2001,percentage (%),foreign school graduates,male,be,'110000000000',71.3
2002,percentage (%),foreign school graduates,male,be,'110000000000',72.9
2003,percentage (%),foreign school graduates,male,be,'110000000000',69.5
2004,percentage (%),foreign school graduates,male,be,'110000000000',73.4
2005,percentage (%),foreign school graduates,male,be,'110000000000',73.4
2006,percentage (%),foreign school graduates,male,be,'110000000000',75.3
2007,percentage (%),foreign school graduates,male,be,'110000000000',76.8
2008,percentage (%),foreign school graduates,male,be,'110000000000',76.5
2009,percentage (%),foreign school graduates,male,be,'110000000000',81.5
2010,percentage (%),foreign school graduates,male,be,'110000000000',79.9
2011,percentage (%),foreign school graduates,male,be,'110000000000',81.6
2012,percentage (%),foreign school graduates,male,be,'110000000000',85.5
2013,percentage (%),foreign school graduates,male,be,'110000000000',85.4
2014,percentage (%),foreign school graduates,male,be,'110000000000',81.5
2015,percentage (%),foreign school graduates,male,be,'110000000000',75.2
2016,percentage (%),foreign school graduates,male,be,'110000000000',79.1
2017,percentage (%),foreign school graduates,male,be,'110000000000',76.3
2018,percentage (%),foreign school graduates,male,be,'110000000000',74.4
2019,percentage (%),foreign school graduates,male,be,'110000000000',77.5
1996,percentage (%),foreign school graduates,,bb,'120000000000',95.8
1997,percentage (%),foreign school graduates,,bb,'120000000000',92.7
1998,percentage (%),foreign school graduates,,bb,'120000000000',91.1
1999,percentage (%),foreign school graduates,,bb,'120000000000',91.0
2000,percentage (%),foreign school graduates,,bb,'120000000000',90.3
2001,percentage (%),foreign school graduates,,bb,'120000000000',92.4
2002,percentage (%),foreign school graduates,,bb,'120000000000',94.4
2003,percentage (%),foreign school graduates,,bb,'120000000000',90.0
2004,percentage (%),foreign school graduates,,bb,'120000000000',93.2
2005,percentage (%),foreign school graduates,,bb,'120000000000',86.3
2006,percentage (%),foreign school graduates,,bb,'120000000000',86.6
2007,percentage (%),foreign school graduates,,bb,'120000000000',90.5
2008,percentage (%),foreign school graduates,,bb,'120000000000',91.6
2009,percentage (%),foreign school graduates,,bb,'120000000000',94.9
2010,percentage (%),foreign school graduates,,bb,'120000000000',93.3
2011,percentage (%),foreign school graduates,,bb,'120000000000',92.9
2012,percentage (%),foreign school graduates,,bb,'120000000000',94.3
2013,percentage (%),foreign school graduates,,bb,'120000000000',94.0
2014,percentage (%),foreign school graduates,,bb,'120000000000',94.7
2015,percentage (%),foreign school graduates,,bb,'120000000000',94.5
2016,percentage (%),foreign school graduates,,bb,'120000000000',82.7
2017,percentage (%),foreign school graduates,,bb,'120000000000',82.7
2018,percentage (%),foreign school graduates,,bb,'120000000000',81.0
2019,percentage (%),foreign school graduates,,bb,'120000000000',83.9
1996,percentage (%),foreign school graduates,female,bb,'120000000000',100.0
1997,percentage (%),foreign school graduates,female,bb,'120000000000',97.8
1998,percentage (%),foreign school graduates,female,bb,'120000000000',94.3
1999,percentage (%),foreign school graduates,female,bb,'120000000000',94.7
2000,percentage (%),foreign school graduates,female,bb,'120000000000',92.9
2001,percentage (%),foreign school graduates,female,bb,'120000000000',98.6
2002,percentage (%),foreign school graduates,female,bb,'120000000000',97.7
2003,percentage (%),foreign school graduates,female,bb,'120000000000',96.1
2004,percentage (%),foreign school graduates,female,bb,'120000000000',96.2
2005,percentage (%),foreign school graduates,female,bb,'120000000000',91.8
2006,percentage (%),foreign school graduates,female,bb,'120000000000',89.9
2007,percentage (%),foreign school graduates,female,bb,'120000000000',95.2
2008,percentage (%),foreign school graduates,female,bb,'120000000000',95.0
2009,percentage (%),foreign school graduates,female,bb,'120000000000',97.2
2010,percentage (%),foreign school graduates,female,bb,'120000000000',95.8
2011,percentage (%),foreign school graduates,female,bb,'120000000000',94.7
2012,percentage (%),foreign school graduates,female,bb,'120000000000',98.2
2013,percentage (%),foreign school graduates,female,bb,'120000000000',97.8
2014,percentage (%),foreign school graduates,female,bb,'120000000000',97.3
2015,percentage (%),foreign school graduates,female,bb,'120000000000',95.9
2016,percentage (%),foreign school graduates,female,bb,'120000000000',90.4
2017,percentage (%),foreign school graduates,female,bb,'120000000000',87.8
2018,percentage (%),foreign school graduates,female,bb,'120000000000',83.7
2019,percentage (%),foreign school graduates,female,bb,'120000000000',86.2
1996,percentage (%),foreign school graduates,male,bb,'120000000000',91.7
1997,percentage (%),foreign school graduates,male,bb,'120000000000',87.2
1998,percentage (%),foreign school graduates,male,bb,'120000000000',87.4
1999,percentage (%),foreign school graduates,male,bb,'120000000000',87.2
2000,percentage (%),foreign school graduates,male,bb,'120000000000',87.2
2001,percentage (%),foreign school graduates,male,bb,'120000000000',83.7
2002,percentage (%),foreign school graduates,male,bb,'120000000000',91.1
2003,percentage (%),foreign school graduates,male,bb,'120000000000',83.7
2004,percentage (%),foreign school graduates,male,bb,'120000000000',90.1
2005,percentage (%),foreign school graduates,male,bb,'120000000000',80.9
2006,percentage (%),foreign school graduates,male,bb,'120000000000',83.4
2007,percentage (%),foreign school graduates,male,bb,'120000000000',84.0
2008,percentage (%),foreign school graduates,male,bb,'120000000000',87.8
2009,percentage (%),foreign school graduates,male,bb,'120000000000',92.3
2010,percentage (%),foreign school graduates,male,bb,'120000000000',90.6
2011,percentage (%),foreign school graduates,male,bb,'120000000000',91.3
2012,percentage (%),foreign school graduates,male,bb,'120000000000',90.8
2013,percentage (%),foreign school graduates,male,bb,'120000000000',90.1
2014,percentage (%),foreign school graduates,male,bb,'120000000000',92.5
2015,percentage (%),foreign school graduates,male,bb,'120000000000',93.3
2016,percentage (%),foreign school graduates,male,bb,'120000000000',75.6
2017,percentage (%),foreign school graduates,male,bb,'120000000000',79.5
2018,percentage (%),foreign school graduates,male,bb,'120000000000',79.4
2019,percentage (%),foreign school graduates,male,bb,'120000000000',82.6
1996,percentage (%),foreign school graduates,,hb,'040000000000',77.6
1997,percentage (%),foreign school graduates,,hb,'040000000000',82.4
1998,percentage (%),foreign school graduates,,hb,'040000000000',82.4
1999,percentage (%),foreign school graduates,,hb,'040000000000',83.8
2000,percentage (%),foreign school graduates,,hb,'040000000000',80.0
2001,percentage (%),foreign school graduates,,hb,'040000000000',81.1
2002,percentage (%),foreign school graduates,,hb,'040000000000',85.7
2003,percentage (%),foreign school graduates,,hb,'040000000000',81.7
2004,percentage (%),foreign school graduates,,hb,'040000000000',82.2
2005,percentage (%),foreign school graduates,,hb,'040000000000',83.4
2006,percentage (%),foreign school graduates,,hb,'040000000000',85.4
2007,percentage (%),foreign school graduates,,hb,'040000000000',84.1
2008,percentage (%),foreign school graduates,,hb,'040000000000',88.4
2009,percentage (%),foreign school graduates,,hb,'040000000000',89.1
2010,percentage (%),foreign school graduates,,hb,'040000000000',90.1
2011,percentage (%),foreign school graduates,,hb,'040000000000',87.3
2012,percentage (%),foreign school graduates,,hb,'040000000000',91.2
2013,percentage (%),foreign school graduates,,hb,'040000000000',87.3
2014,percentage (%),foreign school graduates,,hb,'040000000000',90.0
2015,percentage (%),foreign school graduates,,hb,'040000000000',89.5
2016,percentage (%),foreign school graduates,,hb,'040000000000',84.6
2017,percentage (%),foreign school graduates,,hb,'040000000000',78.7
2018,percentage (%),foreign school graduates,,hb,'040000000000',79.7
2019,percentage (%),foreign school graduates,,hb,'040000000000',73.9
1996,percentage (%),foreign school graduates,female,hb,'040000000000',81.0
1997,percentage (%),foreign school graduates,female,hb,'040000000000',86.9
1998,percentage (%),foreign school graduates,female,hb,'040000000000',84.8
1999,percentage (%),foreign school graduates,female,hb,'040000000000',88.4
2000,percentage (%),foreign school graduates,female,hb,'040000000000',84.3
2001,percentage (%),foreign school graduates,female,hb,'040000000000',86.7
2002,percentage (%),foreign school graduates,female,hb,'040000000000',88.6
2003,percentage (%),foreign school graduates,female,hb,'040000000000',82.7
2004,percentage (%),foreign school graduates,female,hb,'040000000000',85.8
2005,percentage (%),foreign school graduates,female,hb,'040000000000',88.1
2006,percentage (%),foreign school graduates,female,hb,'040000000000',90.9
2007,percentage (%),foreign school graduates,female,hb,'040000000000',86.8
2008,percentage (%),foreign school graduates,female,hb,'040000000000',90.9
2009,percentage (%),foreign school graduates,female,hb,'040000000000',91.2
2010,percentage (%),foreign school graduates,female,hb,'040000000000',92.4
2011,percentage (%),foreign school graduates,female,hb,'040000000000',91.4
2012,percentage (%),foreign school graduates,female,hb,'040000000000',92.6
2013,percentage (%),foreign school graduates,female,hb,'040000000000',89.7
2014,percentage (%),foreign school graduates,female,hb,'040000000000',91.2
2015,percentage (%),foreign school graduates,female,hb,'040000000000',94.4
2016,percentage (%),foreign school graduates,female,hb,'040000000000',87.2
2017,percentage (%),foreign school graduates,female,hb,'040000000000',82.9
2018,percentage (%),foreign school graduates,female,hb,'040000000000',82.1
2019,percentage (%),foreign school graduates,female,hb,'040000000000',75.3
1996,percentage (%),foreign school graduates,male,hb,'040000000000',74.6
1997,percentage (%),foreign school graduates,male,hb,'040000000000',78.7
1998,percentage (%),foreign school graduates,male,hb,'040000000000',80.2
1999,percentage (%),foreign school graduates,male,hb,'040000000000',79.6
2000,percentage (%),foreign school graduates,male,hb,'040000000000',76.1
2001,percentage (%),foreign school graduates,male,hb,'040000000000',76.1
2002,percentage (%),foreign school graduates,male,hb,'040000000000',82.5
2003,percentage (%),foreign school graduates,male,hb,'040000000000',80.6
2004,percentage (%),foreign school graduates,male,hb,'040000000000',78.9
2005,percentage (%),foreign school graduates,male,hb,'040000000000',79.1
2006,percentage (%),foreign school graduates,male,hb,'040000000000',80.2
2007,percentage (%),foreign school graduates,male,hb,'040000000000',81.7
2008,percentage (%),foreign school graduates,male,hb,'040000000000',86.0
2009,percentage (%),foreign school graduates,male,hb,'040000000000',86.8
2010,percentage (%),foreign school graduates,male,hb,'040000000000',87.8
2011,percentage (%),foreign school graduates,male,hb,'040000000000',82.9
2012,percentage (%),foreign school graduates,male,hb,'040000000000',89.8
2013,percentage (%),foreign school graduates,male,hb,'040000000000',85.1
2014,percentage (%),foreign school graduates,male,hb,'040000000000',88.9
2015,percentage (%),foreign school graduates,male,hb,'040000000000',86.1
2016,percentage (%),foreign school graduates,male,hb,'040000000000',82.2
2017,percentage (%),foreign school graduates,male,hb,'040000000000',75.0
2018,percentage (%),foreign school graduates,male,hb,'040000000000',77.9
2019,percentage (%),foreign school graduates,male,hb,'040000000000',72.8
1996,percentage (%),foreign school graduates,,hh,'020000000000',81.4
1997,percentage (%),foreign school graduates,,hh,'020000000000',82.8
1998,percentage (%),foreign school graduates,,hh,'020000000000',81.8
1999,percentage (%),foreign school graduates,,hh,'020000000000',79.6
2000,percentage (%),foreign school graduates,,hh,'020000000000',79.5
2001,percentage (%),foreign school graduates,,hh,'020000000000',80.3
2002,percentage (%),foreign school graduates,,hh,'020000000000',82.3
2003,percentage (%),foreign school graduates,,hh,'020000000000',81.7
2004,percentage (%),foreign school graduates,,hh,'020000000000',80.1
2005,percentage (%),foreign school graduates,,hh,'020000000000',80.1
2006,percentage (%),foreign school graduates,,hh,'020000000000',79.6
2007,percentage (%),foreign school graduates,,hh,'020000000000',81.6
2008,percentage (%),foreign school graduates,,hh,'020000000000',84.7
2009,percentage (%),foreign school graduates,,hh,'020000000000',85.1
2010,percentage (%),foreign school graduates,,hh,'020000000000',87.4
2011,percentage (%),foreign school graduates,,hh,'020000000000',87.6
