Year,Units,display,Bundesland,GeoCode,Value
2012,percentage (%),a) time series,st,150000000000.0,23.2
2013,percentage (%),a) time series,st,150000000000.0,25.9
2014,percentage (%),a) time series,st,150000000000.0,28.6
2015,percentage (%),a) time series,st,150000000000.0,31.7
2016,percentage (%),a) time series,st,150000000000.0,35.1
2017,percentage (%),a) time series,st,150000000000.0,36.8
2008,percentage (%),a) time series,sh,10000000000.0,18.4
2009,percentage (%),a) time series,sh,10000000000.0,19.9
2010,percentage (%),a) time series,sh,10000000000.0,22.0
2011,percentage (%),a) time series,sh,10000000000.0,24.0
2012,percentage (%),a) time series,sh,10000000000.0,24.7
2013,percentage (%),a) time series,sh,10000000000.0,27.0
2014,percentage (%),a) time series,sh,10000000000.0,29.4
2015,percentage (%),a) time series,sh,10000000000.0,30.8
2016,percentage (%),a) time series,sh,10000000000.0,33.4
2017,percentage (%),a) time series,sh,10000000000.0,34.6
2008,percentage (%),a) time series,th,160000000000.0,25.0
2009,percentage (%),a) time series,th,160000000000.0,28.4
2010,percentage (%),a) time series,th,160000000000.0,29.4
2011,percentage (%),a) time series,th,160000000000.0,32.1
2012,percentage (%),a) time series,th,160000000000.0,34.6
2013,percentage (%),a) time series,th,160000000000.0,37.0
2014,percentage (%),a) time series,th,160000000000.0,40.6
2015,percentage (%),a) time series,th,160000000000.0,43.3
2016,percentage (%),a) time series,th,160000000000.0,45.2
2017,percentage (%),a) time series,th,160000000000.0,47.6
