Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,länder,GeoCode,Value
2025,percentage,p,,brandenburg,code12,23.095
1991,percentage,,,bremen,code04,41.181
1992,percentage,,,bremen,code04,42.998
1993,percentage,,,bremen,code04,45.163
1994,percentage,,,bremen,code04,43.343
1995,percentage,,,bremen,code04,42.467
1996,percentage,,,bremen,code04,41.856
1997,percentage,,,bremen,code04,41.03
1998,percentage,,,bremen,code04,39.697
1999,percentage,,,bremen,code04,37.338
2000,percentage,,,bremen,code04,37.81
2001,percentage,,,bremen,code04,38.152
2002,percentage,,,bremen,code04,40.084
2003,percentage,,,bremen,code04,43.21
2004,percentage,,,bremen,code04,45.482
2005,percentage,,,bremen,code04,48.55
2006,percentage,,,bremen,code04,50.359
2007,percentage,,,bremen,code04,51.996
2008,percentage,,,bremen,code04,54.763
2009,percentage,,,bremen,code04,62.827
2010,percentage,,,bremen,code04,66.961
2011,percentage,,,bremen,code04,67.848
2012,percentage,,,bremen,code04,67.628
2013,percentage,,,bremen,code04,67.954
2014,percentage,,,bremen,code04,67.605
2015,percentage,,,bremen,code04,70.545
2016,percentage,,,bremen,code04,66.883
2017,percentage,r,,bremen,code04,64.049
2018,percentage,r,,bremen,code04,64.918
2019,percentage,r,,bremen,code04,89.506
2020,percentage,r,,bremen,code04,121.043
2021,percentage,r,,bremen,code04,101.486
2022,percentage,p,,bremen,code04,57.941
2023,percentage,p,,bremen,code04,58.364
2024,percentage,p,,bremen,code04,57.965
2025,percentage,p,,bremen,code04,61.344
1991,percentage,,,hamburg,code02,16.069
1992,percentage,,,hamburg,code02,16.345
1993,percentage,,,hamburg,code02,17.864
1994,percentage,,,hamburg,code02,18.981
1995,percentage,,,hamburg,code02,19.298
1996,percentage,,,hamburg,code02,20.229
1997,percentage,,,hamburg,code02,19.911
1998,percentage,,,hamburg,code02,19.766
1999,percentage,,,hamburg,code02,20.458
2000,percentage,,,hamburg,code02,21.187
2001,percentage,,,hamburg,code02,21.186
2002,percentage,,,hamburg,code02,21.543
2003,percentage,,,hamburg,code02,22.772
2004,percentage,,,hamburg,code02,23.339
2005,percentage,,,hamburg,code02,23.674
2006,percentage,,,hamburg,code02,23.868
2007,percentage,,,hamburg,code02,23.054
2008,percentage,,,hamburg,code02,22.271
2009,percentage,,,hamburg,code02,25.353
2010,percentage,,,hamburg,code02,25.856
2011,percentage,,,hamburg,code02,25.189
2012,percentage,,,hamburg,code02,24.257
2013,percentage,,,hamburg,code02,23.662
2014,percentage,,,hamburg,code02,26.091
2015,percentage,,,hamburg,code02,25.535
2016,percentage,,,hamburg,code02,27.03
2017,percentage,,,hamburg,code02,26.764
2018,percentage,r,,hamburg,code02,27.485
2019,percentage,r,,hamburg,code02,25.834
2020,percentage,r,,hamburg,code02,28.403
2021,percentage,r,,hamburg,code02,25.48
2022,percentage,p,,hamburg,code02,20.997
2023,percentage,p,,hamburg,code02,21.01
2024,percentage,p,,hamburg,code02,20.041
2025,percentage,p,,hamburg,code02,21.26
1991,percentage,,,hesse,code06,15.789
1992,percentage,,,hesse,code06,15.618
1993,percentage,,,hesse,code06,15.297
1994,percentage,,,hesse,code06,15.797
1995,percentage,,,hesse,code06,16.18
1996,percentage,,,hesse,code06,16.381
1997,percentage,,,hesse,code06,16.036
1998,percentage,,,hesse,code06,16.469
1999,percentage,,,hesse,code06,16.048
2000,percentage,,,hesse,code06,15.275
2001,percentage,,,hesse,code06,14.777
2002,percentage,,,hesse,code06,15.291
2003,percentage,,,hesse,code06,15.803
2004,percentage,,,hesse,code06,16.684
2005,percentage,,,hesse,code06,17.267
2006,percentage,,,hesse,code06,17.439
2007,percentage,,,hesse,code06,16.551
2008,percentage,,,hesse,code06,16.439
2009,percentage,,,hesse,code06,18.629
2010,percentage,,,hesse,code06,22.326
2011,percentage,,,hesse,code06,22.873
2012,percentage,,,hesse,code06,24.202
2013,percentage,,,hesse,code06,23.338
2014,percentage,,,hesse,code06,24.131
2015,percentage,,,hesse,code06,22.982
2016,percentage,,,hesse,code06,21.992
2017,percentage,,,hesse,code06,20.325
2018,percentage,,,hesse,code06,18.103
2019,percentage,,,hesse,code06,17.742
2020,percentage,r,,hesse,code06,20.418
2021,percentage,r,,hesse,code06,18.689
2022,percentage,p,,hesse,code06,16.539
2023,percentage,p,,hesse,code06,16.223
2024,percentage,p,,hesse,code06,17.081
2025,percentage,p,,hesse,code06,17.734
1991,percentage,,,mecklenburg western pomerania,code13,4.672
1992,percentage,,,mecklenburg western pomerania,code13,8.629
1993,percentage,,,mecklenburg western pomerania,code13,7.194
1994,percentage,,,mecklenburg western pomerania,code13,12.484
1995,percentage,,,mecklenburg western pomerania,code13,16.464
1996,percentage,,,mecklenburg western pomerania,code13,21.975
1997,percentage,,,mecklenburg western pomerania,code13,25.906
1998,percentage,,,mecklenburg western pomerania,code13,29.567
1999,percentage,,,mecklenburg western pomerania,code13,31.363
2000,percentage,,,mecklenburg western pomerania,code13,32.883
2001,percentage,,,mecklenburg western pomerania,code13,31.788
2002,percentage,,,mecklenburg western pomerania,code13,33.805
2003,percentage,,,mecklenburg western pomerania,code13,35.376
2004,percentage,,,mecklenburg western pomerania,code13,37.482
2005,percentage,,,mecklenburg western pomerania,code13,39.701
2006,percentage,,,mecklenburg western pomerania,code13,39.783
2007,percentage,,,mecklenburg western pomerania,code13,35.022
2008,percentage,,,mecklenburg western pomerania,code13,33.359
2009,percentage,,,mecklenburg western pomerania,code13,33.21
2010,percentage,,,mecklenburg western pomerania,code13,34.589
2011,percentage,,,mecklenburg western pomerania,code13,32.817
2012,percentage,,,mecklenburg western pomerania,code13,32.7
2013,percentage,,,mecklenburg western pomerania,code13,30.887
2014,percentage,,,mecklenburg western pomerania,code13,29.292
2015,percentage,,,mecklenburg western pomerania,code13,28.351
2016,percentage,,,mecklenburg western pomerania,code13,25.013
2017,percentage,,,mecklenburg western pomerania,code13,21.772
2018,percentage,,,mecklenburg western pomerania,code13,20.554
2019,percentage,,,mecklenburg western pomerania,code13,19.183
2020,percentage,,,mecklenburg western pomerania,code13,21.305
2021,percentage,,,mecklenburg western pomerania,code13,20.181
2022,percentage,p,,mecklenburg western pomerania,code13,17.653
2023,percentage,p,,mecklenburg western pomerania,code13,15.352
2024,percentage,p,,mecklenburg western pomerania,code13,16.762
2025,percentage,p,,mecklenburg western pomerania,code13,16.881
1991,percentage,,,lower saxony,code03,20.66
1992,percentage,,,lower saxony,code03,20.616
1993,percentage,,,lower saxony,code03,20.171
1994,percentage,,,lower saxony,code03,20.904
1995,percentage,,,lower saxony,code03,21.958
1996,percentage,,,lower saxony,code03,22.803
1997,percentage,,,lower saxony,code03,23.354
1998,percentage,,,lower saxony,code03,23.416
1999,percentage,,,lower saxony,code03,23.293
2000,percentage,,,lower saxony,code03,22.572
2001,percentage,,,lower saxony,code03,22.37
2002,percentage,,,lower saxony,code03,23.778
2003,percentage,,,lower saxony,code03,25.255
2004,percentage,,,lower saxony,code03,26.349
2005,percentage,,,lower saxony,code03,27.281
2006,percentage,,,lower saxony,code03,26.462
2007,percentage,,,lower saxony,code03,25.916
2008,percentage,,,lower saxony,code03,25.523
2009,percentage,,,lower saxony,code03,27.228
2010,percentage,,,lower saxony,code03,29.096
2011,percentage,,,lower saxony,code03,28.485
2012,percentage,,,lower saxony,code03,27.494
2013,percentage,,,lower saxony,code03,27.283
2014,percentage,,,lower saxony,code03,26.413
2015,percentage,,,lower saxony,code03,27.514
2016,percentage,,,lower saxony,code03,25.497
2017,percentage,,,lower saxony,code03,24.918
2018,percentage,,,lower saxony,code03,23.576
2019,percentage,,,lower saxony,code03,22.593
2020,percentage,,,lower saxony,code03,25.592
2021,percentage,r,,lower saxony,code03,24.436
2022,percentage,p,,lower saxony,code03,22.428
2023,percentage,p,,lower saxony,code03,20.416
2024,percentage,p,,lower saxony,code03,19.719
2025,percentage,p,,lower saxony,code03,20.353
1991,percentage,,,north rhine-westphalia,code05,19.759
1992,percentage,,,north rhine-westphalia,code05,19.331
1993,percentage,,,north rhine-westphalia,code05,19.196
1994,percentage,,,north rhine-westphalia,code05,19.647
1995,percentage,,,north rhine-westphalia,code05,19.496
1996,percentage,,,north rhine-westphalia,code05,20.657
1997,percentage,,,north rhine-westphalia,code05,21.051
1998,percentage,,,north rhine-westphalia,code05,21.508
1999,percentage,,,north rhine-westphalia,code05,21.89
2000,percentage,,,north rhine-westphalia,code05,21.953
2001,percentage,,,north rhine-westphalia,code05,21.842
2002,percentage,,,north rhine-westphalia,code05,22.786
2003,percentage,,,north rhine-westphalia,code05,23.804
2004,percentage,,,north rhine-westphalia,code05,24.633
2005,percentage,,,north rhine-westphalia,code05,25.7
2006,percentage,,,north rhine-westphalia,code05,26.086
2007,percentage,,,north rhine-westphalia,code05,24.609
2008,percentage,,,north rhine-westphalia,code05,23.907
2009,percentage,,,north rhine-westphalia,code05,26.392
2010,percentage,,,north rhine-westphalia,code05,38.801
2011,percentage,,,north rhine-westphalia,code05,38.718
2012,percentage,,,north rhine-westphalia,code05,43.376
2013,percentage,,,north rhine-westphalia,code05,39.587
2014,percentage,,,north rhine-westphalia,code05,37.821
2015,percentage,,,north rhine-westphalia,code05,36.866
2016,percentage,,,north rhine-westphalia,code05,35.656
2017,percentage,,,north rhine-westphalia,code05,32.773
2018,percentage,,,north rhine-westphalia,code05,30.585
2019,percentage,,,north rhine-westphalia,code05,30.282
2020,percentage,,,north rhine-westphalia,code05,32.058
2021,percentage,r,,north rhine-westphalia,code05,30.452
2022,percentage,p,,north rhine-westphalia,code05,28.374
2023,percentage,p,,north rhine-westphalia,code05,27.243
2024,percentage,p,,north rhine-westphalia,code05,27.182
2025,percentage,p,,north rhine-westphalia,code05,27.036
1991,percentage,,,rhineland palatinate,code07,19.561
1992,percentage,,,rhineland palatinate,code07,19.756
1993,percentage,,,rhineland palatinate,code07,19.697
1994,percentage,,,rhineland palatinate,code07,19.883
1995,percentage,,,rhineland palatinate,code07,20.257
1996,percentage,,,rhineland palatinate,code07,20.797
1997,percentage,,,rhineland palatinate,code07,21.596
1998,percentage,,,rhineland palatinate,code07,22.677
1999,percentage,,,rhineland palatinate,code07,22.987
2000,percentage,,,rhineland palatinate,code07,23.318
2001,percentage,,,rhineland palatinate,code07,23.81
2002,percentage,,,rhineland palatinate,code07,24.694
2003,percentage,,,rhineland palatinate,code07,25.888
2004,percentage,,,rhineland palatinate,code07,26.549
2005,percentage,,,rhineland palatinate,code07,27.549
2006,percentage,,,rhineland palatinate,code07,27.831
2007,percentage,,,rhineland palatinate,code07,28.734
2008,percentage,,,rhineland palatinate,code07,28.491
2009,percentage,,,rhineland palatinate,code07,30.674
2010,percentage,r,,rhineland palatinate,code07,35.999
2011,percentage,r,,rhineland palatinate,code07,35.224
2012,percentage,r,,rhineland palatinate,code07,36.352
2013,percentage,r,,rhineland palatinate,code07,35.667
2014,percentage,r,,rhineland palatinate,code07,34.603
2015,percentage,,,rhineland palatinate,code07,33.614
2016,percentage,,,rhineland palatinate,code07,32.98
2017,percentage,r,,rhineland palatinate,code07,31.699
2018,percentage,r,,rhineland palatinate,code07,29.827
2019,percentage,r,,rhineland palatinate,code07,28.668
2020,percentage,r,,rhineland palatinate,code07,29.833
2021,percentage,r,,rhineland palatinate,code07,24.497
2022,percentage,p,,rhineland palatinate,code07,22.929
2023,percentage,p,,rhineland palatinate,code07,21.132
2024,percentage,p,,rhineland palatinate,code07,21.578
2025,percentage,p,,rhineland palatinate,code07,21.347
1991,percentage,,,saarland,code10,36.278
1992,percentage,,,saarland,code10,37.658
1993,percentage,,,saarland,code10,38.221
1994,percentage,,,saarland,code10,39.235
1995,percentage,,,saarland,code10,36.688
1996,percentage,,,saarland,code10,37.06
1997,percentage,,,saarland,code10,35.823
1998,percentage,,,saarland,code10,34.057
1999,percentage,,,saarland,code10,32.428
2000,percentage,,,saarland,code10,31.453
2001,percentage,,,saarland,code10,30.328
2002,percentage,,,saarland,code10,27.032
2003,percentage,,,saarland,code10,28.107
2004,percentage,,,saarland,code10,28.452
2005,percentage,,,saarland,code10,28.371
2006,percentage,,,saarland,code10,29.568
2007,percentage,,,saarland,code10,31.764
2008,percentage,,,saarland,code10,32.699
2009,percentage,,,saarland,code10,39.657
2010,percentage,,,saarland,code10,47.293
2011,percentage,,,saarland,code10,46.718
2012,percentage,,,saarland,code10,49.071
2013,percentage,r,,saarland,code10,51.843
2014,percentage,r,,saarland,code10,51.686
2015,percentage,r,,saarland,code10,51.483
2016,percentage,r,,saarland,code10,50.998
2017,percentage,r,,saarland,code10,48.698
2018,percentage,,,saarland,code10,47.339
2019,percentage,,,saarland,code10,47.108
2020,percentage,,,saarland,code10,49.672
2021,percentage,,,saarland,code10,47.053
2022,percentage,p,,saarland,code10,40.506
2023,percentage,p,,saarland,code10,37.203
2024,percentage,p,,saarland,code10,39.681
2025,percentage,p,,saarland,code10,39.288
1991,percentage,,,saxony,code14,4.958
1992,percentage,,,saxony,code14,10.286
1993,percentage,,,saxony,code14,8.482
1994,percentage,,,saxony,code14,13.088
1995,percentage,,,saxony,code14,14.83
1996,percentage,,,saxony,code14,17.533
1997,percentage,,,saxony,code14,19.541
1998,percentage,,,saxony,code14,20.809
1999,percentage,,,saxony,code14,20.978
2000,percentage,,,saxony,code14,20.793
2001,percentage,,,saxony,code14,20.466
2002,percentage,,,saxony,code14,19.823
2003,percentage,,,saxony,code14,19.719
2004,percentage,,,saxony,code14,19.75
2005,percentage,,,saxony,code14,20.27
2006,percentage,,,saxony,code14,19.343
2007,percentage,,,saxony,code14,15.713
2008,percentage,,,saxony,code14,13.014
2009,percentage,,,saxony,code14,11.41
2010,percentage,,,saxony,code14,10.457
2011,percentage,,,saxony,code14,8.994
2012,percentage,,,saxony,code14,9.053
2013,percentage,,,saxony,code14,7.981
2014,percentage,,,saxony,code14,6.749
2015,percentage,,,saxony,code14,5.672
2016,percentage,,,saxony,code14,4.458
2017,percentage,,,saxony,code14,3.772
2018,percentage,,,saxony,code14,3.326
2019,percentage,,,saxony,code14,2.844
2020,percentage,,,saxony,code14,5.71
2021,percentage,,,saxony,code14,6.254
2022,percentage,p,,saxony,code14,5.524
2023,percentage,p,,saxony,code14,5.567
2024,percentage,p,,saxony,code14,5.895
2025,percentage,p,,saxony,code14,6.714
1991,percentage,,,saxony-anhalt,code15,5.313
1992,percentage,,,saxony-anhalt,code15,15.796
1993,percentage,,,saxony-anhalt,code15,12.855
1994,percentage,,,saxony-anhalt,code15,18.943
1995,percentage,,,saxony-anhalt,code15,22.957
1996,percentage,,,saxony-anhalt,code15,27.065
1997,percentage,,,saxony-anhalt,code15,32.66
1998,percentage,,,saxony-anhalt,code15,35.9
1999,percentage,,,saxony-anhalt,code15,38.894
2000,percentage,,,saxony-anhalt,code15,41.343
2001,percentage,,,saxony-anhalt,code15,38.602
2002,percentage,,,saxony-anhalt,code15,39.44
2003,percentage,,,saxony-anhalt,code15,41.964
2004,percentage,,,saxony-anhalt,code15,43.408
2005,percentage,,,saxony-anhalt,code15,46.33
2006,percentage,,,saxony-anhalt,code15,46.585
2007,percentage,,,saxony-anhalt,code15,45.786
2008,percentage,,,saxony-anhalt,code15,44.334
2009,percentage,,,saxony-anhalt,code15,46.105
2010,percentage,,,saxony-anhalt,code15,46.743
2011,percentage,,,saxony-anhalt,code15,45.537
2012,percentage,,,saxony-anhalt,code15,43.398
2013,percentage,r,,saxony-anhalt,code15,41.972
2014,percentage,r,,saxony-anhalt,code15,41.312
2015,percentage,r,,saxony-anhalt,code15,41.286
2016,percentage,r,,saxony-anhalt,code15,39.364
2017,percentage,,,saxony-anhalt,code15,38.344
2018,percentage,,,saxony-anhalt,code15,36.174
2019,percentage,,,saxony-anhalt,code15,35.937
2020,percentage,,,saxony-anhalt,code15,36.899
2021,percentage,,,saxony-anhalt,code15,36.252
2022,percentage,p,,saxony-anhalt,code15,34.726
2023,percentage,p,,saxony-anhalt,code15,32.851
2024,percentage,p,,saxony-anhalt,code15,31.936
2025,percentage,p,,saxony-anhalt,code15,33.747
1991,percentage,,,schleswig-holstein,code01,23.522
1992,percentage,,,schleswig-holstein,code01,23.416
1993,percentage,,,schleswig-holstein,code01,22.947
1994,percentage,,,schleswig-holstein,code01,24.059
1995,percentage,,,schleswig-holstein,code01,24.175
1996,percentage,,,schleswig-holstein,code01,25.265
1997,percentage,,,schleswig-holstein,code01,25.912
1998,percentage,,,schleswig-holstein,code01,26.807
1999,percentage,,,schleswig-holstein,code01,27.027
2000,percentage,,,schleswig-holstein,code01,27.181
2001,percentage,,,schleswig-holstein,code01,26.867
2002,percentage,,,schleswig-holstein,code01,28.308
2003,percentage,,,schleswig-holstein,code01,29.554
2004,percentage,,,schleswig-holstein,code01,31.04
2005,percentage,,,schleswig-holstein,code01,32.328
2006,percentage,,,schleswig-holstein,code01,33.431
2007,percentage,,,schleswig-holstein,code01,33.991
2008,percentage,,,schleswig-holstein,code01,33.257
2009,percentage,,,schleswig-holstein,code01,38.529
2010,percentage,,,schleswig-holstein,code01,41.706
2011,percentage,,,schleswig-holstein,code01,41.288
2012,percentage,,,schleswig-holstein,code01,40.47
2013,percentage,,,schleswig-holstein,code01,39.456
2014,percentage,,,schleswig-holstein,code01,38.626
2015,percentage,,,schleswig-holstein,code01,37.46
2016,percentage,,,schleswig-holstein,code01,38.382
2017,percentage,,,schleswig-holstein,code01,35.957
2018,percentage,,,schleswig-holstein,code01,36.592
2019,percentage,,,schleswig-holstein,code01,34.958
2020,percentage,,,schleswig-holstein,code01,36.467
2021,percentage,r,,schleswig-holstein,code01,35.571
2022,percentage,p,,schleswig-holstein,code01,31.809
2023,percentage,p,,schleswig-holstein,code01,30.301
2024,percentage,p,,schleswig-holstein,code01,30.288
2025,percentage,p,,schleswig-holstein,code01,30.21
1991,percentage,,,thuringia,code16,6.64
1992,percentage,,,thuringia,code16,12.572
1993,percentage,,,thuringia,code16,10.255
1994,percentage,,,thuringia,code16,16.765
1995,percentage,,,thuringia,code16,24.799
1996,percentage,,,thuringia,code16,28.317
1997,percentage,,,thuringia,code16,31.408
1998,percentage,,,thuringia,code16,29.901
1999,percentage,,,thuringia,code16,31.45
2000,percentage,,,thuringia,code16,33.204
2001,percentage,,,thuringia,code16,34.04
2002,percentage,,,thuringia,code16,35.129
2003,percentage,,,thuringia,code16,35.695
2004,percentage,,,thuringia,code16,36.834
2005,percentage,,,thuringia,code16,39.016
2006,percentage,,,thuringia,code16,39.332
2007,percentage,,,thuringia,code16,38.606
2008,percentage,,,thuringia,code16,37.045
2009,percentage,,,thuringia,code16,38.926
2010,percentage,,,thuringia,code16,38.572
2011,percentage,,,thuringia,code16,36.399
2012,percentage,,,thuringia,code16,35.379
2013,percentage,,,thuringia,code16,35.218
2014,percentage,,,thuringia,code16,32.899
2015,percentage,,,thuringia,code16,31.71
2016,percentage,,,thuringia,code16,30.149
2017,percentage,,,thuringia,code16,29.715
2018,percentage,,,thuringia,code16,26.962
2019,percentage,,,thuringia,code16,26.042
2020,percentage,,,thuringia,code16,27.893
2021,percentage,,,thuringia,code16,27.543
2022,percentage,p,,thuringia,code16,24.321
2023,percentage,p,,thuringia,code16,22.35
2024,percentage,p,,thuringia,code16,21.617
2025,percentage,p,,thuringia,code16,21.007
