Year,Units,typification,Bundesland,GeoCode,Value
2006,m2/(inhabitant*a),a) rural and non-rural areas,hb,code04,0.75380904579589
2007,m2/(inhabitant*a),a) rural and non-rural areas,hb,code04,1.13086304368154
2008,m2/(inhabitant*a),a) rural and non-rural areas,hb,code04,1.13086304368154
2009,m2/(inhabitant*a),a) rural and non-rural areas,hb,code04,0.754054551322461
2010,m2/(inhabitant*a),a) rural and non-rural areas,hb,code04,1.13243767482974
2011,m2/(inhabitant*a),a) rural and non-rural areas,hb,code04,0.761711703566219
2012,m2/(inhabitant*a),a) rural and non-rural areas,hb,code04,1.52533396101688
2013,m2/(inhabitant*a),a) rural and non-rural areas,hb,code04,1.52533396101688
2014,m2/(inhabitant*a),a) rural and non-rural areas,hb,code04,1.52465824420077
2015,m2/(inhabitant*a),a) rural and non-rural areas,hb,code04,1.14132966414182
2016,m2/(inhabitant*a),a) rural and non-rural areas,hb,code04,0.727613779112348
2017,m2/(inhabitant*a),a) rural and non-rural areas,hb,code04,0.830398963949478
2018,m2/(inhabitant*a),a) rural and non-rural areas,hb,code04,0.32457765741264
2004,m2/(inhabitant*a),a) rural and non-rural areas,hh,code02,1.5873645067502
2005,m2/(inhabitant*a),a) rural and non-rural areas,hh,code02,2.16088166380271
2006,m2/(inhabitant*a),a) rural and non-rural areas,hh,code02,1.86748089997572
2007,m2/(inhabitant*a),a) rural and non-rural areas,hh,code02,1.57616841337563
2008,m2/(inhabitant*a),a) rural and non-rural areas,hh,code02,0.999743057577075
2009,m2/(inhabitant*a),a) rural and non-rural areas,hh,code02,0.567132572962767
2010,m2/(inhabitant*a),a) rural and non-rural areas,hh,code02,0.422041935435574
2011,m2/(inhabitant*a),a) rural and non-rural areas,hh,code02,0.280849172863629
2012,m2/(inhabitant*a),a) rural and non-rural areas,hh,code02,0.425001877860308
2013,m2/(inhabitant*a),a) rural and non-rural areas,hh,code02,0.57040796661092
2014,m2/(inhabitant*a),a) rural and non-rural areas,hh,code02,0.00500379772905302
2015,m2/(inhabitant*a),a) rural and non-rural areas,hh,code02,0.4145982181509251
2016,m2/(inhabitant*a),a) rural and non-rural areas,hh,code02,0.993728536299777
2017,m2/(inhabitant*a),a) rural and non-rural areas,hh,code02,1.2240482373504125
2018,m2/(inhabitant*a),a) rural and non-rural areas,hh,code02,0.8393213372136192
2004,m2/(inhabitant*a),a) rural and non-rural areas,he,code06,2.3808107194001
2005,m2/(inhabitant*a),a) rural and non-rural areas,he,code06,2.5029349720355
2006,m2/(inhabitant*a),a) rural and non-rural areas,he,code06,2.29905295930121
2007,m2/(inhabitant*a),a) rural and non-rural areas,he,code06,2.34193289275116
2008,m2/(inhabitant*a),a) rural and non-rural areas,he,code06,2.13937962511802
2009,m2/(inhabitant*a),a) rural and non-rural areas,he,code06,2.14205510844308
2010,m2/(inhabitant*a),a) rural and non-rural areas,he,code06,2.22514651154759
2011,m2/(inhabitant*a),a) rural and non-rural areas,he,code06,1.73328506486723
2012,m2/(inhabitant*a),a) rural and non-rural areas,he,code06,1.86159568466277
2013,m2/(inhabitant*a),a) rural and non-rural areas,he,code06,1.65629334468016
2014,m2/(inhabitant*a),a) rural and non-rural areas,he,code06,1.61272521755883
2015,m2/(inhabitant*a),a) rural and non-rural areas,he,code06,1.81018866904538
2016,m2/(inhabitant*a),a) rural and non-rural areas,he,code06,1.9639973303094
2017,m2/(inhabitant*a),a) rural and non-rural areas,he,code06,2.17935748106782
2018,m2/(inhabitant*a),a) rural and non-rural areas,he,code06,2.05659773470562
2004,m2/(inhabitant*a),a) rural and non-rural areas,mv,code13,18.4027168783838
2005,m2/(inhabitant*a),a) rural and non-rural areas,mv,code13,18.0816124016134
2006,m2/(inhabitant*a),a) rural and non-rural areas,mv,code13,16.4782461017818
2007,m2/(inhabitant*a),a) rural and non-rural areas,mv,code13,15.2876928312492
2008,m2/(inhabitant*a),a) rural and non-rural areas,mv,code13,16.9298477053085
2009,m2/(inhabitant*a),a) rural and non-rural areas,mv,code13,17.6547568673138
2010,m2/(inhabitant*a),a) rural and non-rural areas,mv,code13,17.6273253301584
2011,m2/(inhabitant*a),a) rural and non-rural areas,mv,code13,15.6110122313407
2012,m2/(inhabitant*a),a) rural and non-rural areas,mv,code13,11.4712893336607
2013,m2/(inhabitant*a),a) rural and non-rural areas,mv,code13,8.4847257730524
2014,m2/(inhabitant*a),a) rural and non-rural areas,mv,code13,8.12261404588991
2015,m2/(inhabitant*a),a) rural and non-rural areas,mv,code13,7.03197851266254
2016,m2/(inhabitant*a),a) rural and non-rural areas,mv,code13,15.399419551378699
2017,m2/(inhabitant*a),a) rural and non-rural areas,mv,code13,9.65446372227834
2018,m2/(inhabitant*a),a) rural and non-rural areas,mv,code13,6.34765473550872
2004,m2/(inhabitant*a),a) rural and non-rural areas,ni,code03,6.60739950483706
2005,m2/(inhabitant*a),a) rural and non-rural areas,ni,code03,6.47419144537936
2006,m2/(inhabitant*a),a) rural and non-rural areas,ni,code03,6.37986466242856
2007,m2/(inhabitant*a),a) rural and non-rural areas,ni,code03,6.13289853164847
2008,m2/(inhabitant*a),a) rural and non-rural areas,ni,code03,5.3291416982319
2009,m2/(inhabitant*a),a) rural and non-rural areas,ni,code03,4.71163216412185
2010,m2/(inhabitant*a),a) rural and non-rural areas,ni,code03,4.37452220726859
2011,m2/(inhabitant*a),a) rural and non-rural areas,ni,code03,4.91930536437318
2012,m2/(inhabitant*a),a) rural and non-rural areas,ni,code03,4.78651186572723
2013,m2/(inhabitant*a),a) rural and non-rural areas,ni,code03,4.90012861320198
2014,m2/(inhabitant*a),a) rural and non-rural areas,ni,code03,5.19831499309367
2015,m2/(inhabitant*a),a) rural and non-rural areas,ni,code03,4.5341525927493
2016,m2/(inhabitant*a),a) rural and non-rural areas,ni,code03,3.47189629122059
2017,m2/(inhabitant*a),a) rural and non-rural areas,ni,code03,3.13119864350841
2018,m2/(inhabitant*a),a) rural and non-rural areas,ni,code03,2.72480731113224
2004,m2/(inhabitant*a),a) rural and non-rural areas,nw,code05,3.08522595736741
2005,m2/(inhabitant*a),a) rural and non-rural areas,nw,code05,2.91881888564934
2006,m2/(inhabitant*a),a) rural and non-rural areas,nw,code05,2.85160347481676
2007,m2/(inhabitant*a),a) rural and non-rural areas,nw,code05,3.10375656838002
2008,m2/(inhabitant*a),a) rural and non-rural areas,nw,code05,2.87466547909028
2009,m2/(inhabitant*a),a) rural and non-rural areas,nw,code05,2.685727918283
2010,m2/(inhabitant*a),a) rural and non-rural areas,nw,code05,2.53918549576513
2011,m2/(inhabitant*a),a) rural and non-rural areas,nw,code05,2.34368763743832
2012,m2/(inhabitant*a),a) rural and non-rural areas,nw,code05,2.11812454852054
2013,m2/(inhabitant*a),a) rural and non-rural areas,nw,code05,2.12626862577062
2014,m2/(inhabitant*a),a) rural and non-rural areas,nw,code05,2.00561109921776
2015,m2/(inhabitant*a),a) rural and non-rural areas,nw,code05,1.96841953944768
2016,m2/(inhabitant*a),a) rural and non-rural areas,nw,code05,1.01891609566695
2017,m2/(inhabitant*a),a) rural and non-rural areas,nw,code05,0.853826775744895
2018,m2/(inhabitant*a),a) rural and non-rural areas,nw,code05,0.648459845550322
2004,m2/(inhabitant*a),a) rural and non-rural areas,rp,code07,5.23773715398041
2005,m2/(inhabitant*a),a) rural and non-rural areas,rp,code07,5.78910778973831
2006,m2/(inhabitant*a),a) rural and non-rural areas,rp,code07,5.91380923018263
2007,m2/(inhabitant*a),a) rural and non-rural areas,rp,code07,5.97878047877675
2008,m2/(inhabitant*a),a) rural and non-rural areas,rp,code07,4.81515447335937
2009,m2/(inhabitant*a),a) rural and non-rural areas,rp,code07,3.15353631540332
2010,m2/(inhabitant*a),a) rural and non-rural areas,rp,code07,2.04472269548718
2011,m2/(inhabitant*a),a) rural and non-rural areas,rp,code07,1.24483432869063
2012,m2/(inhabitant*a),a) rural and non-rural areas,rp,code07,0.813374110995803
2013,m2/(inhabitant*a),a) rural and non-rural areas,rp,code07,1.00170973067286
2014,m2/(inhabitant*a),a) rural and non-rural areas,rp,code07,1.06378531365135
2015,m2/(inhabitant*a),a) rural and non-rural areas,rp,code07,0.566418010216631
2016,m2/(inhabitant*a),a) rural and non-rural areas,rp,code07,0.751797447915798
2017,m2/(inhabitant*a),a) rural and non-rural areas,rp,code07,0.350484464773798
2018,m2/(inhabitant*a),a) rural and non-rural areas,rp,code07,0.48850761438818
2004,m2/(inhabitant*a),a) rural and non-rural areas,sl,code10,2.59153168935731
2005,m2/(inhabitant*a),a) rural and non-rural areas,sl,code10,2.36433466022023
2006,m2/(inhabitant*a),a) rural and non-rural areas,sl,code10,2.37415544286806
2007,m2/(inhabitant*a),a) rural and non-rural areas,sl,code10,2.62095921034313
2008,m2/(inhabitant*a),a) rural and non-rural areas,sl,code10,1.92299857708202
2009,m2/(inhabitant*a),a) rural and non-rural areas,sl,code10,2.18037630598221
2010,m2/(inhabitant*a),a) rural and non-rural areas,sl,code10,2.68380293715529
2011,m2/(inhabitant*a),a) rural and non-rural areas,sl,code10,2.45199327766716
2012,m2/(inhabitant*a),a) rural and non-rural areas,sl,code10,2.4695819499334
2013,m2/(inhabitant*a),a) rural and non-rural areas,sl,code10,1.98848882826985
2014,m2/(inhabitant*a),a) rural and non-rural areas,sl,code10,1.25852419740257
2015,m2/(inhabitant*a),a) rural and non-rural areas,sl,code10,1.25909241270993
2016,m2/(inhabitant*a),a) rural and non-rural areas,sl,code10,3.35492255629458
2017,m2/(inhabitant*a),a) rural and non-rural areas,sl,code10,3.24591351148417
2018,m2/(inhabitant*a),a) rural and non-rural areas,sl,code10,3.13700729720556
2004,m2/(inhabitant*a),a) rural and non-rural areas,sn,code14,4.31049125846568
2005,m2/(inhabitant*a),a) rural and non-rural areas,sn,code14,3.30028520462042
2006,m2/(inhabitant*a),a) rural and non-rural areas,sn,code14,3.093180697624
2007,m2/(inhabitant*a),a) rural and non-rural areas,sn,code14,4.65420863893298
2008,m2/(inhabitant*a),a) rural and non-rural areas,sn,code14,5.5629607054408
2009,m2/(inhabitant*a),a) rural and non-rural areas,sn,code14,7.13839844239032
2010,m2/(inhabitant*a),a) rural and non-rural areas,sn,code14,7.64455917872507
2011,m2/(inhabitant*a),a) rural and non-rural areas,sn,code14,6.57238818649671
2012,m2/(inhabitant*a),a) rural and non-rural areas,sn,code14,6.31624362155622
2013,m2/(inhabitant*a),a) rural and non-rural areas,sn,code14,4.77696245451154
2014,m2/(inhabitant*a),a) rural and non-rural areas,sn,code14,8.69578270426393
2015,m2/(inhabitant*a),a) rural and non-rural areas,sn,code14,6.54353619713178
2016,m2/(inhabitant*a),a) rural and non-rural areas,sn,code14,6.0256290824979
2017,m2/(inhabitant*a),a) rural and non-rural areas,sn,code14,6.45594839845296
2018,m2/(inhabitant*a),a) rural and non-rural areas,sn,code14,2.03693762185435
2004,m2/(inhabitant*a),a) rural and non-rural areas,st,code15,18.5339602478615
2005,m2/(inhabitant*a),a) rural and non-rural areas,st,code15,23.7736412181189
2006,m2/(inhabitant*a),a) rural and non-rural areas,st,code15,26.6068569898788
2007,m2/(inhabitant*a),a) rural and non-rural areas,st,code15,23.7468388970633
2008,m2/(inhabitant*a),a) rural and non-rural areas,st,code15,14.8696184481195
2009,m2/(inhabitant*a),a) rural and non-rural areas,st,code15,5.87023736984993
2010,m2/(inhabitant*a),a) rural and non-rural areas,st,code15,0.825327328468628
2011,m2/(inhabitant*a),a) rural and non-rural areas,st,code15,0.294830252816845
2012,m2/(inhabitant*a),a) rural and non-rural areas,st,code15,0.8711032665766778
2013,m2/(inhabitant*a),a) rural and non-rural areas,st,code15,0.9719280893521243
2014,m2/(inhabitant*a),a) rural and non-rural areas,st,code15,0.341444969670921
2015,m2/(inhabitant*a),a) rural and non-rural areas,st,code15,0.783728140341834
2016,m2/(inhabitant*a),a) rural and non-rural areas,st,code15,1.70374025628308
2017,m2/(inhabitant*a),a) rural and non-rural areas,st,code15,1.84426334789993
2018,m2/(inhabitant*a),a) rural and non-rural areas,st,code15,1.13253198052317
2004,m2/(inhabitant*a),a) rural and non-rural areas,sh,code01,11.0001550240708
2005,m2/(inhabitant*a),a) rural and non-rural areas,sh,code01,9.64844747543456
2006,m2/(inhabitant*a),a) rural and non-rural areas,sh,code01,9.01377137684196
2007,m2/(inhabitant*a),a) rural and non-rural areas,sh,code01,8.64759235135031
2008,m2/(inhabitant*a),a) rural and non-rural areas,sh,code01,6.87814690884264
2009,m2/(inhabitant*a),a) rural and non-rural areas,sh,code01,6.61377910272483
2010,m2/(inhabitant*a),a) rural and non-rural areas,sh,code01,5.46709117307695
2011,m2/(inhabitant*a),a) rural and non-rural areas,sh,code01,4.60475982673865
2012,m2/(inhabitant*a),a) rural and non-rural areas,sh,code01,4.34711244702896
2013,m2/(inhabitant*a),a) rural and non-rural areas,sh,code01,4.08732279598554
2014,m2/(inhabitant*a),a) rural and non-rural areas,sh,code01,4.08848642336802
2015,m2/(inhabitant*a),a) rural and non-rural areas,sh,code01,3.44637576925216
2016,m2/(inhabitant*a),a) rural and non-rural areas,sh,code01,3.03823612573433
2017,m2/(inhabitant*a),a) rural and non-rural areas,sh,code01,3.20846185680737
2018,m2/(inhabitant*a),a) rural and non-rural areas,sh,code01,3.23039464015719
2004,m2/(inhabitant*a),a) rural and non-rural areas,th,code16,3.34756168914601
2005,m2/(inhabitant*a),a) rural and non-rural areas,th,code16,3.05700396451473
2006,m2/(inhabitant*a),a) rural and non-rural areas,th,code16,2.1346763540534
2007,m2/(inhabitant*a),a) rural and non-rural areas,th,code16,2.48161223192559
2008,m2/(inhabitant*a),a) rural and non-rural areas,th,code16,3.04920143333534
2009,m2/(inhabitant*a),a) rural and non-rural areas,th,code16,3.51785558614226
2010,m2/(inhabitant*a),a) rural and non-rural areas,th,code16,4.43111939936888
2011,m2/(inhabitant*a),a) rural and non-rural areas,th,code16,5.73475706314493
2012,m2/(inhabitant*a),a) rural and non-rural areas,th,code16,6.93106606779411
2013,m2/(inhabitant*a),a) rural and non-rural areas,th,code16,6.9768541615206
2014,m2/(inhabitant*a),a) rural and non-rural areas,th,code16,9.00017171654774
2015,m2/(inhabitant*a),a) rural and non-rural areas,th,code16,7.8593989563763
2016,m2/(inhabitant*a),a) rural and non-rural areas,th,code16,9.36625503173281
2017,m2/(inhabitant*a),a) rural and non-rural areas,th,code16,21.2647711124015
2018,m2/(inhabitant*a),a) rural and non-rural areas,th,code16,37.0487436705126
2004,m2/(inhabitant*a),rural areas,a) germany (total),,1.80432580435391
2005,m2/(inhabitant*a),rural areas,a) germany (total),,1.77040489635483
2006,m2/(inhabitant*a),rural areas,a) germany (total),,1.73660328772675
2007,m2/(inhabitant*a),rural areas,a) germany (total),,1.70248951018869
2008,m2/(inhabitant*a),rural areas,a) germany (total),,1.66845919574033
2009,m2/(inhabitant*a),rural areas,a) germany (total),,1.54694071035996
2010,m2/(inhabitant*a),rural areas,a) germany (total),,1.47247012868991
2011,m2/(inhabitant*a),rural areas,a) germany (total),,1.39122522373021
2012,m2/(inhabitant*a),rural areas,a) germany (total),,1.22917840754966
2013,m2/(inhabitant*a),rural areas,a) germany (total),,1.17982058209341
2014,m2/(inhabitant*a),rural areas,a) germany (total),,1.05119010048876
2015,m2/(inhabitant*a),rural areas,a) germany (total),,0.951725991006436
2016,m2/(inhabitant*a),rural areas,a) germany (total),,0.644342712944619
2017,m2/(inhabitant*a),rural areas,a) germany (total),,0.641222321172117
2004,m2/(inhabitant*a),non-rural areas,a) germany (total),,7.44530517931502
2005,m2/(inhabitant*a),non-rural areas,a) germany (total),,7.26003854421712
2006,m2/(inhabitant*a),non-rural areas,a) germany (total),,7.08243062934955
2007,m2/(inhabitant*a),non-rural areas,a) germany (total),,6.90896617534822
2008,m2/(inhabitant*a),non-rural areas,a) germany (total),,6.7417424466972
2009,m2/(inhabitant*a),non-rural areas,a) germany (total),,6.35831197915259
2010,m2/(inhabitant*a),non-rural areas,a) germany (total),,5.91309498136965
2011,m2/(inhabitant*a),non-rural areas,a) germany (total),,6.30590578684407
2012,m2/(inhabitant*a),non-rural areas,a) germany (total),,5.69591314831731
2013,m2/(inhabitant*a),non-rural areas,a) germany (total),,5.45752734577752
2014,m2/(inhabitant*a),non-rural areas,a) germany (total),,5.66042456114384
2015,m2/(inhabitant*a),non-rural areas,a) germany (total),,4.31973604528863
2016,m2/(inhabitant*a),non-rural areas,a) germany (total),,4.2775075742238
2017,m2/(inhabitant*a),non-rural areas,a) germany (total),,4.37107426717018
