Year,Units,display,sex,Bundesland,GeoCode,Value
2001,percentage (%),a) time series,male,a) germany (total),,12.20
2002,percentage (%),a) time series,male,a) germany (total),,12.60
2003,percentage (%),a) time series,male,a) germany (total),,12.90
2004,percentage (%),a) time series,male,a) germany (total),,12.20
2005,percentage (%),a) time series,male,a) germany (total),,13.49
2006,percentage (%),a) time series,male,a) germany (total),,14.37
2007,percentage (%),a) time series,male,a) germany (total),,13.48
2008,percentage (%),a) time series,male,a) germany (total),,12.37
2009,percentage (%),a) time series,male,a) germany (total),,11.50
2010,percentage (%),a) time series,male,a) germany (total),,12.68
2011,percentage (%),a) time series,male,a) germany (total),,12.47
2012,percentage (%),a) time series,male,a) germany (total),,10.97
2013,percentage (%),a) time series,male,a) germany (total),,10.30
2014,percentage (%),a) time series,male,a) germany (total),,10.03
2015,percentage (%),a) time series,male,a) germany (total),,10.12
2016,percentage (%),a) time series,male,a) germany (total),,11.00
2017,percentage (%),a) time series,male,a) germany (total),,11.09
2018,percentage (%),a) time series,male,a) germany (total),,11.42
2010,percentage (%),a) time series,male and female,bw,code08,9.80
2011,percentage (%),a) time series,male and female,bw,code08,9.93
2012,percentage (%),a) time series,male and female,bw,code08,8.26
2013,percentage (%),a) time series,male and female,bw,code08,7.60
2014,percentage (%),a) time series,male and female,bw,code08,7.90
2015,percentage (%),a) time series,male and female,bw,code08,8.30
2016,percentage (%),a) time series,male and female,bw,code08,9.35
2017,percentage (%),a) time series,male and female,bw,code08,8.71
2018,percentage (%),a) time series,male and female,bw,code08,9.71
2010,percentage (%),a) time series,male and female,by,code09,9.40
2011,percentage (%),a) time series,male and female,by,code09,9.09
2012,percentage (%),a) time series,male and female,by,code09,7.36
2013,percentage (%),a) time series,male and female,by,code09,7.30
2014,percentage (%),a) time series,male and female,by,code09,6.39
2015,percentage (%),a) time series,male and female,by,code09,6.16
2016,percentage (%),a) time series,male and female,by,code09,7.63
2017,percentage (%),a) time series,male and female,by,code09,7.20
2018,percentage (%),a) time series,male and female,by,code09,7.23
2010,percentage (%),a) time series,male and female,be,code11,14.60
2011,percentage (%),a) time series,male and female,be,code11,13.05
2012,percentage (%),a) time series,male and female,be,code11,12.98
2013,percentage (%),a) time series,male and female,be,code11,11.90
2014,percentage (%),a) time series,male and female,be,code11,13.52
2015,percentage (%),a) time series,male and female,be,code11,13.68
2016,percentage (%),a) time series,male and female,be,code11,11.70
2017,percentage (%),a) time series,male and female,be,code11,13.17
2018,percentage (%),a) time series,male and female,be,code11,13.55
2010,percentage (%),a) time series,male and female,bb,code12,9.60
2011,percentage (%),a) time series,male and female,bb,code12,10.18
2012,percentage (%),a) time series,male and female,bb,code12,9.95
2013,percentage (%),a) time series,male and female,bb,code12,10.60
2014,percentage (%),a) time series,male and female,bb,code12,9.00
2015,percentage (%),a) time series,male and female,bb,code12,11.56
2016,percentage (%),a) time series,male and female,bb,code12,10.97
2017,percentage (%),a) time series,male and female,bb,code12,12.32
2018,percentage (%),a) time series,male and female,bb,code12,11.52
2010,percentage (%),a) time series,male and female,hb,code04,14.30
2011,percentage (%),a) time series,male and female,hb,code04,17.22
2012,percentage (%),a) time series,male and female,hb,code04,13.34
2013,percentage (%),a) time series,male and female,hb,code04,14.90
2014,percentage (%),a) time series,male and female,hb,code04,14.01
2015,percentage (%),a) time series,male and female,hb,code04,11.54
2016,percentage (%),a) time series,male and female,hb,code04,11.08
2017,percentage (%),a) time series,male and female,hb,code04,10.91
2018,percentage (%),a) time series,male and female,hb,code04,14.64
2010,percentage (%),a) time series,male and female,hh,code02,13.20
2011,percentage (%),a) time series,male and female,hh,code02,13.16
2012,percentage (%),a) time series,male and female,hh,code02,12.47
2013,percentage (%),a) time series,male and female,hh,code02,11.60
2014,percentage (%),a) time series,male and female,hh,code02,11.79
2015,percentage (%),a) time series,male and female,hh,code02,12.57
2016,percentage (%),a) time series,male and female,hh,code02,12.81
2017,percentage (%),a) time series,male and female,hh,code02,11.41
2018,percentage (%),a) time series,male and female,hh,code02,11.56
2010,percentage (%),a) time series,male and female,he,code06,11.80
2011,percentage (%),a) time series,male and female,he,code06,10.58
2012,percentage (%),a) time series,male and female,he,code06,9.07
2013,percentage (%),a) time series,male and female,he,code06,10.00
2014,percentage (%),a) time series,male and female,he,code06,9.67
2015,percentage (%),a) time series,male and female,he,code06,9.52
2016,percentage (%),a) time series,male and female,he,code06,10.48
2017,percentage (%),a) time series,male and female,he,code06,10.15
2018,percentage (%),a) time series,male and female,he,code06,10.70
2010,percentage (%),a) time series,male and female,mv,code13,9.20
2011,percentage (%),a) time series,male and female,mv,code13,9.86
2012,percentage (%),a) time series,male and female,mv,code13,10.95
2013,percentage (%),a) time series,male and female,mv,code13,9.60
2014,percentage (%),a) time series,male and female,mv,code13,9.95
2015,percentage (%),a) time series,male and female,mv,code13,10.58
2016,percentage (%),a) time series,male and female,mv,code13,13.64
2017,percentage (%),a) time series,male and female,mv,code13,9.83
2018,percentage (%),a) time series,male and female,mv,code13,11.13
2010,percentage (%),a) time series,male and female,ni,code03,13.90
2011,percentage (%),a) time series,male and female,ni,code03,14.09
2012,percentage (%),a) time series,male and female,ni,code03,11.80
2013,percentage (%),a) time series,male and female,ni,code03,10.80
2014,percentage (%),a) time series,male and female,ni,code03,10.69
2015,percentage (%),a) time series,male and female,ni,code03,10.67
2016,percentage (%),a) time series,male and female,ni,code03,12.05
2017,percentage (%),a) time series,male and female,ni,code03,11.33
2018,percentage (%),a) time series,male and female,ni,code03,11.00
2010,percentage (%),a) time series,male and female,nw,code05,14.60
2011,percentage (%),a) time series,male and female,nw,code05,13.56
2012,percentage (%),a) time series,male and female,nw,code05,12.77
2013,percentage (%),a) time series,male and female,nw,code05,11.60
2014,percentage (%),a) time series,male and female,nw,code05,11.25
2015,percentage (%),a) time series,male and female,nw,code05,11.42
2016,percentage (%),a) time series,male and female,nw,code05,11.41
2017,percentage (%),a) time series,male and female,nw,code05,11.58
2018,percentage (%),a) time series,male and female,nw,code05,11.98
2010,percentage (%),a) time series,male and female,rp,code07,15.50
2011,percentage (%),a) time series,male and female,rp,code07,13.52
2012,percentage (%),a) time series,male and female,rp,code07,12.50
2013,percentage (%),a) time series,male and female,rp,code07,13.10
2014,percentage (%),a) time series,male and female,rp,code07,10.40
2015,percentage (%),a) time series,male and female,rp,code07,12.18
2016,percentage (%),a) time series,male and female,rp,code07,11.83
2017,percentage (%),a) time series,male and female,rp,code07,11.74
2018,percentage (%),a) time series,male and female,rp,code07,11.53
2010,percentage (%),a) time series,male and female,sl,code10,13.20
2011,percentage (%),a) time series,male and female,sl,code10,15.44
2012,percentage (%),a) time series,male and female,sl,code10,12.86
2013,percentage (%),a) time series,male and female,sl,code10,14.10
2014,percentage (%),a) time series,male and female,sl,code10,11.88
2015,percentage (%),a) time series,male and female,sl,code10,12.23
2016,percentage (%),a) time series,male and female,sl,code10,10.32
2017,percentage (%),a) time series,male and female,sl,code10,11.68
2018,percentage (%),a) time series,male and female,sl,code10,11.78
2010,percentage (%),a) time series,male and female,sn,code14,7.60
2011,percentage (%),a) time series,male and female,sn,code14,7.68
2012,percentage (%),a) time series,male and female,sn,code14,7.71
2013,percentage (%),a) time series,male and female,sn,code14,6.50
2014,percentage (%),a) time series,male and female,sn,code14,6.82
2015,percentage (%),a) time series,male and female,sn,code14,8.44
2016,percentage (%),a) time series,male and female,sn,code14,7.74
2017,percentage (%),a) time series,male and female,sn,code14,8.57
2018,percentage (%),a) time series,male and female,sn,code14,7.51
2010,percentage (%),a) time series,male and female,st,code15,11.70
2011,percentage (%),a) time series,male and female,st,code15,12.92
2012,percentage (%),a) time series,male and female,st,code15,11.05
2013,percentage (%),a) time series,male and female,st,code15,9.70
2014,percentage (%),a) time series,male and female,st,code15,9.30
2015,percentage (%),a) time series,male and female,st,code15,12.17
2016,percentage (%),a) time series,male and female,st,code15,11.17
2017,percentage (%),a) time series,male and female,st,code15,13.56
2018,percentage (%),a) time series,male and female,st,code15,9.07
2010,percentage (%),a) time series,male and female,sh,code01,12.60
2011,percentage (%),a) time series,male and female,sh,code01,12.86
2012,percentage (%),a) time series,male and female,sh,code01,12.28
2013,percentage (%),a) time series,male and female,sh,code01,10.30
2014,percentage (%),a) time series,male and female,sh,code01,12.81
2015,percentage (%),a) time series,male and female,sh,code01,10.56
2016,percentage (%),a) time series,male and female,sh,code01,10.73
2017,percentage (%),a) time series,male and female,sh,code01,9.07
2018,percentage (%),a) time series,male and female,sh,code01,10.09
2010,percentage (%),a) time series,male and female,th,code16,6.30
2011,percentage (%),a) time series,male and female,th,code16,7.65
2012,percentage (%),a) time series,male and female,th,code16,6.99
2013,percentage (%),a) time series,male and female,th,code16,7.70
2014,percentage (%),a) time series,male and female,th,code16,6.12
2015,percentage (%),a) time series,male and female,th,code16,8.33
2016,percentage (%),a) time series,male and female,th,code16,8.80
2017,percentage (%),a) time series,male and female,th,code16,8.71
2018,percentage (%),a) time series,male and female,th,code16,8.46
