Year,Units,display,title,dimension,Bundesland,GeoCode,Value
2014,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,bb,DE4,0.96
2015,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,bb,DE4,0.94
2016,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,bb,DE4,0.94
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,be,DE3,0.48
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,be,DE3,0.57
2012,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,be,DE3,0.62
2013,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,be,DE3,0.72
2014,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,be,DE3,0.81
2015,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,be,DE3,0.86
2016,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,be,DE3,0.88
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,bw,DE1,0.5
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,bw,DE1,0.57
2012,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,bw,DE1,0.58
2013,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,bw,DE1,0.63
2014,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,bw,DE1,0.73
2015,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,bw,DE1,0.75
2016,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,bw,DE1,0.76
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,by,DE2,0.15
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,by,DE2,0.15
2012,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,by,DE2,0.19
2013,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,by,DE2,0.23
2014,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,by,DE2,0.28
2015,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,by,DE2,0.32
2016,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,by,DE2,0.31
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,hb,DE5,0.2
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,hb,DE5,0.23
2012,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,hb,DE5,0.26
2013,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,hb,DE5,0.26
2014,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,hb,DE5,0.24
2015,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,hb,DE5,0.26
2016,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,hb,DE5,0.28
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,he,DE7,0.33
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,he,DE7,0.34
2012,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,he,DE7,0.34
2013,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,he,DE7,0.37
2014,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,he,DE7,0.38
2015,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,he,DE7,0.41
2016,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,he,DE7,0.42
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,hh,DE6,0.9
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,hh,DE6,0.97
2012,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,hh,DE6,1.06
2013,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,hh,DE6,1.16
2014,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,hh,DE6,1.26
2015,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,hh,DE6,1.35
2016,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,hh,DE6,1.35
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,mv,DE8,0.09
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,mv,DE8,0.1
2012,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,mv,DE8,0.1
2013,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,mv,DE8,0.12
2014,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,mv,DE8,0.13
2015,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,mv,DE8,0.12
2016,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,mv,DE8,0.14
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,ni,DE9,0.39
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,ni,DE9,0.41
2012,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,ni,DE9,0.42
2013,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,ni,DE9,0.47
2014,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,ni,DE9,0.54
2015,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,ni,DE9,0.6
2016,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,ni,DE9,0.67
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,nw,DEA,1.39
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,nw,DEA,1.67
2012,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,nw,DEA,1.87
2013,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,nw,DEA,2.06
2014,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,nw,DEA,2.4
2015,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,nw,DEA,2.52
2016,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,nw,DEA,2.67
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,rp,DEB,0.37
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,rp,DEB,0.34
2012,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,rp,DEB,0.34
2013,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,rp,DEB,0.35
2014,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,rp,DEB,0.39
2015,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,rp,DEB,0.41
2016,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,rp,DEB,0.42
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,sh,DEF,0.13
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,sh,DEF,0.12
2012,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,sh,DEF,0.12
2013,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,sh,DEF,0.12
2014,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,sh,DEF,0.12
2015,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,sh,DEF,0.13
2016,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,sh,DEF,0.13
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,sl,DEC,0.24
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,sl,DEC,0.27
2012,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,sl,DEC,0.32
2013,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,sl,DEC,0.38
2014,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,sl,DEC,0.39
2015,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,sl,DEC,0.43
2016,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,sl,DEC,0.45
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,sn,DED,0.15
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,sn,DED,0.17
2012,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,sn,DED,0.2
2013,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,sn,DED,0.23
2014,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,sn,DED,0.24
2015,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,sn,DED,0.28
2016,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,sn,DED,0.26
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,st,DEE,0.16
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,st,DEE,0.18
2012,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,st,DEE,0.2
2013,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,st,DEE,0.21
2014,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,st,DEE,0.2
2015,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,st,DEE,0.18
2016,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,st,DEE,0.22
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,th,DEG,0.15
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,th,DEG,0.14
2012,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,th,DEG,0.15
2013,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,th,DEG,0.17
2014,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,th,DEG,0.18
2015,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,th,DEG,0.19
2016,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,th,DEG,0.22
2005,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,,,121.72
2006,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,,,125.34
2007,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,,,120.09
2008,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,,,123.02
2009,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,,,127.49
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,,,132.28
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,,,140.31
2012,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,,,150.88
2013,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,,,164.1
2014,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,,,176.77
2015,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,,,190.4
2016,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,,,204.69
2017,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,,,219.31
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,bb,DE4,18.28
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,bb,DE4,19.08
2012,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,bb,DE4,21.12
2013,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,bb,DE4,22.84
2014,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,bb,DE4,24.6
2015,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,bb,DE4,26.28
2016,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,bb,DE4,28.31
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,be,DE3,13.01
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,be,DE3,14.06
2012,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,be,DE3,15.28
2013,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,be,DE3,17.72
2014,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,be,DE3,19.15
2015,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,be,DE3,21.17
2016,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,be,DE3,23.12
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,bw,DE1,10.24
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,bw,DE1,10.75
2012,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,bw,DE1,11.27
2013,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,bw,DE1,12.16
2014,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,bw,DE1,13.0
2015,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,bw,DE1,14.13
2016,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,bw,DE1,15.51
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,by,DE2,2.49
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,by,DE2,2.68
2012,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,by,DE2,2.97
2013,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,by,DE2,3.08
2014,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,by,DE2,3.25
2015,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,by,DE2,3.46
2016,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,by,DE2,3.83
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,hb,DE5,2.92
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,hb,DE5,2.96
2012,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,hb,DE5,2.99
2013,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,hb,DE5,3.12
2014,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,hb,DE5,3.31
2015,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,hb,DE5,3.39
2016,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,hb,DE5,3.56
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,he,DE7,4.61
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,he,DE7,4.98
2012,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,he,DE7,5.34
2013,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,he,DE7,5.47
2014,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,he,DE7,5.62
2015,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,he,DE7,5.97
2016,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,he,DE7,6.35
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,hh,DE6,15.89
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,hh,DE6,16.63
2012,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,hh,DE6,17.58
2013,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,hh,DE6,18.83
2014,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,hh,DE6,19.96
2015,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,hh,DE6,21.09
2016,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,hh,DE6,22.11
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,mv,DE8,1.15
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,mv,DE8,1.16
2012,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,mv,DE8,1.19
2013,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,mv,DE8,1.33
2014,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,mv,DE8,1.44
2015,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,mv,DE8,1.66
2016,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,mv,DE8,1.96
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,ni,DE9,9.04
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,ni,DE9,9.11
2012,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,ni,DE9,9.67
2013,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,ni,DE9,10.48
2014,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,ni,DE9,11.48
2015,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,ni,DE9,12.81
2016,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,ni,DE9,13.97
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,nw,DEA,34.34
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,nw,DEA,37.62
2012,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,nw,DEA,40.64
2013,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,nw,DEA,44.33
2014,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,nw,DEA,47.93
2015,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,nw,DEA,50.87
2016,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,nw,DEA,54.72
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,rp,DEB,6.03
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,rp,DEB,5.97
2012,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,rp,DEB,5.99
2013,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,rp,DEB,6.08
2014,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,rp,DEB,6.3
2015,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,rp,DEB,6.62
2016,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,rp,DEB,7.14
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,sh,DEF,1.61
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,sh,DEF,1.73
2012,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,sh,DEF,1.81
2013,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,sh,DEF,1.86
2014,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,sh,DEF,1.9
2015,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,sh,DEF,1.95
2016,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,sh,DEF,1.96
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,sl,DEC,4.74
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,sl,DEC,5.17
2012,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,sl,DEC,5.85
2013,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,sl,DEC,6.81
2014,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,sl,DEC,7.86
2015,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,sl,DEC,9.04
2016,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,sl,DEC,9.5
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,sn,DED,3.32
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,sn,DED,3.63
2012,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,sn,DED,3.96
2013,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,sn,DED,4.2
2014,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,sn,DED,4.56
2015,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,sn,DED,4.97
2016,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,sn,DED,5.06
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,st,DEE,2.19
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,st,DEE,2.25
2012,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,st,DEE,2.36
2013,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,st,DEE,2.4
2014,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,st,DEE,2.58
2015,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,st,DEE,2.74
2016,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,st,DEE,3.12
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,th,DEG,2.42
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,th,DEG,2.52
2012,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,th,DEG,2.86
2013,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,th,DEG,3.4
2014,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,th,DEG,3.85
2015,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,th,DEG,4.24
2016,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from other developing and emerging countries,th,DEG,4.49
2005,1 000,a) time series,students and researchers from developing and emerging countries in germany,researchers from ldcs,,,0.29
2006,1 000,a) time series,students and researchers from developing and emerging countries in germany,researchers from ldcs,,,0.31
2007,1 000,a) time series,students and researchers from developing and emerging countries in germany,researchers from ldcs,,,0.29
2008,1 000,a) time series,students and researchers from developing and emerging countries in germany,researchers from ldcs,,,0.35
2009,1 000,a) time series,students and researchers from developing and emerging countries in germany,researchers from ldcs,,,0.4
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,researchers from ldcs,,,0.43
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,researchers from ldcs,,,0.48
2012,1 000,a) time series,students and researchers from developing and emerging countries in germany,researchers from ldcs,,,0.51
2013,1 000,a) time series,students and researchers from developing and emerging countries in germany,researchers from ldcs,,,0.58
2014,1 000,a) time series,students and researchers from developing and emerging countries in germany,researchers from ldcs,,,0.5
2015,1 000,a) time series,students and researchers from developing and emerging countries in germany,researchers from ldcs,,,0.52
2016,1 000,a) time series,students and researchers from developing and emerging countries in germany,researchers from ldcs,,,0.56
2017,1 000,a) time series,students and researchers from developing and emerging countries in germany,researchers from ldcs,,,0.65
2004,1 000,a) time series,students and researchers from developing and emerging countries in germany,researchers from other developing and emerging countries,,,5.68
2005,1 000,a) time series,students and researchers from developing and emerging countries in germany,researchers from other developing and emerging countries,,,6.23
2006,1 000,a) time series,students and researchers from developing and emerging countries in germany,researchers from other developing and emerging countries,,,6.57
2007,1 000,a) time series,students and researchers from developing and emerging countries in germany,researchers from other developing and emerging countries,,,7.94
2008,1 000,a) time series,students and researchers from developing and emerging countries in germany,researchers from other developing and emerging countries,,,9.25
2009,1 000,a) time series,students and researchers from developing and emerging countries in germany,researchers from other developing and emerging countries,,,10.35
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,researchers from other developing and emerging countries,,,10.95
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,researchers from other developing and emerging countries,,,11.74
