Year,title,display,dimension,Bundesland,GeoCode,Value
2011,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,BE,DE3,0.57
2012,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,BE,DE3,0.62
2013,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,BE,DE3,0.72
2014,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,BE,DE3,0.81
2015,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,BE,DE3,0.86
2016,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,BE,DE3,0.88
2010,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,BW,DE1,0.5
2011,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,BW,DE1,0.57
2012,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,BW,DE1,0.58
2013,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,BW,DE1,0.63
2014,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,BW,DE1,0.73
2015,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,BW,DE1,0.75
2016,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,BW,DE1,0.76
2010,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,BY,DE2,0.15
2011,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,BY,DE2,0.15
2012,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,BY,DE2,0.19
2013,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,BY,DE2,0.23
2014,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,BY,DE2,0.28
2015,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,BY,DE2,0.32
2016,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,BY,DE2,0.31
2010,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,HB,DE5,0.2
2011,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,HB,DE5,0.23
2012,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,HB,DE5,0.26
2013,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,HB,DE5,0.26
2014,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,HB,DE5,0.24
2015,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,HB,DE5,0.26
2016,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,HB,DE5,0.28
2010,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,HE,DE7,0.33
2011,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,HE,DE7,0.34
2012,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,HE,DE7,0.34
2013,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,HE,DE7,0.37
2014,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,HE,DE7,0.38
2015,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,HE,DE7,0.41
2016,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,HE,DE7,0.42
2010,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,HH,DE6,0.9
2011,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,HH,DE6,0.97
2012,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,HH,DE6,1.06
2013,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,HH,DE6,1.16
2014,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,HH,DE6,1.26
2015,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,HH,DE6,1.35
2016,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,HH,DE6,1.35
2010,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,MV,DE8,0.09
2011,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,MV,DE8,0.1
2012,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,MV,DE8,0.1
2013,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,MV,DE8,0.12
2014,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,MV,DE8,0.13
2015,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,MV,DE8,0.12
2016,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,MV,DE8,0.14
2010,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,NI,DE9,0.39
2011,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,NI,DE9,0.41
2012,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,NI,DE9,0.42
2013,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,NI,DE9,0.47
2014,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,NI,DE9,0.54
2015,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,NI,DE9,0.6
2016,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,NI,DE9,0.67
2010,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,NW,DEA,1.39
2011,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,NW,DEA,1.67
2012,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,NW,DEA,1.87
2013,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,NW,DEA,2.06
2014,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,NW,DEA,2.4
2015,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,NW,DEA,2.52
2016,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,NW,DEA,2.67
2010,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,RP,DEB,0.37
2011,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,RP,DEB,0.34
2012,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,RP,DEB,0.34
2013,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,RP,DEB,0.35
2014,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,RP,DEB,0.39
2015,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,RP,DEB,0.41
2016,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,RP,DEB,0.42
2010,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,SH,DEF,0.13
2011,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,SH,DEF,0.12
2012,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,SH,DEF,0.12
2013,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,SH,DEF,0.12
2014,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,SH,DEF,0.12
2015,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,SH,DEF,0.13
2016,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,SH,DEF,0.13
2010,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,SL,DEC,0.24
2011,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,SL,DEC,0.27
2012,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,SL,DEC,0.32
2013,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,SL,DEC,0.38
2014,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,SL,DEC,0.39
2015,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,SL,DEC,0.43
2016,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,SL,DEC,0.45
2010,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,SN,DED,0.15
2011,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,SN,DED,0.17
2012,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,SN,DED,0.2
2013,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,SN,DED,0.23
2014,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,SN,DED,0.24
2015,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,SN,DED,0.28
2016,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,SN,DED,0.26
2010,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,ST,DED,0.16
2011,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,ST,DED,0.18
2012,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,ST,DED,0.2
2013,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,ST,DED,0.21
2014,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,ST,DED,0.2
2015,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,ST,DED,0.18
2016,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,ST,DED,0.22
2010,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,TH,DEG,0.15
2011,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,TH,DEG,0.14
2012,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,TH,DEG,0.15
2013,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,TH,DEG,0.17
2014,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,TH,DEG,0.18
2015,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,TH,DEG,0.19
2016,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,TH,DEG,0.22
2005,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,,,121.72
2006,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,,,125.34
2007,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,,,120.09
2008,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,,,123.02
2009,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,,,127.49
2010,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,,,132.28
2011,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,,,140.31
2012,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,,,150.88
2013,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,,,164.1
2014,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,,,176.77
2015,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,,,190.4
2016,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,,,204.69
2017,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,,,219.31
2010,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,BB,DE4,18.28
2011,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,BB,DE4,19.08
2012,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,BB,DE4,21.12
2013,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,BB,DE4,22.84
2014,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,BB,DE4,24.6
2015,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,BB,DE4,26.28
2016,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,BB,DE4,28.31
2010,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,BE,DE3,13.01
2011,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,BE,DE3,14.06
2012,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,BE,DE3,15.28
2013,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,BE,DE3,17.72
2014,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,BE,DE3,19.15
2015,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,BE,DE3,21.17
2016,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,BE,DE3,23.12
2010,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,BW,DE1,10.24
2011,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,BW,DE1,10.75
2012,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,BW,DE1,11.27
2013,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,BW,DE1,12.16
2014,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,BW,DE1,13.0
2015,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,BW,DE1,14.13
2016,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,BW,DE1,15.51
2010,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,BY,DE2,2.49
2011,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,BY,DE2,2.68
2012,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,BY,DE2,2.97
2013,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,BY,DE2,3.08
2014,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,BY,DE2,3.25
2015,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,BY,DE2,3.46
2016,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,BY,DE2,3.83
2010,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,HB,DE5,2.92
2011,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,HB,DE5,2.96
2012,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,HB,DE5,2.99
2013,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,HB,DE5,3.12
2014,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,HB,DE5,3.31
2015,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,HB,DE5,3.39
2016,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,HB,DE5,3.56
2010,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,HE,DE7,4.61
2011,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,HE,DE7,4.98
2012,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,HE,DE7,5.34
2013,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,HE,DE7,5.47
2014,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,HE,DE7,5.62
2015,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,HE,DE7,5.97
2016,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,HE,DE7,6.35
2010,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,HH,DE6,15.89
2011,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,HH,DE6,16.63
2012,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,HH,DE6,17.58
2013,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,HH,DE6,18.83
2014,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,HH,DE6,19.96
2015,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,HH,DE6,21.09
2016,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,HH,DE6,22.11
2010,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,MV,DE8,1.15
2011,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,MV,DE8,1.16
2012,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,MV,DE8,1.19
2013,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,MV,DE8,1.33
2014,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,MV,DE8,1.44
2015,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,MV,DE8,1.66
2016,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,MV,DE8,1.96
2010,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,NI,DE9,9.04
2011,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,NI,DE9,9.11
2012,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,NI,DE9,9.67
2013,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,NI,DE9,10.48
2014,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,NI,DE9,11.48
2015,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,NI,DE9,12.81
2016,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,NI,DE9,13.97
2010,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,NW,DEA,34.34
2011,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,NW,DEA,37.62
2012,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,NW,DEA,40.64
2013,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,NW,DEA,44.33
2014,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,NW,DEA,47.93
2015,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,NW,DEA,50.87
2016,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,NW,DEA,54.72
2010,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,RP,DEB,6.03
2011,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,RP,DEB,5.97
2012,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,RP,DEB,5.99
2013,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,RP,DEB,6.08
2014,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,RP,DEB,6.3
2015,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,RP,DEB,6.62
2016,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,RP,DEB,7.14
2010,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,SH,DEF,1.61
2011,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,SH,DEF,1.73
2012,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,SH,DEF,1.81
2013,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,SH,DEF,1.86
2014,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,SH,DEF,1.9
2015,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,SH,DEF,1.95
2016,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,SH,DEF,1.96
2010,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,SL,DEC,4.74
2011,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,SL,DEC,5.17
2012,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,SL,DEC,5.85
2013,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,SL,DEC,6.81
2014,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,SL,DEC,7.86
2015,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,SL,DEC,9.04
2016,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,SL,DEC,9.5
2010,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,SN,DED,3.32
2011,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,SN,DED,3.63
2012,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,SN,DED,3.96
2013,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,SN,DED,4.2
2014,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,SN,DED,4.56
2015,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,SN,DED,4.97
2016,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,SN,DED,5.06
2010,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,ST,DED,2.19
2011,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,ST,DED,2.25
2012,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,ST,DED,2.36
2013,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,ST,DED,2.4
2014,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,ST,DED,2.58
2015,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,ST,DED,2.74
2016,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,ST,DED,3.12
2010,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,TH,DEG,2.42
2011,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,TH,DEG,2.52
2012,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,TH,DEG,2.86
2013,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,TH,DEG,3.4
2014,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,TH,DEG,3.85
2015,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,TH,DEG,4.24
2016,Students and researchers from developing and emerging countries in Germany,Time series,Students from other developing and emerging countries,TH,DEG,4.49
2005,Students and researchers from developing and emerging countries in Germany,Time series,Researchers from LDCs,,,0.29
2006,Students and researchers from developing and emerging countries in Germany,Time series,Researchers from LDCs,,,0.31
2007,Students and researchers from developing and emerging countries in Germany,Time series,Researchers from LDCs,,,0.29
2008,Students and researchers from developing and emerging countries in Germany,Time series,Researchers from LDCs,,,0.35
2009,Students and researchers from developing and emerging countries in Germany,Time series,Researchers from LDCs,,,0.4
2010,Students and researchers from developing and emerging countries in Germany,Time series,Researchers from LDCs,,,0.43
2011,Students and researchers from developing and emerging countries in Germany,Time series,Researchers from LDCs,,,0.48
2012,Students and researchers from developing and emerging countries in Germany,Time series,Researchers from LDCs,,,0.51
2013,Students and researchers from developing and emerging countries in Germany,Time series,Researchers from LDCs,,,0.58
2014,Students and researchers from developing and emerging countries in Germany,Time series,Researchers from LDCs,,,0.5
2015,Students and researchers from developing and emerging countries in Germany,Time series,Researchers from LDCs,,,0.52
2016,Students and researchers from developing and emerging countries in Germany,Time series,Researchers from LDCs,,,0.56
2017,Students and researchers from developing and emerging countries in Germany,Time series,Researchers from LDCs,,,0.65
2004,Students and researchers from developing and emerging countries in Germany,Time series,Researchers from other developing and emerging countries,,,5.68
2005,Students and researchers from developing and emerging countries in Germany,Time series,Researchers from other developing and emerging countries,,,6.23
2006,Students and researchers from developing and emerging countries in Germany,Time series,Researchers from other developing and emerging countries,,,6.57
2007,Students and researchers from developing and emerging countries in Germany,Time series,Researchers from other developing and emerging countries,,,7.94
2008,Students and researchers from developing and emerging countries in Germany,Time series,Researchers from other developing and emerging countries,,,9.25
2009,Students and researchers from developing and emerging countries in Germany,Time series,Researchers from other developing and emerging countries,,,10.35
2010,Students and researchers from developing and emerging countries in Germany,Time series,Researchers from other developing and emerging countries,,,10.95
2011,Students and researchers from developing and emerging countries in Germany,Time series,Researchers from other developing and emerging countries,,,11.74
2012,Students and researchers from developing and emerging countries in Germany,Time series,Researchers from other developing and emerging countries,,,12.87
2013,Students and researchers from developing and emerging countries in Germany,Time series,Researchers from other developing and emerging countries,,,13.84
2014,Students and researchers from developing and emerging countries in Germany,Time series,Researchers from other developing and emerging countries,,,14.59
2015,Students and researchers from developing and emerging countries in Germany,Time series,Researchers from other developing and emerging countries,,,15.32
2016,Students and researchers from developing and emerging countries in Germany,Time series,Researchers from other developing and emerging countries,,,16.9
