Year,Units,typification,Bundesland,GeoCode,Value
2013,m2/(inhabitant*a),rural areas,,,-5.4575
2014,m2/(inhabitant*a),rural areas,,,-5.6604
2015,m2/(inhabitant*a),rural areas,,,-4.3197
2016,m2/(inhabitant*a),rural areas,,,-4.2775
2017,m2/(inhabitant*a),rural areas,,,-4.3711
2018,m2/(inhabitant*a),rural areas,,,-4.4872
2004,m2/(inhabitant*a),a) rural and non-rural areas,bw,Baden-Württemberg,-3.5635
2005,m2/(inhabitant*a),a) rural and non-rural areas,bw,Baden-Württemberg,-3.2946
2006,m2/(inhabitant*a),a) rural and non-rural areas,bw,Baden-Württemberg,-3.1716
2007,m2/(inhabitant*a),a) rural and non-rural areas,bw,Baden-Württemberg,-3.1669
2008,m2/(inhabitant*a),a) rural and non-rural areas,bw,Baden-Württemberg,-3.1182
2009,m2/(inhabitant*a),a) rural and non-rural areas,bw,Baden-Württemberg,-2.9779
2010,m2/(inhabitant*a),a) rural and non-rural areas,bw,Baden-Württemberg,-2.7443
2011,m2/(inhabitant*a),a) rural and non-rural areas,bw,Baden-Württemberg,-2.4076
2012,m2/(inhabitant*a),a) rural and non-rural areas,bw,Baden-Württemberg,-2.2775
2013,m2/(inhabitant*a),a) rural and non-rural areas,bw,Baden-Württemberg,-2.1429
2014,m2/(inhabitant*a),a) rural and non-rural areas,bw,Baden-Württemberg,-2.0282
2015,m2/(inhabitant*a),a) rural and non-rural areas,bw,Baden-Württemberg,-1.9178
2016,m2/(inhabitant*a),a) rural and non-rural areas,bw,Baden-Württemberg,-1.7003
2017,m2/(inhabitant*a),a) rural and non-rural areas,bw,Baden-Württemberg,-1.8802
2018,m2/(inhabitant*a),a) rural and non-rural areas,bw,Baden-Württemberg,-1.8098
2009,m2/(inhabitant*a),non-rural areas,bw,Baden-Württemberg,-1.1065
2010,m2/(inhabitant*a),non-rural areas,bw,Baden-Württemberg,-1.2135
2011,m2/(inhabitant*a),non-rural areas,bw,Baden-Württemberg,-1.1994
2012,m2/(inhabitant*a),non-rural areas,bw,Baden-Württemberg,-1.0928
2013,m2/(inhabitant*a),non-rural areas,bw,Baden-Württemberg,-1.0243
2014,m2/(inhabitant*a),non-rural areas,bw,Baden-Württemberg,-0.8991
2015,m2/(inhabitant*a),non-rural areas,bw,Baden-Württemberg,-0.8518
2016,m2/(inhabitant*a),non-rural areas,bw,Baden-Württemberg,-0.7791
2017,m2/(inhabitant*a),non-rural areas,bw,Baden-Württemberg,-0.8672
2018,m2/(inhabitant*a),non-rural areas,bw,Baden-Württemberg,-0.7798
2009,m2/(inhabitant*a),rural areas,bw,Baden-Württemberg,-3.2436
2010,m2/(inhabitant*a),rural areas,bw,Baden-Württemberg,-3.0632
2011,m2/(inhabitant*a),rural areas,bw,Baden-Württemberg,-3.0025
2012,m2/(inhabitant*a),rural areas,bw,Baden-Württemberg,-3.0911
2013,m2/(inhabitant*a),rural areas,bw,Baden-Württemberg,-2.8986
2014,m2/(inhabitant*a),rural areas,bw,Baden-Württemberg,-2.7557
2015,m2/(inhabitant*a),rural areas,bw,Baden-Württemberg,-2.6015
2016,m2/(inhabitant*a),rural areas,bw,Baden-Württemberg,-2.3017
2017,m2/(inhabitant*a),rural areas,bw,Baden-Württemberg,-2.5769
2018,m2/(inhabitant*a),rural areas,bw,Baden-Württemberg,-2.5448
2004,m2/(inhabitant*a),a) rural and non-rural areas,by,Bayern,-5.3065
2005,m2/(inhabitant*a),a) rural and non-rural areas,by,Bayern,-4.8676
2006,m2/(inhabitant*a),a) rural and non-rural areas,by,Bayern,-5.0365
2007,m2/(inhabitant*a),a) rural and non-rural areas,by,Bayern,-4.9669
2008,m2/(inhabitant*a),a) rural and non-rural areas,by,Bayern,-5.04
2009,m2/(inhabitant*a),a) rural and non-rural areas,by,Bayern,-5.0761
2010,m2/(inhabitant*a),a) rural and non-rural areas,by,Bayern,-5.0905
2011,m2/(inhabitant*a),a) rural and non-rural areas,by,Bayern,-8.4731
2012,m2/(inhabitant*a),a) rural and non-rural areas,by,Bayern,-8.1536
2013,m2/(inhabitant*a),a) rural and non-rural areas,by,Bayern,-7.867
2014,m2/(inhabitant*a),a) rural and non-rural areas,by,Bayern,-7.1199
2015,m2/(inhabitant*a),a) rural and non-rural areas,by,Bayern,-3.4936
2016,m2/(inhabitant*a),a) rural and non-rural areas,by,Bayern,-3.2783
2017,m2/(inhabitant*a),a) rural and non-rural areas,by,Bayern,-3.1865
2018,m2/(inhabitant*a),a) rural and non-rural areas,by,Bayern,-3.1153
2009,m2/(inhabitant*a),non-rural areas,by,Bayern,-1.52
2010,m2/(inhabitant*a),non-rural areas,by,Bayern,-1.6539
2011,m2/(inhabitant*a),non-rural areas,by,Bayern,-1.9564
2012,m2/(inhabitant*a),non-rural areas,by,Bayern,-1.6801
2013,m2/(inhabitant*a),non-rural areas,by,Bayern,-1.5258
2014,m2/(inhabitant*a),non-rural areas,by,Bayern,-1.2607
2015,m2/(inhabitant*a),non-rural areas,by,Bayern,-0.8397
2016,m2/(inhabitant*a),non-rural areas,by,Bayern,-0.9452
2017,m2/(inhabitant*a),non-rural areas,by,Bayern,-1.1054
2018,m2/(inhabitant*a),non-rural areas,by,Bayern,-1.1011
2009,m2/(inhabitant*a),rural areas,by,Bayern,-5.989
2010,m2/(inhabitant*a),rural areas,by,Bayern,-6.8063
2011,m2/(inhabitant*a),rural areas,by,Bayern,-12.5868
2012,m2/(inhabitant*a),rural areas,by,Bayern,-10.5726
2013,m2/(inhabitant*a),rural areas,by,Bayern,-10.2495
2014,m2/(inhabitant*a),rural areas,by,Bayern,-9.3461
2015,m2/(inhabitant*a),rural areas,by,Bayern,-4.5127
2016,m2/(inhabitant*a),rural areas,by,Bayern,-4.1716
2017,m2/(inhabitant*a),rural areas,by,Bayern,-3.9848
2018,m2/(inhabitant*a),rural areas,by,Bayern,-3.8781
2004,m2/(inhabitant*a),a) rural and non-rural areas,be,Berlin,-0.295
2005,m2/(inhabitant*a),a) rural and non-rural areas,be,Berlin,-0.2947
2006,m2/(inhabitant*a),a) rural and non-rural areas,be,Berlin,-0.221
2007,m2/(inhabitant*a),a) rural and non-rural areas,be,Berlin,-0.2936
2008,m2/(inhabitant*a),a) rural and non-rural areas,be,Berlin,-0.2936
2009,m2/(inhabitant*a),a) rural and non-rural areas,be,Berlin,-0.3642
2010,m2/(inhabitant*a),a) rural and non-rural areas,be,Berlin,-0.4365
2011,m2/(inhabitant*a),a) rural and non-rural areas,be,Berlin,-0.2901
2012,m2/(inhabitant*a),a) rural and non-rural areas,be,Berlin,-0.142
2013,m2/(inhabitant*a),a) rural and non-rural areas,be,Berlin,0.0028
2014,m2/(inhabitant*a),a) rural and non-rural areas,be,Berlin,0.0751
2015,m2/(inhabitant*a),a) rural and non-rural areas,be,Berlin,0.0751
2016,m2/(inhabitant*a),a) rural and non-rural areas,be,Berlin,-0.1577
2017,m2/(inhabitant*a),a) rural and non-rural areas,be,Berlin,-0.1517
2018,m2/(inhabitant*a),a) rural and non-rural areas,be,Berlin,-0.1799
2004,m2/(inhabitant*a),a) rural and non-rural areas,bb,Brandenburg,-11.6269
2005,m2/(inhabitant*a),a) rural and non-rural areas,bb,Brandenburg,-12.2559
2006,m2/(inhabitant*a),a) rural and non-rural areas,bb,Brandenburg,-12.3935
2007,m2/(inhabitant*a),a) rural and non-rural areas,bb,Brandenburg,-11.9451
2008,m2/(inhabitant*a),a) rural and non-rural areas,bb,Brandenburg,-13.5762
2009,m2/(inhabitant*a),a) rural and non-rural areas,bb,Brandenburg,-12.1577
2010,m2/(inhabitant*a),a) rural and non-rural areas,bb,Brandenburg,-10.8136
2011,m2/(inhabitant*a),a) rural and non-rural areas,bb,Brandenburg,-9.5718
2012,m2/(inhabitant*a),a) rural and non-rural areas,bb,Brandenburg,-6.736
2013,m2/(inhabitant*a),a) rural and non-rural areas,bb,Brandenburg,-8.4325
2014,m2/(inhabitant*a),a) rural and non-rural areas,bb,Brandenburg,-7.8536
2015,m2/(inhabitant*a),a) rural and non-rural areas,bb,Brandenburg,-7.335
2016,m2/(inhabitant*a),a) rural and non-rural areas,bb,Brandenburg,-7.0644
2017,m2/(inhabitant*a),a) rural and non-rural areas,bb,Brandenburg,-3.0841
2018,m2/(inhabitant*a),a) rural and non-rural areas,bb,Brandenburg,-2.5484
2009,m2/(inhabitant*a),non-rural areas,bb,Brandenburg,1.3583
2010,m2/(inhabitant*a),non-rural areas,bb,Brandenburg,0.2012
2011,m2/(inhabitant*a),non-rural areas,bb,Brandenburg,0.0495
2012,m2/(inhabitant*a),non-rural areas,bb,Brandenburg,-0.794
2013,m2/(inhabitant*a),non-rural areas,bb,Brandenburg,-1.4355
2014,m2/(inhabitant*a),non-rural areas,bb,Brandenburg,-1.3563
2015,m2/(inhabitant*a),non-rural areas,bb,Brandenburg,-1.4717
2016,m2/(inhabitant*a),non-rural areas,bb,Brandenburg,-1.2517
2017,m2/(inhabitant*a),non-rural areas,bb,Brandenburg,-1.0921
2018,m2/(inhabitant*a),non-rural areas,bb,Brandenburg,-1.1569
2009,m2/(inhabitant*a),rural areas,bb,Brandenburg,-10.518
2010,m2/(inhabitant*a),rural areas,bb,Brandenburg,-8.9647
2011,m2/(inhabitant*a),rural areas,bb,Brandenburg,-7.687
2012,m2/(inhabitant*a),rural areas,bb,Brandenburg,-7.1497
2013,m2/(inhabitant*a),rural areas,bb,Brandenburg,-8.9743
2014,m2/(inhabitant*a),rural areas,bb,Brandenburg,-8.2657
2015,m2/(inhabitant*a),rural areas,bb,Brandenburg,-7.7057
2016,m2/(inhabitant*a),rural areas,bb,Brandenburg,-7.432
2017,m2/(inhabitant*a),rural areas,bb,Brandenburg,-3.1927
2018,m2/(inhabitant*a),rural areas,bb,Brandenburg,-2.6579
2004,m2/(inhabitant*a),a) rural and non-rural areas,hb,Bremen,-0.756
2005,m2/(inhabitant*a),a) rural and non-rural areas,hb,Bremen,-0.7538
2006,m2/(inhabitant*a),a) rural and non-rural areas,hb,Bremen,-0.7538
2007,m2/(inhabitant*a),a) rural and non-rural areas,hb,Bremen,-1.1309
2008,m2/(inhabitant*a),a) rural and non-rural areas,hb,Bremen,-1.1309
2009,m2/(inhabitant*a),a) rural and non-rural areas,hb,Bremen,-0.7541
2010,m2/(inhabitant*a),a) rural and non-rural areas,hb,Bremen,-1.1324
2011,m2/(inhabitant*a),a) rural and non-rural areas,hb,Bremen,-0.7617
2012,m2/(inhabitant*a),a) rural and non-rural areas,hb,Bremen,-1.5253
2013,m2/(inhabitant*a),a) rural and non-rural areas,hb,Bremen,-1.5253
2014,m2/(inhabitant*a),a) rural and non-rural areas,hb,Bremen,-1.5247
2015,m2/(inhabitant*a),a) rural and non-rural areas,hb,Bremen,-1.1413
2016,m2/(inhabitant*a),a) rural and non-rural areas,hb,Bremen,-0.7276
2017,m2/(inhabitant*a),a) rural and non-rural areas,hb,Bremen,-0.8304
2018,m2/(inhabitant*a),a) rural and non-rural areas,hb,Bremen,-0.3246
2004,m2/(inhabitant*a),a) rural and non-rural areas,hh,Hamburg,-1.5874
2005,m2/(inhabitant*a),a) rural and non-rural areas,hh,Hamburg,-2.1609
2006,m2/(inhabitant*a),a) rural and non-rural areas,hh,Hamburg,-1.8675
2007,m2/(inhabitant*a),a) rural and non-rural areas,hh,Hamburg,-1.5762
2008,m2/(inhabitant*a),a) rural and non-rural areas,hh,Hamburg,-0.9997
2009,m2/(inhabitant*a),a) rural and non-rural areas,hh,Hamburg,-0.5671
2010,m2/(inhabitant*a),a) rural and non-rural areas,hh,Hamburg,-0.422
2011,m2/(inhabitant*a),a) rural and non-rural areas,hh,Hamburg,-0.2808
2012,m2/(inhabitant*a),a) rural and non-rural areas,hh,Hamburg,-0.425
2013,m2/(inhabitant*a),a) rural and non-rural areas,hh,Hamburg,-0.5704
2014,m2/(inhabitant*a),a) rural and non-rural areas,hh,Hamburg,-0.005
2015,m2/(inhabitant*a),a) rural and non-rural areas,hh,Hamburg,0.4146
2016,m2/(inhabitant*a),a) rural and non-rural areas,hh,Hamburg,0.9937
2017,m2/(inhabitant*a),a) rural and non-rural areas,hh,Hamburg,1.224
2018,m2/(inhabitant*a),a) rural and non-rural areas,hh,Hamburg,0.8393
2004,m2/(inhabitant*a),a) rural and non-rural areas,he,Hessen,-2.3808
2005,m2/(inhabitant*a),a) rural and non-rural areas,he,Hessen,-2.5029
2006,m2/(inhabitant*a),a) rural and non-rural areas,he,Hessen,-2.2991
2007,m2/(inhabitant*a),a) rural and non-rural areas,he,Hessen,-2.3419
2008,m2/(inhabitant*a),a) rural and non-rural areas,he,Hessen,-2.1394
2009,m2/(inhabitant*a),a) rural and non-rural areas,he,Hessen,-2.1421
2010,m2/(inhabitant*a),a) rural and non-rural areas,he,Hessen,-2.2251
2011,m2/(inhabitant*a),a) rural and non-rural areas,he,Hessen,-1.7333
2012,m2/(inhabitant*a),a) rural and non-rural areas,he,Hessen,-1.8616
2013,m2/(inhabitant*a),a) rural and non-rural areas,he,Hessen,-1.6563
2014,m2/(inhabitant*a),a) rural and non-rural areas,he,Hessen,-1.6127
2015,m2/(inhabitant*a),a) rural and non-rural areas,he,Hessen,-1.8102
2016,m2/(inhabitant*a),a) rural and non-rural areas,he,Hessen,-1.964
2017,m2/(inhabitant*a),a) rural and non-rural areas,he,Hessen,-2.1794
2018,m2/(inhabitant*a),a) rural and non-rural areas,he,Hessen,-2.0566
2009,m2/(inhabitant*a),non-rural areas,he,Hessen,-0.6245
2010,m2/(inhabitant*a),non-rural areas,he,Hessen,-0.8564
2011,m2/(inhabitant*a),non-rural areas,he,Hessen,-0.8628
2012,m2/(inhabitant*a),non-rural areas,he,Hessen,-1.072
2013,m2/(inhabitant*a),non-rural areas,he,Hessen,-1.0562
2014,m2/(inhabitant*a),non-rural areas,he,Hessen,-1.2684
2015,m2/(inhabitant*a),non-rural areas,he,Hessen,-1.2609
2016,m2/(inhabitant*a),non-rural areas,he,Hessen,-1.1764
2017,m2/(inhabitant*a),non-rural areas,he,Hessen,-1.3871
2018,m2/(inhabitant*a),non-rural areas,he,Hessen,-1.0115
2009,m2/(inhabitant*a),rural areas,he,Hessen,-3.1783
2010,m2/(inhabitant*a),rural areas,he,Hessen,-3.062
2011,m2/(inhabitant*a),rural areas,he,Hessen,-2.3073
2012,m2/(inhabitant*a),rural areas,he,Hessen,-2.3848
2013,m2/(inhabitant*a),rural areas,he,Hessen,-2.0522
2014,m2/(inhabitant*a),rural areas,he,Hessen,-1.8824
2015,m2/(inhabitant*a),rural areas,he,Hessen,-2.1697
2016,m2/(inhabitant*a),rural areas,he,Hessen,-2.5234
2017,m2/(inhabitant*a),rural areas,he,Hessen,-2.7503
2018,m2/(inhabitant*a),rural areas,he,Hessen,-2.8098
2004,m2/(inhabitant*a),a) rural and non-rural areas,mv,Mecklenburg-Vorpommern,-18.4027
2005,m2/(inhabitant*a),a) rural and non-rural areas,mv,Mecklenburg-Vorpommern,-18.0816
2006,m2/(inhabitant*a),a) rural and non-rural areas,mv,Mecklenburg-Vorpommern,-16.4782
2007,m2/(inhabitant*a),a) rural and non-rural areas,mv,Mecklenburg-Vorpommern,-15.2877
2008,m2/(inhabitant*a),a) rural and non-rural areas,mv,Mecklenburg-Vorpommern,-16.9298
2009,m2/(inhabitant*a),a) rural and non-rural areas,mv,Mecklenburg-Vorpommern,-17.6548
2010,m2/(inhabitant*a),a) rural and non-rural areas,mv,Mecklenburg-Vorpommern,-17.6273
2011,m2/(inhabitant*a),a) rural and non-rural areas,mv,Mecklenburg-Vorpommern,-15.611
2012,m2/(inhabitant*a),a) rural and non-rural areas,mv,Mecklenburg-Vorpommern,-11.4713
2013,m2/(inhabitant*a),a) rural and non-rural areas,mv,Mecklenburg-Vorpommern,-8.4847
2014,m2/(inhabitant*a),a) rural and non-rural areas,mv,Mecklenburg-Vorpommern,-8.1226
2015,m2/(inhabitant*a),a) rural and non-rural areas,mv,Mecklenburg-Vorpommern,-7.032
2016,m2/(inhabitant*a),a) rural and non-rural areas,mv,Mecklenburg-Vorpommern,-15.3994
2017,m2/(inhabitant*a),a) rural and non-rural areas,mv,Mecklenburg-Vorpommern,-9.6545
2018,m2/(inhabitant*a),a) rural and non-rural areas,mv,Mecklenburg-Vorpommern,-6.3477
2009,m2/(inhabitant*a),non-rural areas,mv,Mecklenburg-Vorpommern,-0.0993
2010,m2/(inhabitant*a),non-rural areas,mv,Mecklenburg-Vorpommern,-1.6527
2011,m2/(inhabitant*a),non-rural areas,mv,Mecklenburg-Vorpommern,-1.3165
2012,m2/(inhabitant*a),non-rural areas,mv,Mecklenburg-Vorpommern,-1.2708
2013,m2/(inhabitant*a),non-rural areas,mv,Mecklenburg-Vorpommern,-1.4614
2014,m2/(inhabitant*a),non-rural areas,mv,Mecklenburg-Vorpommern,-0.886
2015,m2/(inhabitant*a),non-rural areas,mv,Mecklenburg-Vorpommern,-3.0428
2016,m2/(inhabitant*a),non-rural areas,mv,Mecklenburg-Vorpommern,-2.9763
2017,m2/(inhabitant*a),non-rural areas,mv,Mecklenburg-Vorpommern,-2.8808
2018,m2/(inhabitant*a),non-rural areas,mv,Mecklenburg-Vorpommern,-2.6786
2009,m2/(inhabitant*a),rural areas,mv,Mecklenburg-Vorpommern,-19.2582
2010,m2/(inhabitant*a),rural areas,mv,Mecklenburg-Vorpommern,-18.4198
2011,m2/(inhabitant*a),rural areas,mv,Mecklenburg-Vorpommern,-14.581
2012,m2/(inhabitant*a),rural areas,mv,Mecklenburg-Vorpommern,-12.8983
2013,m2/(inhabitant*a),rural areas,mv,Mecklenburg-Vorpommern,-9.4616
2014,m2/(inhabitant*a),rural areas,mv,Mecklenburg-Vorpommern,-6.3337
2015,m2/(inhabitant*a),rural areas,mv,Mecklenburg-Vorpommern,-7.6032
2016,m2/(inhabitant*a),rural areas,mv,Mecklenburg-Vorpommern,-17.1717
2017,m2/(inhabitant*a),rural areas,mv,Mecklenburg-Vorpommern,-10.6182
2018,m2/(inhabitant*a),rural areas,mv,Mecklenburg-Vorpommern,-9.6791
2004,m2/(inhabitant*a),a) rural and non-rural areas,ni,Niedersachsen,-6.6074
2005,m2/(inhabitant*a),a) rural and non-rural areas,ni,Niedersachsen,-6.4742
2006,m2/(inhabitant*a),a) rural and non-rural areas,ni,Niedersachsen,-6.3799
2007,m2/(inhabitant*a),a) rural and non-rural areas,ni,Niedersachsen,-6.1329
2008,m2/(inhabitant*a),a) rural and non-rural areas,ni,Niedersachsen,-5.3291
2009,m2/(inhabitant*a),a) rural and non-rural areas,ni,Niedersachsen,-4.7116
2010,m2/(inhabitant*a),a) rural and non-rural areas,ni,Niedersachsen,-4.3745
2011,m2/(inhabitant*a),a) rural and non-rural areas,ni,Niedersachsen,-4.9193
2012,m2/(inhabitant*a),a) rural and non-rural areas,ni,Niedersachsen,-4.7865
2013,m2/(inhabitant*a),a) rural and non-rural areas,ni,Niedersachsen,-4.9001
2014,m2/(inhabitant*a),a) rural and non-rural areas,ni,Niedersachsen,-5.1983
2015,m2/(inhabitant*a),a) rural and non-rural areas,ni,Niedersachsen,-4.5342
2016,m2/(inhabitant*a),a) rural and non-rural areas,ni,Niedersachsen,-3.4719
2017,m2/(inhabitant*a),a) rural and non-rural areas,ni,Niedersachsen,-3.1312
2018,m2/(inhabitant*a),a) rural and non-rural areas,ni,Niedersachsen,-2.7248
2009,m2/(inhabitant*a),non-rural areas,ni,Niedersachsen,-1.1516
2010,m2/(inhabitant*a),non-rural areas,ni,Niedersachsen,-1.6348
2011,m2/(inhabitant*a),non-rural areas,ni,Niedersachsen,-2.3663
2012,m2/(inhabitant*a),non-rural areas,ni,Niedersachsen,-2.1211
2013,m2/(inhabitant*a),non-rural areas,ni,Niedersachsen,-2.1105
2014,m2/(inhabitant*a),non-rural areas,ni,Niedersachsen,-1.819
2015,m2/(inhabitant*a),non-rural areas,ni,Niedersachsen,-1.1379
2016,m2/(inhabitant*a),non-rural areas,ni,Niedersachsen,-0.5241
2017,m2/(inhabitant*a),non-rural areas,ni,Niedersachsen,-0.1526
2018,m2/(inhabitant*a),non-rural areas,ni,Niedersachsen,-0.3856
2009,m2/(inhabitant*a),rural areas,ni,Niedersachsen,-4.7828
2010,m2/(inhabitant*a),rural areas,ni,Niedersachsen,-4.4654
2011,m2/(inhabitant*a),rural areas,ni,Niedersachsen,-5.6073
2012,m2/(inhabitant*a),rural areas,ni,Niedersachsen,-5.6042
2013,m2/(inhabitant*a),rural areas,ni,Niedersachsen,-5.7338
2014,m2/(inhabitant*a),rural areas,ni,Niedersachsen,-6.1949
2015,m2/(inhabitant*a),rural areas,ni,Niedersachsen,-5.5576
2016,m2/(inhabitant*a),rural areas,ni,Niedersachsen,-4.3619
2017,m2/(inhabitant*a),rural areas,ni,Niedersachsen,-4.0429
2018,m2/(inhabitant*a),rural areas,ni,Niedersachsen,-3.4537
2004,m2/(inhabitant*a),a) rural and non-rural areas,nw,Nordrhein-Westfalen,-3.0852
2005,m2/(inhabitant*a),a) rural and non-rural areas,nw,Nordrhein-Westfalen,-2.9188
2006,m2/(inhabitant*a),a) rural and non-rural areas,nw,Nordrhein-Westfalen,-2.8516
2007,m2/(inhabitant*a),a) rural and non-rural areas,nw,Nordrhein-Westfalen,-3.1038
2008,m2/(inhabitant*a),a) rural and non-rural areas,nw,Nordrhein-Westfalen,-2.8747
2009,m2/(inhabitant*a),a) rural and non-rural areas,nw,Nordrhein-Westfalen,-2.6857
2010,m2/(inhabitant*a),a) rural and non-rural areas,nw,Nordrhein-Westfalen,-2.5392
2011,m2/(inhabitant*a),a) rural and non-rural areas,nw,Nordrhein-Westfalen,-2.3437
2012,m2/(inhabitant*a),a) rural and non-rural areas,nw,Nordrhein-Westfalen,-2.1181
2013,m2/(inhabitant*a),a) rural and non-rural areas,nw,Nordrhein-Westfalen,-2.1263
2014,m2/(inhabitant*a),a) rural and non-rural areas,nw,Nordrhein-Westfalen,-2.0056
2015,m2/(inhabitant*a),a) rural and non-rural areas,nw,Nordrhein-Westfalen,-1.9684
2016,m2/(inhabitant*a),a) rural and non-rural areas,nw,Nordrhein-Westfalen,-1.0189
2017,m2/(inhabitant*a),a) rural and non-rural areas,nw,Nordrhein-Westfalen,-0.8538
2018,m2/(inhabitant*a),a) rural and non-rural areas,nw,Nordrhein-Westfalen,-0.6485
2009,m2/(inhabitant*a),non-rural areas,nw,Nordrhein-Westfalen,-1.3212
2010,m2/(inhabitant*a),non-rural areas,nw,Nordrhein-Westfalen,-1.2993
2011,m2/(inhabitant*a),non-rural areas,nw,Nordrhein-Westfalen,-1.2041
2012,m2/(inhabitant*a),non-rural areas,nw,Nordrhein-Westfalen,-1.172
2013,m2/(inhabitant*a),non-rural areas,nw,Nordrhein-Westfalen,-1.1698
2014,m2/(inhabitant*a),non-rural areas,nw,Nordrhein-Westfalen,-1.1474
2015,m2/(inhabitant*a),non-rural areas,nw,Nordrhein-Westfalen,-1.2409
2016,m2/(inhabitant*a),non-rural areas,nw,Nordrhein-Westfalen,-0.5762
2017,m2/(inhabitant*a),non-rural areas,nw,Nordrhein-Westfalen,-0.3183
2018,m2/(inhabitant*a),non-rural areas,nw,Nordrhein-Westfalen,-0.0593
2009,m2/(inhabitant*a),rural areas,nw,Nordrhein-Westfalen,-3.2144
2010,m2/(inhabitant*a),rural areas,nw,Nordrhein-Westfalen,-4.0613
2011,m2/(inhabitant*a),rural areas,nw,Nordrhein-Westfalen,-4.2375
2012,m2/(inhabitant*a),rural areas,nw,Nordrhein-Westfalen,-4.3589
2013,m2/(inhabitant*a),rural areas,nw,Nordrhein-Westfalen,-4.4041
2014,m2/(inhabitant*a),rural areas,nw,Nordrhein-Westfalen,-4.0396
2015,m2/(inhabitant*a),rural areas,nw,Nordrhein-Westfalen,-3.6791
2016,m2/(inhabitant*a),rural areas,nw,Nordrhein-Westfalen,-2.0557
2017,m2/(inhabitant*a),rural areas,nw,Nordrhein-Westfalen,-2.1153
2018,m2/(inhabitant*a),rural areas,nw,Nordrhein-Westfalen,-2.0484
2004,m2/(inhabitant*a),a) rural and non-rural areas,rp,Rheinland-Pfalz,-5.2377
2005,m2/(inhabitant*a),a) rural and non-rural areas,rp,Rheinland-Pfalz,-5.7891
2006,m2/(inhabitant*a),a) rural and non-rural areas,rp,Rheinland-Pfalz,-5.9138
2007,m2/(inhabitant*a),a) rural and non-rural areas,rp,Rheinland-Pfalz,-5.9788
2008,m2/(inhabitant*a),a) rural and non-rural areas,rp,Rheinland-Pfalz,-4.8152
2009,m2/(inhabitant*a),a) rural and non-rural areas,rp,Rheinland-Pfalz,-3.1535
2010,m2/(inhabitant*a),a) rural and non-rural areas,rp,Rheinland-Pfalz,-2.0447
2011,m2/(inhabitant*a),a) rural and non-rural areas,rp,Rheinland-Pfalz,-1.2448
2012,m2/(inhabitant*a),a) rural and non-rural areas,rp,Rheinland-Pfalz,-0.8134
2013,m2/(inhabitant*a),a) rural and non-rural areas,rp,Rheinland-Pfalz,-1.0017
2014,m2/(inhabitant*a),a) rural and non-rural areas,rp,Rheinland-Pfalz,-1.0638
2015,m2/(inhabitant*a),a) rural and non-rural areas,rp,Rheinland-Pfalz,-0.5664
2016,m2/(inhabitant*a),a) rural and non-rural areas,rp,Rheinland-Pfalz,-0.7518
