Year,Units,display,criminal offences,Bundesland,GeoCode,Value
2003,per 100 000 inhabitants,a) time series,???other or overall ???,be,code11,5754.790953099973
2004,per 100 000 inhabitants,a) time series,???other or overall ???,be,code11,5801.894588971547
2005,per 100 000 inhabitants,a) time series,???other or overall ???,be,code11,5532.799547947022
2006,per 100 000 inhabitants,a) time series,???other or overall ???,be,code11,5455.259964213122
2007,per 100 000 inhabitants,a) time series,???other or overall ???,be,code11,5392.218741289187
2008,per 100 000 inhabitants,a) time series,???other or overall ???,be,code11,5199.993573686604
2009,per 100 000 inhabitants,a) time series,???other or overall ???,be,code11,5130.387541477581
2010,per 100 000 inhabitants,a) time series,???other or overall ???,be,code11,5017.308805346619
2011,per 100 000 inhabitants,a) time series,???other or overall ???,be,code11,5031.799010998914
2012,per 100 000 inhabitants,a) time series,???other or overall ???,be,code11,5037.742181138682
2013,per 100 000 inhabitants,a) time series,???other or overall ???,be,code11,5073.1
2014,per 100 000 inhabitants,a) time series,???other or overall ???,be,code11,5163.9
2015,per 100 000 inhabitants,a) time series,???other or overall ???,be,code11,6350.003403834735
2016,per 100 000 inhabitants,a) time series,???other or overall ???,be,code11,6870.962261574207
2017,per 100 000 inhabitants,a) time series,???other or overall ???,be,code11,4868.33286017185
2018,per 100 000 inhabitants,a) time series,???other or overall ???,be,code11,4888.905336870915
1993,per 100 000 inhabitants,a) time series,???other or overall ???,bw,code08,16398.423612538176
1994,per 100 000 inhabitants,a) time series,???other or overall ???,bw,code08,15960.884398091564
1995,per 100 000 inhabitants,a) time series,???other or overall ???,bw,code08,16889.159375923216
1996,per 100 000 inhabitants,a) time series,???other or overall ???,bw,code08,17332.703469934957
1997,per 100 000 inhabitants,a) time series,???other or overall ???,bw,code08,17392.654349176093
1998,per 100 000 inhabitants,a) time series,???other or overall ???,bw,code08,17432.102009039292
1999,per 100 000 inhabitants,a) time series,???other or overall ???,bw,code08,17205.54348858259
2000,per 100 000 inhabitants,a) time series,???other or overall ???,bw,code08,16849.006646155372
2001,per 100 000 inhabitants,a) time series,???other or overall ???,bw,code08,17384.990821016967
2002,per 100 000 inhabitants,a) time series,???other or overall ???,bw,code08,17758.22817872801
2003,per 100 000 inhabitants,a) time series,???other or overall ???,bw,code08,17173.73243202746
2004,per 100 000 inhabitants,a) time series,???other or overall ???,bw,code08,16500.47972643669
2005,per 100 000 inhabitants,a) time series,???other or overall ???,bw,code08,15613.553548808091
2006,per 100 000 inhabitants,a) time series,???other or overall ???,bw,code08,15240.120780527132
2007,per 100 000 inhabitants,a) time series,???other or overall ???,bw,code08,15220.405576446059
2008,per 100 000 inhabitants,a) time series,???other or overall ???,bw,code08,14796.442221343608
2009,per 100 000 inhabitants,a) time series,???other or overall ???,bw,code08,15188.319783405095
2010,per 100 000 inhabitants,a) time series,???other or overall ???,bw,code08,14526.391242734848
2011,per 100 000 inhabitants,a) time series,???other or overall ???,bw,code08,15080.317940815276
2012,per 100 000 inhabitants,a) time series,???other or overall ???,bw,code08,14891.66272299295
2013,per 100 000 inhabitants,a) time series,???other or overall ???,bw,code08,14907.6
2014,per 100 000 inhabitants,a) time series,???other or overall ???,bw,code08,15873.3
2015,per 100 000 inhabitants,a) time series,???other or overall ???,bw,code08,16414.258949020546
2016,per 100 000 inhabitants,a) time series,???other or overall ???,bw,code08,16160.653130611634
2017,per 100 000 inhabitants,a) time series,???other or overall ???,bw,code08,14558.3706078331
2018,per 100 000 inhabitants,a) time series,???other or overall ???,bw,code08,14160.169033027581
1993,per 100 000 inhabitants,a) time series,???other or overall ???,by,code09,12918.76053498007
1994,per 100 000 inhabitants,a) time series,???other or overall ???,by,code09,12974.273339742156
1995,per 100 000 inhabitants,a) time series,???other or overall ???,by,code09,12097.323616366168
1996,per 100 000 inhabitants,a) time series,???other or overall ???,by,code09,11742.385797326611
1997,per 100 000 inhabitants,a) time series,???other or overall ???,by,code09,11311.74477991642
1998,per 100 000 inhabitants,a) time series,???other or overall ???,by,code09,10871.575662392344
1999,per 100 000 inhabitants,a) time series,???other or overall ???,by,code09,9785.90633606246
2000,per 100 000 inhabitants,a) time series,???other or overall ???,by,code09,9925.197446741582
2001,per 100 000 inhabitants,a) time series,???other or overall ???,by,code09,9556.0048342247
2002,per 100 000 inhabitants,a) time series,???other or overall ???,by,code09,9511.248692012556
2003,per 100 000 inhabitants,a) time series,???other or overall ???,by,code09,9613.12072650534
2004,per 100 000 inhabitants,a) time series,???other or overall ???,by,code09,9406.883409207754
2005,per 100 000 inhabitants,a) time series,???other or overall ???,by,code09,8974.969375834578
2006,per 100 000 inhabitants,a) time series,???other or overall ???,by,code09,8816.102565847817
2007,per 100 000 inhabitants,a) time series,???other or overall ???,by,code09,9010.441347145848
2008,per 100 000 inhabitants,a) time series,???other or overall ???,by,code09,8364.957400031608
2009,per 100 000 inhabitants,a) time series,???other or overall ???,by,code09,8069.819228707003
2010,per 100 000 inhabitants,a) time series,???other or overall ???,by,code09,8267.144786106697
2011,per 100 000 inhabitants,a) time series,???other or overall ???,by,code09,8031.067241660918
2012,per 100 000 inhabitants,a) time series,???other or overall ???,by,code09,7954.817828288181
2013,per 100 000 inhabitants,a) time series,???other or overall ???,by,code09,8051.7
2014,per 100 000 inhabitants,a) time series,???other or overall ???,by,code09,8004.0
2015,per 100 000 inhabitants,a) time series,???other or overall ???,by,code09,7659.634024880059
2016,per 100 000 inhabitants,a) time series,???other or overall ???,by,code09,7478.632306648434
2017,per 100 000 inhabitants,a) time series,???other or overall ???,by,code09,7015.13800744634
2018,per 100 000 inhabitants,a) time series,???other or overall ???,by,code09,6901.966422261626
1993,per 100 000 inhabitants,a) time series,???other or overall ???,hb,code04,16134.251079773268
1994,per 100 000 inhabitants,a) time series,???other or overall ???,hb,code04,14849.409521015183
1995,per 100 000 inhabitants,a) time series,???other or overall ???,hb,code04,14854.99071710545
1996,per 100 000 inhabitants,a) time series,???other or overall ???,hb,code04,14962.599038366434
1997,per 100 000 inhabitants,a) time series,???other or overall ???,hb,code04,14446.51045640756
1998,per 100 000 inhabitants,a) time series,???other or overall ???,hb,code04,13342.777471257512
1999,per 100 000 inhabitants,a) time series,???other or overall ???,hb,code04,13048.891377919092
2000,per 100 000 inhabitants,a) time series,???other or overall ???,hb,code04,14084.637438323462
2001,per 100 000 inhabitants,a) time series,???other or overall ???,hb,code04,14218.730933496036
2002,per 100 000 inhabitants,a) time series,???other or overall ???,hb,code04,14555.812379597815
2003,per 100 000 inhabitants,a) time series,???other or overall ???,hb,code04,14482.431944632715
2004,per 100 000 inhabitants,a) time series,???other or overall ???,hb,code04,15417.977292129855
2005,per 100 000 inhabitants,a) time series,???other or overall ???,hb,code04,14716.057202718834
2006,per 100 000 inhabitants,a) time series,???other or overall ???,hb,code04,14546.31300785147
2007,per 100 000 inhabitants,a) time series,???other or overall ???,hb,code04,14638.488529343682
2008,per 100 000 inhabitants,a) time series,???other or overall ???,hb,code04,14452.295202051033
2009,per 100 000 inhabitants,a) time series,???other or overall ???,hb,code04,14238.874158303892
2010,per 100 000 inhabitants,a) time series,???other or overall ???,hb,code04,13643.62431216757
2011,per 100 000 inhabitants,a) time series,???other or overall ???,hb,code04,14276.548159768647
2012,per 100 000 inhabitants,a) time series,???other or overall ???,hb,code04,13311.314939694748
2013,per 100 000 inhabitants,a) time series,???other or overall ???,hb,code04,13059.2
2014,per 100 000 inhabitants,a) time series,???other or overall ???,hb,code04,12743.9
2015,per 100 000 inhabitants,a) time series,???other or overall ???,hb,code04,13784.356265712628
2016,per 100 000 inhabitants,a) time series,???other or overall ???,hb,code04,13686.597993414634
2017,per 100 000 inhabitants,a) time series,???other or overall ???,hb,code04,11959.5788158579
2018,per 100 000 inhabitants,a) time series,???other or overall ???,hb,code04,10942.804449717487
1993,per 100 000 inhabitants,a) time series,???other or overall ???,he,code06,16919.816865680878
1994,per 100 000 inhabitants,a) time series,???other or overall ???,he,code06,15401.775945134248
1995,per 100 000 inhabitants,a) time series,???other or overall ???,he,code06,16734.975264515822
1996,per 100 000 inhabitants,a) time series,???other or overall ???,he,code06,16124.469003298977
1997,per 100 000 inhabitants,a) time series,???other or overall ???,he,code06,17664.471575027725
1998,per 100 000 inhabitants,a) time series,???other or overall ???,he,code06,16923.744709876446
1999,per 100 000 inhabitants,a) time series,???other or overall ???,he,code06,16854.017433330457
2000,per 100 000 inhabitants,a) time series,???other or overall ???,he,code06,17030.484754627232
2001,per 100 000 inhabitants,a) time series,???other or overall ???,he,code06,19007.28061051867
2002,per 100 000 inhabitants,a) time series,???other or overall ???,he,code06,15992.51957905696
2003,per 100 000 inhabitants,a) time series,???other or overall ???,he,code06,16143.506026905745
2004,per 100 000 inhabitants,a) time series,???other or overall ???,he,code06,15529.472462272668
2005,per 100 000 inhabitants,a) time series,???other or overall ???,he,code06,14582.808385113332
2006,per 100 000 inhabitants,a) time series,???other or overall ???,he,code06,14051.122856664255
2007,per 100 000 inhabitants,a) time series,???other or overall ???,he,code06,14026.72467150382
2008,per 100 000 inhabitants,a) time series,???other or overall ???,he,code06,13887.92462915158
2009,per 100 000 inhabitants,a) time series,???other or overall ???,he,code06,13932.421660131604
2010,per 100 000 inhabitants,a) time series,???other or overall ???,he,code06,13239.878141875652
2011,per 100 000 inhabitants,a) time series,???other or overall ???,he,code06,13418.186081960486
2012,per 100 000 inhabitants,a) time series,???other or overall ???,he,code06,13244.774870255682
2013,per 100 000 inhabitants,a) time series,???other or overall ???,he,code06,13724.4
2014,per 100 000 inhabitants,a) time series,???other or overall ???,he,code06,13742.9
2015,per 100 000 inhabitants,a) time series,???other or overall ???,he,code06,13839.36042332869
2016,per 100 000 inhabitants,a) time series,???other or overall ???,he,code06,13384.18536786229
2017,per 100 000 inhabitants,a) time series,???other or overall ???,he,code06,12480.2395884311
2018,per 100 000 inhabitants,a) time series,???other or overall ???,he,code06,11941.216573508782
1993,per 100 000 inhabitants,a) time series,???other or overall ???,hh,code02,8362.551684301421
1994,per 100 000 inhabitants,a) time series,???other or overall ???,hh,code02,7940.0821939997495
1995,per 100 000 inhabitants,a) time series,???other or overall ???,hh,code02,7776.078550607325
1996,per 100 000 inhabitants,a) time series,???other or overall ???,hh,code02,7710.326525632905
1997,per 100 000 inhabitants,a) time series,???other or overall ???,hh,code02,7627.771272254642
1998,per 100 000 inhabitants,a) time series,???other or overall ???,hh,code02,7452.44258080246
1999,per 100 000 inhabitants,a) time series,???other or overall ???,hh,code02,7135.840767525931
2000,per 100 000 inhabitants,a) time series,???other or overall ???,hh,code02,6987.653092020596
2001,per 100 000 inhabitants,a) time series,???other or overall ???,hh,code02,6800.932098842352
2002,per 100 000 inhabitants,a) time series,???other or overall ???,hh,code02,7104.499556230257
2003,per 100 000 inhabitants,a) time series,???other or overall ???,hh,code02,7535.004909232656
2004,per 100 000 inhabitants,a) time series,???other or overall ???,hh,code02,7670.7572791687435
2005,per 100 000 inhabitants,a) time series,???other or overall ???,hh,code02,7329.073978478073
2006,per 100 000 inhabitants,a) time series,???other or overall ???,hh,code02,7098.9177439545765
2007,per 100 000 inhabitants,a) time series,???other or overall ???,hh,code02,7015.997090376915
2008,per 100 000 inhabitants,a) time series,???other or overall ???,hh,code02,6801.6351026798
2009,per 100 000 inhabitants,a) time series,???other or overall ???,hh,code02,6810.079979815144
2010,per 100 000 inhabitants,a) time series,???other or overall ???,hh,code02,6732.368000511967
2011,per 100 000 inhabitants,a) time series,???other or overall ???,hh,code02,6647.7948902135695
2012,per 100 000 inhabitants,a) time series,???other or overall ???,hh,code02,6600.619209509338
2013,per 100 000 inhabitants,a) time series,???other or overall ???,hh,code02,6428.6
2014,per 100 000 inhabitants,a) time series,???other or overall ???,hh,code02,6565.8
2015,per 100 000 inhabitants,a) time series,???other or overall ???,hh,code02,6616.268628501213
2016,per 100 000 inhabitants,a) time series,???other or overall ???,hh,code02,6672.482566871518
2017,per 100 000 inhabitants,a) time series,???other or overall ???,hh,code02,6045.81811814029
2018,per 100 000 inhabitants,a) time series,???other or overall ???,hh,code02,5971.2054371576905
1993,per 100 000 inhabitants,a) time series,???other or overall ???,mv,code13,13811.725785227527
1994,per 100 000 inhabitants,a) time series,???other or overall ???,mv,code13,11897.680566743084
1995,per 100 000 inhabitants,a) time series,???other or overall ???,mv,code13,12060.31663167203
1996,per 100 000 inhabitants,a) time series,???other or overall ???,mv,code13,11705.199289780076
1997,per 100 000 inhabitants,a) time series,???other or overall ???,mv,code13,11665.702376353944
1998,per 100 000 inhabitants,a) time series,???other or overall ???,mv,code13,11310.98738906014
1999,per 100 000 inhabitants,a) time series,???other or overall ???,mv,code13,10500.326274216844
2000,per 100 000 inhabitants,a) time series,???other or overall ???,mv,code13,10267.22300387212
2001,per 100 000 inhabitants,a) time series,???other or overall ???,mv,code13,10447.110834738522
2002,per 100 000 inhabitants,a) time series,???other or overall ???,mv,code13,10000.916810873376
2003,per 100 000 inhabitants,a) time series,???other or overall ???,mv,code13,10863.47509934112
2004,per 100 000 inhabitants,a) time series,???other or overall ???,mv,code13,10412.37005169936
2005,per 100 000 inhabitants,a) time series,???other or overall ???,mv,code13,9402.2954573655
2006,per 100 000 inhabitants,a) time series,???other or overall ???,mv,code13,9029.234828996616
2007,per 100 000 inhabitants,a) time series,???other or overall ???,mv,code13,9016.076724219402
2008,per 100 000 inhabitants,a) time series,???other or overall ???,mv,code13,8880.810978713076
2009,per 100 000 inhabitants,a) time series,???other or overall ???,mv,code13,8424.916244253895
2010,per 100 000 inhabitants,a) time series,???other or overall ???,mv,code13,7968.342991539301
2011,per 100 000 inhabitants,a) time series,???other or overall ???,mv,code13,7953.1133788996585
2012,per 100 000 inhabitants,a) time series,???other or overall ???,mv,code13,7883.320606957874
2013,per 100 000 inhabitants,a) time series,???other or overall ???,mv,code13,7528.7
2014,per 100 000 inhabitants,a) time series,???other or overall ???,mv,code13,7304.0
2015,per 100 000 inhabitants,a) time series,???other or overall ???,mv,code13,7332.763026080302
2016,per 100 000 inhabitants,a) time series,???other or overall ???,mv,code13,7632.343109053674
2017,per 100 000 inhabitants,a) time series,???other or overall ???,mv,code13,6850.36202235834
2018,per 100 000 inhabitants,a) time series,???other or overall ???,mv,code13,6744.69111220214
1993,per 100 000 inhabitants,a) time series,???other or overall ???,ni,code03,8597.416587070877
1994,per 100 000 inhabitants,a) time series,???other or overall ???,ni,code03,7710.204856056079
1995,per 100 000 inhabitants,a) time series,???other or overall ???,ni,code03,7787.85224999847
1996,per 100 000 inhabitants,a) time series,???other or overall ???,ni,code03,7516.194854840376
1997,per 100 000 inhabitants,a) time series,???other or overall ???,ni,code03,7424.117242817102
1998,per 100 000 inhabitants,a) time series,???other or overall ???,ni,code03,7286.22641703106
1999,per 100 000 inhabitants,a) time series,???other or overall ???,ni,code03,7017.633292278812
2000,per 100 000 inhabitants,a) time series,???other or overall ???,ni,code03,7205.936945801741
2001,per 100 000 inhabitants,a) time series,???other or overall ???,ni,code03,7218.970401248462
2002,per 100 000 inhabitants,a) time series,???other or overall ???,ni,code03,7726.730897463069
2003,per 100 000 inhabitants,a) time series,???other or overall ???,ni,code03,7522.879786201869
2004,per 100 000 inhabitants,a) time series,???other or overall ???,ni,code03,7437.140389050085
2005,per 100 000 inhabitants,a) time series,???other or overall ???,ni,code03,7618.010029999325
2006,per 100 000 inhabitants,a) time series,???other or overall ???,ni,code03,7656.800600876629
2007,per 100 000 inhabitants,a) time series,???other or overall ???,ni,code03,7717.431473034977
2008,per 100 000 inhabitants,a) time series,???other or overall ???,ni,code03,7516.174463170889
2009,per 100 000 inhabitants,a) time series,???other or overall ???,ni,code03,7549.16728116976
2010,per 100 000 inhabitants,a) time series,???other or overall ???,ni,code03,7473.269981366439
2011,per 100 000 inhabitants,a) time series,???other or overall ???,ni,code03,7099.488509065891
2012,per 100 000 inhabitants,a) time series,???other or overall ???,ni,code03,7167.49249091842
2013,per 100 000 inhabitants,a) time series,???other or overall ???,ni,code03,7015.1
2014,per 100 000 inhabitants,a) time series,???other or overall ???,ni,code03,7094.9
2015,per 100 000 inhabitants,a) time series,???other or overall ???,ni,code03,7263.178189537175
2016,per 100 000 inhabitants,a) time series,???other or overall ???,ni,code03,7089.585331615741
2017,per 100 000 inhabitants,a) time series,???other or overall ???,ni,code03,6621.45554473906
2018,per 100 000 inhabitants,a) time series,???other or overall ???,ni,code03,6361.915287070147
1993,per 100 000 inhabitants,a) time series,???other or overall ???,nw,code05,7806.263033250297
1994,per 100 000 inhabitants,a) time series,???other or overall ???,nw,code05,7517.726010695326
1995,per 100 000 inhabitants,a) time series,???other or overall ???,nw,code05,7680.6412226969815
1996,per 100 000 inhabitants,a) time series,???other or overall ???,nw,code05,7761.9806736242845
1997,per 100 000 inhabitants,a) time series,???other or overall ???,nw,code05,7578.958018127191
1998,per 100 000 inhabitants,a) time series,???other or overall ???,nw,code05,7455.5166457724235
1999,per 100 000 inhabitants,a) time series,???other or overall ???,nw,code05,7460.721764641749
2000,per 100 000 inhabitants,a) time series,???other or overall ???,nw,code05,7435.424573267535
2001,per 100 000 inhabitants,a) time series,???other or overall ???,nw,code05,7708.684380858027
2002,per 100 000 inhabitants,a) time series,???other or overall ???,nw,code05,8176.292707828379
2003,per 100 000 inhabitants,a) time series,???other or overall ???,nw,code05,8372.737710303167
2004,per 100 000 inhabitants,a) time series,???other or overall ???,nw,code05,8566.302945535455
2005,per 100 000 inhabitants,a) time series,???other or overall ???,nw,code05,8417.374048661566
2006,per 100 000 inhabitants,a) time series,???other or overall ???,nw,code05,8367.345313447142
2007,per 100 000 inhabitants,a) time series,???other or overall ???,nw,code05,8406.890833481006
2008,per 100 000 inhabitants,a) time series,???other or overall ???,nw,code05,8193.063693878687
2009,per 100 000 inhabitants,a) time series,???other or overall ???,nw,code05,8257.257367714501
2010,per 100 000 inhabitants,a) time series,???other or overall ???,nw,code05,8203.492645376076
2011,per 100 000 inhabitants,a) time series,???other or overall ???,nw,code05,8614.719063775421
2012,per 100 000 inhabitants,a) time series,???other or overall ???,nw,code05,8654.17136270302
2013,per 100 000 inhabitants,a) time series,???other or overall ???,nw,code05,8459.1
2014,per 100 000 inhabitants,a) time series,???other or overall ???,nw,code05,8542.8
2015,per 100 000 inhabitants,a) time series,???other or overall ???,nw,code05,8603.240553488251
2016,per 100 000 inhabitants,a) time series,???other or overall ???,nw,code05,8224.928963708633
2017,per 100 000 inhabitants,a) time series,???other or overall ???,nw,code05,7676.81566900129
2018,per 100 000 inhabitants,a) time series,???other or overall ???,nw,code05,7159.621516900219
1993,per 100 000 inhabitants,a) time series,???other or overall ???,rp,code07,6087.153972327064
1994,per 100 000 inhabitants,a) time series,???other or overall ???,rp,code07,6241.907720299217
1995,per 100 000 inhabitants,a) time series,???other or overall ???,rp,code07,6331.017733129019
1996,per 100 000 inhabitants,a) time series,???other or overall ???,rp,code07,6515.48581572683
1997,per 100 000 inhabitants,a) time series,???other or overall ???,rp,code07,6666.915158040514
1998,per 100 000 inhabitants,a) time series,???other or overall ???,rp,code07,6545.292667961883
1999,per 100 000 inhabitants,a) time series,???other or overall ???,rp,code07,6651.262235691774
2000,per 100 000 inhabitants,a) time series,???other or overall ???,rp,code07,6711.045673518738
2001,per 100 000 inhabitants,a) time series,???other or overall ???,rp,code07,6509.260033636753
2002,per 100 000 inhabitants,a) time series,???other or overall ???,rp,code07,6944.264116236389
2003,per 100 000 inhabitants,a) time series,???other or overall ???,rp,code07,7101.823564923067
2004,per 100 000 inhabitants,a) time series,???other or overall ???,rp,code07,7416.830629357619
2005,per 100 000 inhabitants,a) time series,???other or overall ???,rp,code07,7344.91217208672
2006,per 100 000 inhabitants,a) time series,???other or overall ???,rp,code07,7375.448689295357
2007,per 100 000 inhabitants,a) time series,???other or overall ???,rp,code07,7129.58355180813
2008,per 100 000 inhabitants,a) time series,???other or overall ???,rp,code07,7274.4506904388745
2009,per 100 000 inhabitants,a) time series,???other or overall ???,rp,code07,7044.377573582825
2010,per 100 000 inhabitants,a) time series,???other or overall ???,rp,code07,6989.425916221604
2011,per 100 000 inhabitants,a) time series,???other or overall ???,rp,code07,6877.573272144378
2012,per 100 000 inhabitants,a) time series,???other or overall ???,rp,code07,6703.478392283974
2013,per 100 000 inhabitants,a) time series,???other or overall ???,rp,code07,6702.3
2014,per 100 000 inhabitants,a) time series,???other or overall ???,rp,code07,6623.2
2015,per 100 000 inhabitants,a) time series,???other or overall ???,rp,code07,6817.5348279058
2016,per 100 000 inhabitants,a) time series,???other or overall ???,rp,code07,6775.384838591956
2017,per 100 000 inhabitants,a) time series,???other or overall ???,rp,code07,6190.598105828921
2018,per 100 000 inhabitants,a) time series,???other or overall ???,rp,code07,6001.160130682854
1993,per 100 000 inhabitants,a) time series,???other or overall ???,sh,code01,6278.271814173726
