Year,Units,display,sex,Bundesland,GeoCode,Value
2001,per 100 000 inhabitants,a) time series,female,be,code110000000000,191
2002,per 100 000 inhabitants,a) time series,female,be,code110000000000,202
2003,per 100 000 inhabitants,a) time series,female,be,code110000000000,188
2004,per 100 000 inhabitants,a) time series,female,be,code110000000000,178
2005,per 100 000 inhabitants,a) time series,female,be,code110000000000,186
2006,per 100 000 inhabitants,a) time series,female,be,code110000000000,175
2007,per 100 000 inhabitants,a) time series,female,be,code110000000000,169
2008,per 100 000 inhabitants,a) time series,female,be,code110000000000,174
2009,per 100 000 inhabitants,a) time series,female,be,code110000000000,167
2010,per 100 000 inhabitants,a) time series,female,be,code110000000000,164
2011,per 100 000 inhabitants,a) time series,female,be,code110000000000,174
2012,per 100 000 inhabitants,a) time series,female,be,code110000000000,170
2013,per 100 000 inhabitants,a) time series,female,be,code110000000000,162
2014,per 100 000 inhabitants,a) time series,female,be,code110000000000,162
2015,per 100 000 inhabitants,a) time series,female,be,code110000000000,169
2016,per 100 000 inhabitants,a) time series,female,be,code110000000000,161
2017,per 100 000 inhabitants,a) time series,female,be,code110000000000,159
2018,per 100 000 inhabitants,a) time series,female,be,code110000000000,167
1998,per 100 000 inhabitants,a) time series,female,bb,code120000000000,207
1999,per 100 000 inhabitants,a) time series,female,bb,code120000000000,195
2000,per 100 000 inhabitants,a) time series,female,bb,code120000000000,187
2001,per 100 000 inhabitants,a) time series,female,bb,code120000000000,182
2002,per 100 000 inhabitants,a) time series,female,bb,code120000000000,177
2003,per 100 000 inhabitants,a) time series,female,bb,code120000000000,174
2004,per 100 000 inhabitants,a) time series,female,bb,code120000000000,166
2005,per 100 000 inhabitants,a) time series,female,bb,code120000000000,162
2006,per 100 000 inhabitants,a) time series,female,bb,code120000000000,158
2007,per 100 000 inhabitants,a) time series,female,bb,code120000000000,153
2008,per 100 000 inhabitants,a) time series,female,bb,code120000000000,151
2009,per 100 000 inhabitants,a) time series,female,bb,code120000000000,150
2010,per 100 000 inhabitants,a) time series,female,bb,code120000000000,153
2011,per 100 000 inhabitants,a) time series,female,bb,code120000000000,152
2012,per 100 000 inhabitants,a) time series,female,bb,code120000000000,145
2013,per 100 000 inhabitants,a) time series,female,bb,code120000000000,157
2014,per 100 000 inhabitants,a) time series,female,bb,code120000000000,145
2015,per 100 000 inhabitants,a) time series,female,bb,code120000000000,153
2016,per 100 000 inhabitants,a) time series,female,bb,code120000000000,152
2017,per 100 000 inhabitants,a) time series,female,bb,code120000000000,151
2018,per 100 000 inhabitants,a) time series,female,bb,code120000000000,152
1998,per 100 000 inhabitants,a) time series,female,hb,code040000000000,218
1999,per 100 000 inhabitants,a) time series,female,hb,code040000000000,201
2000,per 100 000 inhabitants,a) time series,female,hb,code040000000000,218
2001,per 100 000 inhabitants,a) time series,female,hb,code040000000000,205
2002,per 100 000 inhabitants,a) time series,female,hb,code040000000000,209
2003,per 100 000 inhabitants,a) time series,female,hb,code040000000000,192
2004,per 100 000 inhabitants,a) time series,female,hb,code040000000000,205
2005,per 100 000 inhabitants,a) time series,female,hb,code040000000000,188
2006,per 100 000 inhabitants,a) time series,female,hb,code040000000000,188
2007,per 100 000 inhabitants,a) time series,female,hb,code040000000000,189
2008,per 100 000 inhabitants,a) time series,female,hb,code040000000000,192
2009,per 100 000 inhabitants,a) time series,female,hb,code040000000000,196
2010,per 100 000 inhabitants,a) time series,female,hb,code040000000000,174
2011,per 100 000 inhabitants,a) time series,female,hb,code040000000000,191
2012,per 100 000 inhabitants,a) time series,female,hb,code040000000000,191
2013,per 100 000 inhabitants,a) time series,female,hb,code040000000000,187
2014,per 100 000 inhabitants,a) time series,female,hb,code040000000000,185
2015,per 100 000 inhabitants,a) time series,female,hb,code040000000000,180
2016,per 100 000 inhabitants,a) time series,female,hb,code040000000000,185
2017,per 100 000 inhabitants,a) time series,female,hb,code040000000000,162
2018,per 100 000 inhabitants,a) time series,female,hb,code040000000000,189
1998,per 100 000 inhabitants,a) time series,female,hh,code020000000000,207
1999,per 100 000 inhabitants,a) time series,female,hh,code020000000000,210
2000,per 100 000 inhabitants,a) time series,female,hh,code020000000000,203
2001,per 100 000 inhabitants,a) time series,female,hh,code020000000000,195
2002,per 100 000 inhabitants,a) time series,female,hh,code020000000000,196
2003,per 100 000 inhabitants,a) time series,female,hh,code020000000000,187
2004,per 100 000 inhabitants,a) time series,female,hh,code020000000000,191
2005,per 100 000 inhabitants,a) time series,female,hh,code020000000000,178
2006,per 100 000 inhabitants,a) time series,female,hh,code020000000000,178
2007,per 100 000 inhabitants,a) time series,female,hh,code020000000000,177
2008,per 100 000 inhabitants,a) time series,female,hh,code020000000000,167
2009,per 100 000 inhabitants,a) time series,female,hh,code020000000000,178
2010,per 100 000 inhabitants,a) time series,female,hh,code020000000000,160
2011,per 100 000 inhabitants,a) time series,female,hh,code020000000000,172
2012,per 100 000 inhabitants,a) time series,female,hh,code020000000000,171
2013,per 100 000 inhabitants,a) time series,female,hh,code020000000000,167
2014,per 100 000 inhabitants,a) time series,female,hh,code020000000000,162
2015,per 100 000 inhabitants,a) time series,female,hh,code020000000000,172
2016,per 100 000 inhabitants,a) time series,female,hh,code020000000000,158
2017,per 100 000 inhabitants,a) time series,female,hh,code020000000000,157
2018,per 100 000 inhabitants,a) time series,female,hh,code020000000000,159
1998,per 100 000 inhabitants,a) time series,female,he,code060000000000,183
1999,per 100 000 inhabitants,a) time series,female,he,code060000000000,184
2000,per 100 000 inhabitants,a) time series,female,he,code060000000000,179
2001,per 100 000 inhabitants,a) time series,female,he,code060000000000,175
2002,per 100 000 inhabitants,a) time series,female,he,code060000000000,173
2003,per 100 000 inhabitants,a) time series,female,he,code060000000000,166
2004,per 100 000 inhabitants,a) time series,female,he,code060000000000,163
2005,per 100 000 inhabitants,a) time series,female,he,code060000000000,157
2006,per 100 000 inhabitants,a) time series,female,he,code060000000000,153
2007,per 100 000 inhabitants,a) time series,female,he,code060000000000,155
2008,per 100 000 inhabitants,a) time series,female,he,code060000000000,152
2009,per 100 000 inhabitants,a) time series,female,he,code060000000000,152
2010,per 100 000 inhabitants,a) time series,female,he,code060000000000,151
2011,per 100 000 inhabitants,a) time series,female,he,code060000000000,156
2012,per 100 000 inhabitants,a) time series,female,he,code060000000000,152
2013,per 100 000 inhabitants,a) time series,female,he,code060000000000,151
2014,per 100 000 inhabitants,a) time series,female,he,code060000000000,145
2015,per 100 000 inhabitants,a) time series,female,he,code060000000000,146
2016,per 100 000 inhabitants,a) time series,female,he,code060000000000,145
2017,per 100 000 inhabitants,a) time series,female,he,code060000000000,143
2018,per 100 000 inhabitants,a) time series,female,he,code060000000000,145
1998,per 100 000 inhabitants,a) time series,female,mv,code130000000000,219
1999,per 100 000 inhabitants,a) time series,female,mv,code130000000000,203
2000,per 100 000 inhabitants,a) time series,female,mv,code130000000000,202
2001,per 100 000 inhabitants,a) time series,female,mv,code130000000000,190
2002,per 100 000 inhabitants,a) time series,female,mv,code130000000000,190
2003,per 100 000 inhabitants,a) time series,female,mv,code130000000000,176
2004,per 100 000 inhabitants,a) time series,female,mv,code130000000000,168
2005,per 100 000 inhabitants,a) time series,female,mv,code130000000000,170
2006,per 100 000 inhabitants,a) time series,female,mv,code130000000000,162
2007,per 100 000 inhabitants,a) time series,female,mv,code130000000000,158
2008,per 100 000 inhabitants,a) time series,female,mv,code130000000000,164
2009,per 100 000 inhabitants,a) time series,female,mv,code130000000000,156
2010,per 100 000 inhabitants,a) time series,female,mv,code130000000000,160
2011,per 100 000 inhabitants,a) time series,female,mv,code130000000000,162
2012,per 100 000 inhabitants,a) time series,female,mv,code130000000000,151
2013,per 100 000 inhabitants,a) time series,female,mv,code130000000000,164
2014,per 100 000 inhabitants,a) time series,female,mv,code130000000000,149
2015,per 100 000 inhabitants,a) time series,female,mv,code130000000000,159
2016,per 100 000 inhabitants,a) time series,female,mv,code130000000000,154
2017,per 100 000 inhabitants,a) time series,female,mv,code130000000000,147
2018,per 100 000 inhabitants,a) time series,female,mv,code130000000000,162
1998,per 100 000 inhabitants,a) time series,female,ni,code030000000000,192
1999,per 100 000 inhabitants,a) time series,female,ni,code030000000000,191
2000,per 100 000 inhabitants,a) time series,female,ni,code030000000000,186
2001,per 100 000 inhabitants,a) time series,female,ni,code030000000000,182
2002,per 100 000 inhabitants,a) time series,female,ni,code030000000000,181
2003,per 100 000 inhabitants,a) time series,female,ni,code030000000000,179
2004,per 100 000 inhabitants,a) time series,female,ni,code030000000000,168
2005,per 100 000 inhabitants,a) time series,female,ni,code030000000000,168
2006,per 100 000 inhabitants,a) time series,female,ni,code030000000000,167
2007,per 100 000 inhabitants,a) time series,female,ni,code030000000000,161
2008,per 100 000 inhabitants,a) time series,female,ni,code030000000000,166
2009,per 100 000 inhabitants,a) time series,female,ni,code030000000000,165
2010,per 100 000 inhabitants,a) time series,female,ni,code030000000000,161
2011,per 100 000 inhabitants,a) time series,female,ni,code030000000000,166
2012,per 100 000 inhabitants,a) time series,female,ni,code030000000000,158
2013,per 100 000 inhabitants,a) time series,female,ni,code030000000000,166
2014,per 100 000 inhabitants,a) time series,female,ni,code030000000000,159
2015,per 100 000 inhabitants,a) time series,female,ni,code030000000000,158
2016,per 100 000 inhabitants,a) time series,female,ni,code030000000000,162
2017,per 100 000 inhabitants,a) time series,female,ni,code030000000000,160
2018,per 100 000 inhabitants,a) time series,female,ni,code030000000000,163
1998,per 100 000 inhabitants,a) time series,female,nw,code050000000000,199
1999,per 100 000 inhabitants,a) time series,female,nw,code050000000000,195
2000,per 100 000 inhabitants,a) time series,female,nw,code050000000000,194
2001,per 100 000 inhabitants,a) time series,female,nw,code050000000000,189
2002,per 100 000 inhabitants,a) time series,female,nw,code050000000000,187
2003,per 100 000 inhabitants,a) time series,female,nw,code050000000000,186
2004,per 100 000 inhabitants,a) time series,female,nw,code050000000000,178
2005,per 100 000 inhabitants,a) time series,female,nw,code050000000000,176
2006,per 100 000 inhabitants,a) time series,female,nw,code050000000000,171
2007,per 100 000 inhabitants,a) time series,female,nw,code050000000000,172
2008,per 100 000 inhabitants,a) time series,female,nw,code050000000000,173
2009,per 100 000 inhabitants,a) time series,female,nw,code050000000000,171
2010,per 100 000 inhabitants,a) time series,female,nw,code050000000000,172
2011,per 100 000 inhabitants,a) time series,female,nw,code050000000000,169
2012,per 100 000 inhabitants,a) time series,female,nw,code050000000000,166
2013,per 100 000 inhabitants,a) time series,female,nw,code050000000000,172
2014,per 100 000 inhabitants,a) time series,female,nw,code050000000000,164
2015,per 100 000 inhabitants,a) time series,female,nw,code050000000000,170
2016,per 100 000 inhabitants,a) time series,female,nw,code050000000000,167
2017,per 100 000 inhabitants,a) time series,female,nw,code050000000000,163
2018,per 100 000 inhabitants,a) time series,female,nw,code050000000000,165
1998,per 100 000 inhabitants,a) time series,female,rp,code070000000000,190
1999,per 100 000 inhabitants,a) time series,female,rp,code070000000000,184
2000,per 100 000 inhabitants,a) time series,female,rp,code070000000000,185
2001,per 100 000 inhabitants,a) time series,female,rp,code070000000000,177
2002,per 100 000 inhabitants,a) time series,female,rp,code070000000000,179
2003,per 100 000 inhabitants,a) time series,female,rp,code070000000000,173
2004,per 100 000 inhabitants,a) time series,female,rp,code070000000000,172
2005,per 100 000 inhabitants,a) time series,female,rp,code070000000000,169
2006,per 100 000 inhabitants,a) time series,female,rp,code070000000000,162
2007,per 100 000 inhabitants,a) time series,female,rp,code070000000000,165
2008,per 100 000 inhabitants,a) time series,female,rp,code070000000000,162
2009,per 100 000 inhabitants,a) time series,female,rp,code070000000000,164
2010,per 100 000 inhabitants,a) time series,female,rp,code070000000000,156
2011,per 100 000 inhabitants,a) time series,female,rp,code070000000000,162
2012,per 100 000 inhabitants,a) time series,female,rp,code070000000000,153
2013,per 100 000 inhabitants,a) time series,female,rp,code070000000000,161
2014,per 100 000 inhabitants,a) time series,female,rp,code070000000000,154
2015,per 100 000 inhabitants,a) time series,female,rp,code070000000000,150
2016,per 100 000 inhabitants,a) time series,female,rp,code070000000000,152
2017,per 100 000 inhabitants,a) time series,female,rp,code070000000000,154
2018,per 100 000 inhabitants,a) time series,female,rp,code070000000000,154
1998,per 100 000 inhabitants,a) time series,female,sl,code100000000000,210
1999,per 100 000 inhabitants,a) time series,female,sl,code100000000000,216
2000,per 100 000 inhabitants,a) time series,female,sl,code100000000000,212
2001,per 100 000 inhabitants,a) time series,female,sl,code100000000000,204
2002,per 100 000 inhabitants,a) time series,female,sl,code100000000000,195
2003,per 100 000 inhabitants,a) time series,female,sl,code100000000000,206
2004,per 100 000 inhabitants,a) time series,female,sl,code100000000000,199
2005,per 100 000 inhabitants,a) time series,female,sl,code100000000000,182
2006,per 100 000 inhabitants,a) time series,female,sl,code100000000000,186
2007,per 100 000 inhabitants,a) time series,female,sl,code100000000000,182
2008,per 100 000 inhabitants,a) time series,female,sl,code100000000000,190
2009,per 100 000 inhabitants,a) time series,female,sl,code100000000000,187
2010,per 100 000 inhabitants,a) time series,female,sl,code100000000000,186
2011,per 100 000 inhabitants,a) time series,female,sl,code100000000000,189
2012,per 100 000 inhabitants,a) time series,female,sl,code100000000000,175
2013,per 100 000 inhabitants,a) time series,female,sl,code100000000000,177
2014,per 100 000 inhabitants,a) time series,female,sl,code100000000000,182
2015,per 100 000 inhabitants,a) time series,female,sl,code100000000000,180
2016,per 100 000 inhabitants,a) time series,female,sl,code100000000000,174
2017,per 100 000 inhabitants,a) time series,female,sl,code100000000000,178
2018,per 100 000 inhabitants,a) time series,female,sl,code100000000000,188
1998,per 100 000 inhabitants,a) time series,female,sn,code140000000000,191
1999,per 100 000 inhabitants,a) time series,female,sn,code140000000000,184
2000,per 100 000 inhabitants,a) time series,female,sn,code140000000000,177
2001,per 100 000 inhabitants,a) time series,female,sn,code140000000000,169
2002,per 100 000 inhabitants,a) time series,female,sn,code140000000000,165
2003,per 100 000 inhabitants,a) time series,female,sn,code140000000000,160
2004,per 100 000 inhabitants,a) time series,female,sn,code140000000000,151
2005,per 100 000 inhabitants,a) time series,female,sn,code140000000000,154
2006,per 100 000 inhabitants,a) time series,female,sn,code140000000000,148
2007,per 100 000 inhabitants,a) time series,female,sn,code140000000000,146
2008,per 100 000 inhabitants,a) time series,female,sn,code140000000000,141
2009,per 100 000 inhabitants,a) time series,female,sn,code140000000000,142
2010,per 100 000 inhabitants,a) time series,female,sn,code140000000000,136
2011,per 100 000 inhabitants,a) time series,female,sn,code140000000000,139
2012,per 100 000 inhabitants,a) time series,female,sn,code140000000000,139
2013,per 100 000 inhabitants,a) time series,female,sn,code140000000000,142
2014,per 100 000 inhabitants,a) time series,female,sn,code140000000000,133
2015,per 100 000 inhabitants,a) time series,female,sn,code140000000000,139
2016,per 100 000 inhabitants,a) time series,female,sn,code140000000000,138
2017,per 100 000 inhabitants,a) time series,female,sn,code140000000000,132
2018,per 100 000 inhabitants,a) time series,female,sn,code140000000000,138
1998,per 100 000 inhabitants,a) time series,female,st,code150000000000,220
1999,per 100 000 inhabitants,a) time series,female,st,code150000000000,202
2000,per 100 000 inhabitants,a) time series,female,st,code150000000000,200
2001,per 100 000 inhabitants,a) time series,female,st,code150000000000,193
2002,per 100 000 inhabitants,a) time series,female,st,code150000000000,190
2003,per 100 000 inhabitants,a) time series,female,st,code150000000000,178
2004,per 100 000 inhabitants,a) time series,female,st,code150000000000,173
2005,per 100 000 inhabitants,a) time series,female,st,code150000000000,178
2006,per 100 000 inhabitants,a) time series,female,st,code150000000000,169
2007,per 100 000 inhabitants,a) time series,female,st,code150000000000,161
2008,per 100 000 inhabitants,a) time series,female,st,code150000000000,172
2009,per 100 000 inhabitants,a) time series,female,st,code150000000000,167
2010,per 100 000 inhabitants,a) time series,female,st,code150000000000,170
2011,per 100 000 inhabitants,a) time series,female,st,code150000000000,167
2012,per 100 000 inhabitants,a) time series,female,st,code150000000000,162
2013,per 100 000 inhabitants,a) time series,female,st,code150000000000,167
2014,per 100 000 inhabitants,a) time series,female,st,code150000000000,151
2015,per 100 000 inhabitants,a) time series,female,st,code150000000000,168
2016,per 100 000 inhabitants,a) time series,female,st,code150000000000,160
2017,per 100 000 inhabitants,a) time series,female,st,code150000000000,166
2018,per 100 000 inhabitants,a) time series,female,st,code150000000000,166
1998,per 100 000 inhabitants,a) time series,female,sh,code010000000000,197
1999,per 100 000 inhabitants,a) time series,female,sh,code010000000000,197
2000,per 100 000 inhabitants,a) time series,female,sh,code010000000000,195
2001,per 100 000 inhabitants,a) time series,female,sh,code010000000000,190
2002,per 100 000 inhabitants,a) time series,female,sh,code010000000000,180
2003,per 100 000 inhabitants,a) time series,female,sh,code010000000000,184
2004,per 100 000 inhabitants,a) time series,female,sh,code010000000000,183
2005,per 100 000 inhabitants,a) time series,female,sh,code010000000000,174
2006,per 100 000 inhabitants,a) time series,female,sh,code010000000000,169
2007,per 100 000 inhabitants,a) time series,female,sh,code010000000000,163
2008,per 100 000 inhabitants,a) time series,female,sh,code010000000000,170
2009,per 100 000 inhabitants,a) time series,female,sh,code010000000000,170
2010,per 100 000 inhabitants,a) time series,female,sh,code010000000000,171
2011,per 100 000 inhabitants,a) time series,female,sh,code010000000000,169
2012,per 100 000 inhabitants,a) time series,female,sh,code010000000000,174
2013,per 100 000 inhabitants,a) time series,female,sh,code010000000000,163
2014,per 100 000 inhabitants,a) time series,female,sh,code010000000000,165
2015,per 100 000 inhabitants,a) time series,female,sh,code010000000000,161
2016,per 100 000 inhabitants,a) time series,female,sh,code010000000000,164
2017,per 100 000 inhabitants,a) time series,female,sh,code010000000000,166
2018,per 100 000 inhabitants,a) time series,female,sh,code010000000000,167
1998,per 100 000 inhabitants,a) time series,female,th,code160000000000,204
1999,per 100 000 inhabitants,a) time series,female,th,code160000000000,191
2000,per 100 000 inhabitants,a) time series,female,th,code160000000000,180
2001,per 100 000 inhabitants,a) time series,female,th,code160000000000,176
2002,per 100 000 inhabitants,a) time series,female,th,code160000000000,176
2003,per 100 000 inhabitants,a) time series,female,th,code160000000000,170
2004,per 100 000 inhabitants,a) time series,female,th,code160000000000,166
2005,per 100 000 inhabitants,a) time series,female,th,code160000000000,153
2006,per 100 000 inhabitants,a) time series,female,th,code160000000000,153
2007,per 100 000 inhabitants,a) time series,female,th,code160000000000,152
2008,per 100 000 inhabitants,a) time series,female,th,code160000000000,149
2009,per 100 000 inhabitants,a) time series,female,th,code160000000000,152
2010,per 100 000 inhabitants,a) time series,female,th,code160000000000,152
2011,per 100 000 inhabitants,a) time series,female,th,code160000000000,149
2012,per 100 000 inhabitants,a) time series,female,th,code160000000000,142
2013,per 100 000 inhabitants,a) time series,female,th,code160000000000,137
2014,per 100 000 inhabitants,a) time series,female,th,code160000000000,143
2015,per 100 000 inhabitants,a) time series,female,th,code160000000000,146
2016,per 100 000 inhabitants,a) time series,female,th,code160000000000,149
2017,per 100 000 inhabitants,a) time series,female,th,code160000000000,150
2018,per 100 000 inhabitants,a) time series,female,th,code160000000000,151
1991,per 100 000 inhabitants,a) time series,male,a) germany (total),,492
1992,per 100 000 inhabitants,a) time series,male,a) germany (total),,476
1993,per 100 000 inhabitants,a) time series,male,a) germany (total),,472
1994,per 100 000 inhabitants,a) time series,male,a) germany (total),,461
1995,per 100 000 inhabitants,a) time series,male,a) germany (total),,451
1996,per 100 000 inhabitants,a) time series,male,a) germany (total),,439
1997,per 100 000 inhabitants,a) time series,male,a) germany (total),,422
1998,per 100 000 inhabitants,a) time series,male,a) germany (total),,404
1999,per 100 000 inhabitants,a) time series,male,a) germany (total),,392
2000,per 100 000 inhabitants,a) time series,male,a) germany (total),,382
2001,per 100 000 inhabitants,a) time series,male,a) germany (total),,366
2002,per 100 000 inhabitants,a) time series,male,a) germany (total),,360
2003,per 100 000 inhabitants,a) time series,male,a) germany (total),,356
2004,per 100 000 inhabitants,a) time series,male,a) germany (total),,337
2005,per 100 000 inhabitants,a) time series,male,a) germany (total),,329
2006,per 100 000 inhabitants,a) time series,male,a) germany (total),,318
2007,per 100 000 inhabitants,a) time series,male,a) germany (total),,313
2008,per 100 000 inhabitants,a) time series,male,a) germany (total),,308
2009,per 100 000 inhabitants,a) time series,male,a) germany (total),,305
2010,per 100 000 inhabitants,a) time series,male,a) germany (total),,301
2011,per 100 000 inhabitants,a) time series,male,a) germany (total),,299
2012,per 100 000 inhabitants,a) time series,male,a) germany (total),,292
2013,per 100 000 inhabitants,a) time series,male,a) germany (total),,292
2014,per 100 000 inhabitants,a) time series,male,a) germany (total),,281
2015,per 100 000 inhabitants,a) time series,male,a) germany (total),,288
2016,per 100 000 inhabitants,a) time series,male,a) germany (total),,284
2017,per 100 000 inhabitants,a) time series,male,a) germany (total),,276
2018,per 100 000 inhabitants,a) time series,male,a) germany (total),,279
2030,per 100 000 inhabitants,b) target (max),male,a) germany (total),,190
1998,per 100 000 inhabitants,a) time series,male,bw,code080000000000,355
1999,per 100 000 inhabitants,a) time series,male,bw,code080000000000,342
2000,per 100 000 inhabitants,a) time series,male,bw,code080000000000,328
2001,per 100 000 inhabitants,a) time series,male,bw,code080000000000,318
2002,per 100 000 inhabitants,a) time series,male,bw,code080000000000,305
2003,per 100 000 inhabitants,a) time series,male,bw,code080000000000,299
2004,per 100 000 inhabitants,a) time series,male,bw,code080000000000,284
2005,per 100 000 inhabitants,a) time series,male,bw,code080000000000,277
2006,per 100 000 inhabitants,a) time series,male,bw,code080000000000,266
2007,per 100 000 inhabitants,a) time series,male,bw,code080000000000,262
2008,per 100 000 inhabitants,a) time series,male,bw,code080000000000,256
2009,per 100 000 inhabitants,a) time series,male,bw,code080000000000,258
2010,per 100 000 inhabitants,a) time series,male,bw,code080000000000,253
2011,per 100 000 inhabitants,a) time series,male,bw,code080000000000,251
2012,per 100 000 inhabitants,a) time series,male,bw,code080000000000,245
2013,per 100 000 inhabitants,a) time series,male,bw,code080000000000,243
2014,per 100 000 inhabitants,a) time series,male,bw,code080000000000,235
2015,per 100 000 inhabitants,a) time series,male,bw,code080000000000,239
2016,per 100 000 inhabitants,a) time series,male,bw,code080000000000,244
2017,per 100 000 inhabitants,a) time series,male,bw,code080000000000,232
2018,per 100 000 inhabitants,a) time series,male,bw,code080000000000,233
1998,per 100 000 inhabitants,a) time series,male,by,code090000000000,381
1999,per 100 000 inhabitants,a) time series,male,by,code090000000000,369
2000,per 100 000 inhabitants,a) time series,male,by,code090000000000,358
2001,per 100 000 inhabitants,a) time series,male,by,code090000000000,349
2002,per 100 000 inhabitants,a) time series,male,by,code090000000000,340
2003,per 100 000 inhabitants,a) time series,male,by,code090000000000,332
2004,per 100 000 inhabitants,a) time series,male,by,code090000000000,314
2005,per 100 000 inhabitants,a) time series,male,by,code090000000000,305
2006,per 100 000 inhabitants,a) time series,male,by,code090000000000,301
2007,per 100 000 inhabitants,a) time series,male,by,code090000000000,292
2008,per 100 000 inhabitants,a) time series,male,by,code090000000000,284
2009,per 100 000 inhabitants,a) time series,male,by,code090000000000,282
