Year,Units,display,title,Value
2013,ha/d,a) time series,transport area,18.52
2014,ha/d,a) time series,transport area,23.44
2015,ha/d,a) time series,transport area,9.77
2017,ha/d,a) time series,transport area,8.48
2018,ha/d,a) time series,transport area,15.95
1996,ha/d,a) time series,a) total (moving four-year average),119.6
1997,ha/d,a) time series,a) total (moving four-year average),120.7
1998,ha/d,a) time series,a) total (moving four-year average),123.5
1999,ha/d,a) time series,a) total (moving four-year average),126.3
2000,ha/d,a) time series,a) total (moving four-year average),129.1
2001,ha/d,a) time series,a) total (moving four-year average),128.3
2002,ha/d,a) time series,a) total (moving four-year average),123.1
2003,ha/d,a) time series,a) total (moving four-year average),115.1
2004,ha/d,a) time series,a) total (moving four-year average),115.1
2005,ha/d,a) time series,a) total (moving four-year average),114.3
2006,ha/d,a) time series,a) total (moving four-year average),113.3
2007,ha/d,a) time series,a) total (moving four-year average),112.8
2008,ha/d,a) time series,a) total (moving four-year average),103.8
2009,ha/d,a) time series,a) total (moving four-year average),93.9
2010,ha/d,a) time series,a) total (moving four-year average),86.6
2011,ha/d,a) time series,a) total (moving four-year average),80.9
2012,ha/d,a) time series,a) total (moving four-year average),74.4
2013,ha/d,a) time series,a) total (moving four-year average),72.6
2014,ha/d,a) time series,a) total (moving four-year average),69.2
2015,ha/d,a) time series,a) total (moving four-year average),66.1
2016,ha/d,a) time series,a) total (moving four-year average),61.54
2017,ha/d,a) time series,a) total (moving four-year average),57.69
2018,ha/d,a) time series,a) total (moving four-year average),56.37
2030,ha/d,b) target (max),a) total (moving four-year average),30.0
