Year,Units,display,age,Bundesland,GeoCode,Value
2017,percentage (%),a) time series,adults (15 years and older),bb,Brandenburg,24.47
1995,percentage (%),a) time series,adults (15 years and older),hb,Bremen,31.99
1999,percentage (%),a) time series,adults (15 years and older),hb,Bremen,33.73
2003,percentage (%),a) time series,adults (15 years and older),hb,Bremen,33.85
2005,percentage (%),a) time series,adults (15 years and older),hb,Bremen,30.8
2009,percentage (%),a) time series,adults (15 years and older),hb,Bremen,30.5
2013,percentage (%),a) time series,adults (15 years and older),hb,Bremen,27.77
2017,percentage (%),a) time series,adults (15 years and older),hb,Bremen,27.39
1995,percentage (%),a) time series,adults (15 years and older),hh,Hamburg,33.61
1999,percentage (%),a) time series,adults (15 years and older),hh,Hamburg,32.79
2003,percentage (%),a) time series,adults (15 years and older),hh,Hamburg,30.95
2005,percentage (%),a) time series,adults (15 years and older),hh,Hamburg,29.8
2009,percentage (%),a) time series,adults (15 years and older),hh,Hamburg,26.7
2013,percentage (%),a) time series,adults (15 years and older),hh,Hamburg,25.64
2017,percentage (%),a) time series,adults (15 years and older),hh,Hamburg,23.14
1995,percentage (%),a) time series,adults (15 years and older),he,Hessen,25.75
1999,percentage (%),a) time series,adults (15 years and older),he,Hessen,28.01
2003,percentage (%),a) time series,adults (15 years and older),he,Hessen,27.15
2005,percentage (%),a) time series,adults (15 years and older),he,Hessen,25.9
2009,percentage (%),a) time series,adults (15 years and older),he,Hessen,24.6
2013,percentage (%),a) time series,adults (15 years and older),he,Hessen,23.37
2017,percentage (%),a) time series,adults (15 years and older),he,Hessen,21.11
1995,percentage (%),a) time series,adults (15 years and older),mv,Mecklenburg-Vorpommern,28.61
1999,percentage (%),a) time series,adults (15 years and older),mv,Mecklenburg-Vorpommern,32.11
2003,percentage (%),a) time series,adults (15 years and older),mv,Mecklenburg-Vorpommern,30.61
2005,percentage (%),a) time series,adults (15 years and older),mv,Mecklenburg-Vorpommern,33.3
2009,percentage (%),a) time series,adults (15 years and older),mv,Mecklenburg-Vorpommern,30.4
2013,percentage (%),a) time series,adults (15 years and older),mv,Mecklenburg-Vorpommern,28.22
2017,percentage (%),a) time series,adults (15 years and older),mv,Mecklenburg-Vorpommern,27.66
1995,percentage (%),a) time series,adults (15 years and older),ni,Niedersachsen,27.1
1999,percentage (%),a) time series,adults (15 years and older),ni,Niedersachsen,28.8
2003,percentage (%),a) time series,adults (15 years and older),ni,Niedersachsen,28.44
2005,percentage (%),a) time series,adults (15 years and older),ni,Niedersachsen,28.1
2009,percentage (%),a) time series,adults (15 years and older),ni,Niedersachsen,26.1
2013,percentage (%),a) time series,adults (15 years and older),ni,Niedersachsen,24.69
2017,percentage (%),a) time series,adults (15 years and older),ni,Niedersachsen,22.94
1995,percentage (%),a) time series,adults (15 years and older),nw,Nordrhein-Westfalen,28.34
1999,percentage (%),a) time series,adults (15 years and older),nw,Nordrhein-Westfalen,28.47
2003,percentage (%),a) time series,adults (15 years and older),nw,Nordrhein-Westfalen,27.63
2005,percentage (%),a) time series,adults (15 years and older),nw,Nordrhein-Westfalen,29.0
2009,percentage (%),a) time series,adults (15 years and older),nw,Nordrhein-Westfalen,26.9
2013,percentage (%),a) time series,adults (15 years and older),nw,Nordrhein-Westfalen,25.92
2017,percentage (%),a) time series,adults (15 years and older),nw,Nordrhein-Westfalen,22.64
1995,percentage (%),a) time series,adults (15 years and older),rp,Rheinland-Pfalz,25.41
1999,percentage (%),a) time series,adults (15 years and older),rp,Rheinland-Pfalz,29.02
2003,percentage (%),a) time series,adults (15 years and older),rp,Rheinland-Pfalz,27.59
2005,percentage (%),a) time series,adults (15 years and older),rp,Rheinland-Pfalz,26.0
2009,percentage (%),a) time series,adults (15 years and older),rp,Rheinland-Pfalz,25.1
2013,percentage (%),a) time series,adults (15 years and older),rp,Rheinland-Pfalz,23.86
2017,percentage (%),a) time series,adults (15 years and older),rp,Rheinland-Pfalz,21.66
1995,percentage (%),a) time series,adults (15 years and older),sl,Saarland,27.55
1999,percentage (%),a) time series,adults (15 years and older),sl,Saarland,28.45
2003,percentage (%),a) time series,adults (15 years and older),sl,Saarland,25.19
2005,percentage (%),a) time series,adults (15 years and older),sl,Saarland,26.2
2009,percentage (%),a) time series,adults (15 years and older),sl,Saarland,25.3
2013,percentage (%),a) time series,adults (15 years and older),sl,Saarland,23.51
2017,percentage (%),a) time series,adults (15 years and older),sl,Saarland,20.59
1995,percentage (%),a) time series,adults (15 years and older),sn,Sachsen,21.7
1999,percentage (%),a) time series,adults (15 years and older),sn,Sachsen,24.45
2003,percentage (%),a) time series,adults (15 years and older),sn,Sachsen,24.92
2005,percentage (%),a) time series,adults (15 years and older),sn,Sachsen,24.4
2009,percentage (%),a) time series,adults (15 years and older),sn,Sachsen,23.8
2013,percentage (%),a) time series,adults (15 years and older),sn,Sachsen,22.74
2017,percentage (%),a) time series,adults (15 years and older),sn,Sachsen,21.47
1995,percentage (%),a) time series,adults (15 years and older),st,Sachsen-Anhalt,27.62
1999,percentage (%),a) time series,adults (15 years and older),st,Sachsen-Anhalt,29.23
2003,percentage (%),a) time series,adults (15 years and older),st,Sachsen-Anhalt,27.23
2005,percentage (%),a) time series,adults (15 years and older),st,Sachsen-Anhalt,27.9
2009,percentage (%),a) time series,adults (15 years and older),st,Sachsen-Anhalt,28.9
2013,percentage (%),a) time series,adults (15 years and older),st,Sachsen-Anhalt,27.85
2017,percentage (%),a) time series,adults (15 years and older),st,Sachsen-Anhalt,24.77
1995,percentage (%),a) time series,adults (15 years and older),sh,Schleswig-Holstein,31.09
1999,percentage (%),a) time series,adults (15 years and older),sh,Schleswig-Holstein,31.74
2003,percentage (%),a) time series,adults (15 years and older),sh,Schleswig-Holstein,30.31
2005,percentage (%),a) time series,adults (15 years and older),sh,Schleswig-Holstein,29.5
2009,percentage (%),a) time series,adults (15 years and older),sh,Schleswig-Holstein,27.0
2013,percentage (%),a) time series,adults (15 years and older),sh,Schleswig-Holstein,25.9
2017,percentage (%),a) time series,adults (15 years and older),sh,Schleswig-Holstein,23.5
1995,percentage (%),a) time series,adults (15 years and older),th,Thüringen,25.22
1999,percentage (%),a) time series,adults (15 years and older),th,Thüringen,26.8
2003,percentage (%),a) time series,adults (15 years and older),th,Thüringen,26.9
2005,percentage (%),a) time series,adults (15 years and older),th,Thüringen,27.2
2009,percentage (%),a) time series,adults (15 years and older),th,Thüringen,26.7
2013,percentage (%),a) time series,adults (15 years and older),th,Thüringen,26.11
2017,percentage (%),a) time series,adults (15 years and older),th,Thüringen,26.24
