Year,Units,Bundesland,GeoCode,Value
2015,percentage (%),be,'110000000000',19.8
2016,percentage (%),be,'110000000000',19.3
2017,percentage (%),be,'110000000000',18.7
1991,percentage (%),bb,'120000000000',41.4
1992,percentage (%),bb,'120000000000',44.8
1993,percentage (%),bb,'120000000000',49.6
1994,percentage (%),bb,'120000000000',51.9
1995,percentage (%),bb,'120000000000',46.9
1996,percentage (%),bb,'120000000000',48.1
1997,percentage (%),bb,'120000000000',45.0
1998,percentage (%),bb,'120000000000',43.9
1999,percentage (%),bb,'120000000000',40.9
2000,percentage (%),bb,'120000000000',37.4
2001,percentage (%),bb,'120000000000',30.7
2002,percentage (%),bb,'120000000000',27.1
2003,percentage (%),bb,'120000000000',24.1
2004,percentage (%),bb,'120000000000',23.7
2005,percentage (%),bb,'120000000000',23.1
2006,percentage (%),bb,'120000000000',23.3
2007,percentage (%),bb,'120000000000',21.8
2008,percentage (%),bb,'120000000000',22.3
2009,percentage (%),bb,'120000000000',19.9
2010,percentage (%),bb,'120000000000',20.5
2011,percentage (%),bb,'120000000000',20.6
2012,percentage (%),bb,'120000000000',22.4
2013,percentage (%),bb,'120000000000',21.0
2014,percentage (%),bb,'120000000000',21.6
2015,percentage (%),bb,'120000000000',22.0
2016,percentage (%),bb,'120000000000',23.6
2017,percentage (%),bb,'120000000000',23.8
1991,percentage (%),hb,'040000000000',18.1
1992,percentage (%),hb,'040000000000',17.5
1993,percentage (%),hb,'040000000000',18.3
1994,percentage (%),hb,'040000000000',15.4
1995,percentage (%),hb,'040000000000',14.6
1996,percentage (%),hb,'040000000000',15.7
1997,percentage (%),hb,'040000000000',14.9
1998,percentage (%),hb,'040000000000',15.9
1999,percentage (%),hb,'040000000000',17.9
2000,percentage (%),hb,'040000000000',18.1
2001,percentage (%),hb,'040000000000',16.9
2002,percentage (%),hb,'040000000000',17.0
2003,percentage (%),hb,'040000000000',13.3
2004,percentage (%),hb,'040000000000',15.4
2005,percentage (%),hb,'040000000000',14.2
2006,percentage (%),hb,'040000000000',14.9
2007,percentage (%),hb,'040000000000',15.1
2008,percentage (%),hb,'040000000000',15.3
2009,percentage (%),hb,'040000000000',14.4
2010,percentage (%),hb,'040000000000',14.8
2011,percentage (%),hb,'040000000000',14.4
2012,percentage (%),hb,'040000000000',18.7
2013,percentage (%),hb,'040000000000',16.3
2014,percentage (%),hb,'040000000000',13.8
2015,percentage (%),hb,'040000000000',16.8
2016,percentage (%),hb,'040000000000',15.8
2017,percentage (%),hb,'040000000000',14.1
1991,percentage (%),hh,'020000000000',16.5
1992,percentage (%),hh,'020000000000',18.1
1993,percentage (%),hh,'020000000000',17.1
1994,percentage (%),hh,'020000000000',15.4
1995,percentage (%),hh,'020000000000',14.2
1996,percentage (%),hh,'020000000000',14.0
1997,percentage (%),hh,'020000000000',14.7
1998,percentage (%),hh,'020000000000',15.6
1999,percentage (%),hh,'020000000000',14.8
2000,percentage (%),hh,'020000000000',16.3
2001,percentage (%),hh,'020000000000',17.9
2002,percentage (%),hh,'020000000000',19.2
2003,percentage (%),hh,'020000000000',18.4
2004,percentage (%),hh,'020000000000',21.4
2005,percentage (%),hh,'020000000000',22.6
2006,percentage (%),hh,'020000000000',23.4
2007,percentage (%),hh,'020000000000',25.6
2008,percentage (%),hh,'020000000000',26.4
2009,percentage (%),hh,'020000000000',20.4
2010,percentage (%),hh,'020000000000',24.5
2011,percentage (%),hh,'020000000000',20.9
2012,percentage (%),hh,'020000000000',20.5
2013,percentage (%),hh,'020000000000',21.1
2014,percentage (%),hh,'020000000000',21.3
2015,percentage (%),hh,'020000000000',21.6
2016,percentage (%),hh,'020000000000',19.7
2017,percentage (%),hh,'020000000000',16.3
1991,percentage (%),he,'060000000000',21.9
1992,percentage (%),he,'060000000000',21.4
1993,percentage (%),he,'060000000000',20.5
1994,percentage (%),he,'060000000000',18.3
1995,percentage (%),he,'060000000000',18.7
1996,percentage (%),he,'060000000000',17.4
1997,percentage (%),he,'060000000000',18.0
1998,percentage (%),he,'060000000000',18.4
1999,percentage (%),he,'060000000000',18.6
2000,percentage (%),he,'060000000000',18.4
2001,percentage (%),he,'060000000000',18.7
2002,percentage (%),he,'060000000000',17.0
2003,percentage (%),he,'060000000000',16.2
2004,percentage (%),he,'060000000000',16.3
2005,percentage (%),he,'060000000000',17.9
2006,percentage (%),he,'060000000000',17.4
2007,percentage (%),he,'060000000000',18.3
2008,percentage (%),he,'060000000000',20.0
2009,percentage (%),he,'060000000000',16.7
2010,percentage (%),he,'060000000000',17.6
2011,percentage (%),he,'060000000000',19.2
2012,percentage (%),he,'060000000000',17.7
2013,percentage (%),he,'060000000000',17.9
2014,percentage (%),he,'060000000000',17.3
2015,percentage (%),he,'060000000000',17.1
2016,percentage (%),he,'060000000000',18.0
2017,percentage (%),he,'060000000000',18.6
1991,percentage (%),mv,'130000000000',49.5
1992,percentage (%),mv,'130000000000',61.6
1993,percentage (%),mv,'130000000000',60.2
1994,percentage (%),mv,'130000000000',57.6
1995,percentage (%),mv,'130000000000',55.0
1996,percentage (%),mv,'130000000000',48.1
1997,percentage (%),mv,'130000000000',43.7
1998,percentage (%),mv,'130000000000',40.5
1999,percentage (%),mv,'130000000000',37.4
2000,percentage (%),mv,'130000000000',35.3
2001,percentage (%),mv,'130000000000',30.2
2002,percentage (%),mv,'130000000000',26.2
2003,percentage (%),mv,'130000000000',25.4
2004,percentage (%),mv,'130000000000',25.0
2005,percentage (%),mv,'130000000000',26.9
2006,percentage (%),mv,'130000000000',27.6
2007,percentage (%),mv,'130000000000',23.0
2008,percentage (%),mv,'130000000000',23.7
2009,percentage (%),mv,'130000000000',21.0
2010,percentage (%),mv,'130000000000',22.2
2011,percentage (%),mv,'130000000000',24.2
2012,percentage (%),mv,'130000000000',23.6
2013,percentage (%),mv,'130000000000',20.6
2014,percentage (%),mv,'130000000000',21.5
2015,percentage (%),mv,'130000000000',21.9
2016,percentage (%),mv,'130000000000',24.1
2017,percentage (%),mv,'130000000000',23.1
1991,percentage (%),ni,'030000000000',27.8
1992,percentage (%),ni,'030000000000',26.4
1993,percentage (%),ni,'030000000000',24.0
1994,percentage (%),ni,'030000000000',23.6
1995,percentage (%),ni,'030000000000',23.4
1996,percentage (%),ni,'030000000000',22.9
1997,percentage (%),ni,'030000000000',23.7
1998,percentage (%),ni,'030000000000',24.8
1999,percentage (%),ni,'030000000000',26.3
2000,percentage (%),ni,'030000000000',26.6
2001,percentage (%),ni,'030000000000',25.3
2002,percentage (%),ni,'030000000000',23.9
2003,percentage (%),ni,'030000000000',24.8
2004,percentage (%),ni,'030000000000',21.7
2005,percentage (%),ni,'030000000000',19.9
2006,percentage (%),ni,'030000000000',20.8
2007,percentage (%),ni,'030000000000',21.5
2008,percentage (%),ni,'030000000000',20.8
2009,percentage (%),ni,'030000000000',22.8
2010,percentage (%),ni,'030000000000',22.4
2011,percentage (%),ni,'030000000000',24.0
2012,percentage (%),ni,'030000000000',24.4
2013,percentage (%),ni,'030000000000',24.4
2014,percentage (%),ni,'030000000000',24.4
2015,percentage (%),ni,'030000000000',24.9
2016,percentage (%),ni,'030000000000',24.7
2017,percentage (%),ni,'030000000000',25.4
1991,percentage (%),nw,'050000000000',20.5
1992,percentage (%),nw,'050000000000',20.2
1993,percentage (%),nw,'050000000000',18.4
1994,percentage (%),nw,'050000000000',17.9
1995,percentage (%),nw,'050000000000',17.1
1996,percentage (%),nw,'050000000000',17.2
1997,percentage (%),nw,'050000000000',17.1
1998,percentage (%),nw,'050000000000',17.7
1999,percentage (%),nw,'050000000000',19.2
2000,percentage (%),nw,'050000000000',19.7
2001,percentage (%),nw,'050000000000',19.0
2002,percentage (%),nw,'050000000000',17.1
2003,percentage (%),nw,'050000000000',16.3
2004,percentage (%),nw,'050000000000',15.7
2005,percentage (%),nw,'050000000000',16.7
2006,percentage (%),nw,'050000000000',16.2
2007,percentage (%),nw,'050000000000',16.3
2008,percentage (%),nw,'050000000000',16.3
2009,percentage (%),nw,'050000000000',15.9
2010,percentage (%),nw,'050000000000',16.0
2011,percentage (%),nw,'050000000000',16.6
2012,percentage (%),nw,'050000000000',15.9
2013,percentage (%),nw,'050000000000',15.8
2014,percentage (%),nw,'050000000000',16.1
2015,percentage (%),nw,'050000000000',15.7
2016,percentage (%),nw,'050000000000',16.1
2017,percentage (%),nw,'050000000000',16.7
1991,percentage (%),rp,'070000000000',23.7
1992,percentage (%),rp,'070000000000',22.7
1993,percentage (%),rp,'070000000000',21.9
1994,percentage (%),rp,'070000000000',22.7
1995,percentage (%),rp,'070000000000',22.9
1996,percentage (%),rp,'070000000000',21.2
1997,percentage (%),rp,'070000000000',21.8
1998,percentage (%),rp,'070000000000',22.8
1999,percentage (%),rp,'070000000000',23.2
2000,percentage (%),rp,'070000000000',23.9
2001,percentage (%),rp,'070000000000',21.9
2002,percentage (%),rp,'070000000000',21.8
2003,percentage (%),rp,'070000000000',19.5
2004,percentage (%),rp,'070000000000',18.9
2005,percentage (%),rp,'070000000000',18.7
2006,percentage (%),rp,'070000000000',19.4
2007,percentage (%),rp,'070000000000',20.3
2008,percentage (%),rp,'070000000000',20.2
2009,percentage (%),rp,'070000000000',20.6
2010,percentage (%),rp,'070000000000',20.0
2011,percentage (%),rp,'070000000000',21.1
2012,percentage (%),rp,'070000000000',20.5
2013,percentage (%),rp,'070000000000',21.2
2014,percentage (%),rp,'070000000000',21.4
2015,percentage (%),rp,'070000000000',20.9
2016,percentage (%),rp,'070000000000',20.5
2017,percentage (%),rp,'070000000000',21.1
1991,percentage (%),sl,'100000000000',20.7
1992,percentage (%),sl,'100000000000',20.3
1993,percentage (%),sl,'100000000000',18.6
1994,percentage (%),sl,'100000000000',19.6
1995,percentage (%),sl,'100000000000',20.5
1996,percentage (%),sl,'100000000000',21.0
1997,percentage (%),sl,'100000000000',21.2
1998,percentage (%),sl,'100000000000',24.6
1999,percentage (%),sl,'100000000000',23.6
2000,percentage (%),sl,'100000000000',23.4
2001,percentage (%),sl,'100000000000',18.6
2002,percentage (%),sl,'100000000000',18.9
2003,percentage (%),sl,'100000000000',18.8
2004,percentage (%),sl,'100000000000',15.8
2005,percentage (%),sl,'100000000000',15.1
2006,percentage (%),sl,'100000000000',16.2
2007,percentage (%),sl,'100000000000',16.7
2008,percentage (%),sl,'100000000000',16.5
2009,percentage (%),sl,'100000000000',15.0
2010,percentage (%),sl,'100000000000',18.2
2011,percentage (%),sl,'100000000000',17.3
2012,percentage (%),sl,'100000000000',16.9
2013,percentage (%),sl,'100000000000',17.5
2014,percentage (%),sl,'100000000000',17.6
2015,percentage (%),sl,'100000000000',18.0
2016,percentage (%),sl,'100000000000',17.3
2017,percentage (%),sl,'100000000000',16.7
1991,percentage (%),sn,'140000000000',42.7
1992,percentage (%),sn,'140000000000',41.6
1993,percentage (%),sn,'140000000000',39.3
1994,percentage (%),sn,'140000000000',46.5
1995,percentage (%),sn,'140000000000',46.1
1996,percentage (%),sn,'140000000000',45.6
1997,percentage (%),sn,'140000000000',43.0
1998,percentage (%),sn,'140000000000',39.0
1999,percentage (%),sn,'140000000000',36.3
2000,percentage (%),sn,'140000000000',35.4
2001,percentage (%),sn,'140000000000',27.2
2002,percentage (%),sn,'140000000000',23.0
2003,percentage (%),sn,'140000000000',22.8
2004,percentage (%),sn,'140000000000',23.2
2005,percentage (%),sn,'140000000000',21.3
2006,percentage (%),sn,'140000000000',20.9
2007,percentage (%),sn,'140000000000',23.8
2008,percentage (%),sn,'140000000000',22.2
2009,percentage (%),sn,'140000000000',20.9
2010,percentage (%),sn,'140000000000',22.6
2011,percentage (%),sn,'140000000000',23.7
2012,percentage (%),sn,'140000000000',23.0
2013,percentage (%),sn,'140000000000',21.2
2014,percentage (%),sn,'140000000000',20.9
2015,percentage (%),sn,'140000000000',19.3
2016,percentage (%),sn,'140000000000',21.2
2017,percentage (%),sn,'140000000000',20.1
1991,percentage (%),st,'150000000000',42.8
1992,percentage (%),st,'150000000000',54.2
1993,percentage (%),st,'150000000000',53.4
1994,percentage (%),st,'150000000000',54.9
1995,percentage (%),st,'150000000000',52.9
1996,percentage (%),st,'150000000000',44.9
1997,percentage (%),st,'150000000000',41.7
1998,percentage (%),st,'150000000000',41.0
1999,percentage (%),st,'150000000000',36.7
2000,percentage (%),st,'150000000000',33.8
2001,percentage (%),st,'150000000000',25.8
2002,percentage (%),st,'150000000000',23.1
2003,percentage (%),st,'150000000000',22.1
2004,percentage (%),st,'150000000000',22.2
2005,percentage (%),st,'150000000000',20.5
2006,percentage (%),st,'150000000000',19.0
2007,percentage (%),st,'150000000000',19.5
2008,percentage (%),st,'150000000000',19.6
2009,percentage (%),st,'150000000000',21.2
2010,percentage (%),st,'150000000000',19.8
2011,percentage (%),st,'150000000000',18.9
2012,percentage (%),st,'150000000000',19.7
2013,percentage (%),st,'150000000000',18.7
2014,percentage (%),st,'150000000000',18.3
2015,percentage (%),st,'150000000000',18.8
2016,percentage (%),st,'150000000000',19.0
2017,percentage (%),st,'150000000000',18.9
1991,percentage (%),sh,'010000000000',21.7
1992,percentage (%),sh,'010000000000',22.3
1993,percentage (%),sh,'010000000000',21.2
1994,percentage (%),sh,'010000000000',22.1
1995,percentage (%),sh,'010000000000',22.9
1996,percentage (%),sh,'010000000000',21.4
1997,percentage (%),sh,'010000000000',21.8
1998,percentage (%),sh,'010000000000',23.0
1999,percentage (%),sh,'010000000000',23.8
2000,percentage (%),sh,'010000000000',22.8
2001,percentage (%),sh,'010000000000',20.5
2002,percentage (%),sh,'010000000000',18.3
2003,percentage (%),sh,'010000000000',18.1
2004,percentage (%),sh,'010000000000',17.3
2005,percentage (%),sh,'010000000000',17.4
2006,percentage (%),sh,'010000000000',19.8
2007,percentage (%),sh,'010000000000',19.9
2008,percentage (%),sh,'010000000000',19.9
2009,percentage (%),sh,'010000000000',18.6
2010,percentage (%),sh,'010000000000',21.2
2011,percentage (%),sh,'010000000000',22.7
2012,percentage (%),sh,'010000000000',21.5
2013,percentage (%),sh,'010000000000',18.9
2014,percentage (%),sh,'010000000000',21.5
2015,percentage (%),sh,'010000000000',20.6
2016,percentage (%),sh,'010000000000',23.2
2017,percentage (%),sh,'010000000000',21.6
1991,percentage (%),th,'160000000000',45.8
1992,percentage (%),th,'160000000000',52.5
1993,percentage (%),th,'160000000000',55.6
1994,percentage (%),th,'160000000000',55.6
1995,percentage (%),th,'160000000000',50.2
1996,percentage (%),th,'160000000000',39.6
1997,percentage (%),th,'160000000000',38.7
1998,percentage (%),th,'160000000000',36.8
1999,percentage (%),th,'160000000000',38.2
2000,percentage (%),th,'160000000000',34.1
2001,percentage (%),th,'160000000000',31.7
2002,percentage (%),th,'160000000000',26.4
2003,percentage (%),th,'160000000000',26.4
2004,percentage (%),th,'160000000000',22.4
2005,percentage (%),th,'160000000000',23.1
2006,percentage (%),th,'160000000000',23.4
2007,percentage (%),th,'160000000000',24.1
2008,percentage (%),th,'160000000000',26.2
2009,percentage (%),th,'160000000000',22.2
2010,percentage (%),th,'160000000000',21.3
2011,percentage (%),th,'160000000000',22.0
2012,percentage (%),th,'160000000000',21.8
2013,percentage (%),th,'160000000000',20.0
2014,percentage (%),th,'160000000000',20.0
2015,percentage (%),th,'160000000000',19.1
2016,percentage (%),th,'160000000000',20.8
2017,percentage (%),th,'160000000000',19.1
