Year,display,title,Bundesland,GeoCode,Value
2012,time series,electricity generated from renewable energy sources,be,DE3,1.7
2013,time series,electricity generated from renewable energy sources,be,DE3,1.9
2014,time series,electricity generated from renewable energy sources,be,DE3,2.2
2010,time series,electricity generated from renewable energy sources,bw,DE1,14.0
2011,time series,electricity generated from renewable energy sources,bw,DE1,15.5
2012,time series,electricity generated from renewable energy sources,bw,DE1,18.3
2013,time series,electricity generated from renewable energy sources,bw,DE1,19.1
2014,time series,electricity generated from renewable energy sources,bw,DE1,20.0
2015,time series,electricity generated from renewable energy sources,bw,DE1,19.9
2010,time series,electricity generated from renewable energy sources,by,DE2,26.4
2011,time series,electricity generated from renewable energy sources,by,DE2,27.7
2012,time series,electricity generated from renewable energy sources,by,DE2,35.2
2013,time series,electricity generated from renewable energy sources,by,DE2,37.1
2014,time series,electricity generated from renewable energy sources,by,DE2,38.4
2010,time series,electricity generated from renewable energy sources,hb,DE5,7.2
2011,time series,electricity generated from renewable energy sources,hb,DE5,9.0
2012,time series,electricity generated from renewable energy sources,hb,DE5,10.3
2013,time series,electricity generated from renewable energy sources,hb,DE5,13.1
2014,time series,electricity generated from renewable energy sources,hb,DE5,14.2
2015,time series,electricity generated from renewable energy sources,hb,DE5,16.3
2010,time series,electricity generated from renewable energy sources,he,DE7,7.9
2011,time series,electricity generated from renewable energy sources,he,DE7,9.8
2012,time series,electricity generated from renewable energy sources,he,DE7,11.1
2013,time series,electricity generated from renewable energy sources,he,DE7,12.5
2014,time series,electricity generated from renewable energy sources,he,DE7,14.2
2015,time series,electricity generated from renewable energy sources,he,DE7,16.7
2010,time series,electricity generated from renewable energy sources,hh,DE6,2.6
2011,time series,electricity generated from renewable energy sources,hh,DE6,2.8
2012,time series,electricity generated from renewable energy sources,hh,DE6,2.9
2013,time series,electricity generated from renewable energy sources,hh,DE6,2.8
2014,time series,electricity generated from renewable energy sources,hh,DE6,3.7
2015,time series,electricity generated from renewable energy sources,hh,DE6,3.9
2010,time series,electricity generated from renewable energy sources,mv,DE8,56.7
2011,time series,electricity generated from renewable energy sources,mv,DE8,72.9
2012,time series,electricity generated from renewable energy sources,mv,DE8,90.2
2013,time series,electricity generated from renewable energy sources,mv,DE8,91.9
2014,time series,electricity generated from renewable energy sources,mv,DE8,112.0
2010,time series,electricity generated from renewable energy sources,ni,DE9,27.5
2011,time series,electricity generated from renewable energy sources,ni,DE9,34.6
2012,time series,electricity generated from renewable energy sources,ni,DE9,40.2
2013,time series,electricity generated from renewable energy sources,ni,DE9,40.9
2014,time series,electricity generated from renewable energy sources,ni,DE9,45.6
2015,time series,electricity generated from renewable energy sources,ni,DE9,55.4
2010,time series,electricity generated from renewable energy sources,nw,DEA,7.9
2011,time series,electricity generated from renewable energy sources,nw,DEA,8.9
2012,time series,electricity generated from renewable energy sources,nw,DEA,9.7
2013,time series,electricity generated from renewable energy sources,nw,DEA,10.6
2014,time series,electricity generated from renewable energy sources,nw,DEA,10.6
2010,time series,electricity generated from renewable energy sources,rp,DEB,15.2
2011,time series,electricity generated from renewable energy sources,rp,DEB,16.7
2012,time series,electricity generated from renewable energy sources,rp,DEB,20.6
2013,time series,electricity generated from renewable energy sources,rp,DEB,23.1
2014,time series,electricity generated from renewable energy sources,rp,DEB,25.6
2015,time series,electricity generated from renewable energy sources,rp,DEB,30.7
2010,time series,electricity generated from renewable energy sources,sh,DEF,42.3
2011,time series,electricity generated from renewable energy sources,sh,DEF,51.5
2012,time series,electricity generated from renewable energy sources,sh,DEF,63.1
2013,time series,electricity generated from renewable energy sources,sh,DEF,64.2
2014,time series,electricity generated from renewable energy sources,sh,DEF,77.8
2015,time series,electricity generated from renewable energy sources,sh,DEF,113.7
2010,time series,electricity generated from renewable energy sources,sl,DEC,6.8
2011,time series,electricity generated from renewable energy sources,sl,DEC,7.4
2012,time series,electricity generated from renewable energy sources,sl,DEC,7.6
2013,time series,electricity generated from renewable energy sources,sl,DEC,7.6
2014,time series,electricity generated from renewable energy sources,sl,DEC,10.2
2015,time series,electricity generated from renewable energy sources,sl,DEC,11.6
2010,time series,electricity generated from renewable energy sources,sn,DED,13.1
2011,time series,electricity generated from renewable energy sources,sn,DED,15.9
2012,time series,electricity generated from renewable energy sources,sn,DED,16.7
2013,time series,electricity generated from renewable energy sources,sn,DED,18.0
2014,time series,electricity generated from renewable energy sources,sn,DED,19.1
2015,time series,electricity generated from renewable energy sources,sn,DED,21.5
2010,time series,electricity generated from renewable energy sources,st,DEE,41.9
2011,time series,electricity generated from renewable energy sources,st,DEE,49.6
2012,time series,electricity generated from renewable energy sources,st,DEE,53.9
2013,time series,electricity generated from renewable energy sources,st,DEE,57.1
2014,time series,electricity generated from renewable energy sources,st,DEE,62.2
2015,time series,electricity generated from renewable energy sources,st,DEE,71.9
2010,time series,electricity generated from renewable energy sources,th,DEG,19.5
2011,time series,electricity generated from renewable energy sources,th,DEG,23.6
2012,time series,electricity generated from renewable energy sources,th,DEG,25.6
2013,time series,electricity generated from renewable energy sources,th,DEG,28.9
2014,time series,electricity generated from renewable energy sources,th,DEG,30.1
2015,time series,electricity generated from renewable energy sources,th,DEG,34.2
