Year,Units,display,sex,age,Bundesland,GeoCode,Value
2013,percentage (%),a) time series,male and female,20 - 64 years,bw,Baden-Württemberg,80.7
2014,percentage (%),a) time series,male and female,20 - 64 years,bw,Baden-Württemberg,80.9
2015,percentage (%),a) time series,male and female,20 - 64 years,bw,Baden-Württemberg,81.3
2016,percentage (%),a) time series,male and female,20 - 64 years,bw,Baden-Württemberg,81.8
2017,percentage (%),a) time series,male and female,20 - 64 years,bw,Baden-Württemberg,81.9
2018,percentage (%),a) time series,male and female,20 - 64 years,bw,Baden-Württemberg,82.8
2019,percentage (%),a) time series,male and female,20 - 64 years,bw,Baden-Württemberg,83.1
2000,percentage (%),a) time series,female,20 - 64 years,bw,Baden-Württemberg,64.5
2001,percentage (%),a) time series,female,20 - 64 years,bw,Baden-Württemberg,65.3
2002,percentage (%),a) time series,female,20 - 64 years,bw,Baden-Württemberg,65.9
2003,percentage (%),a) time series,female,20 - 64 years,bw,Baden-Württemberg,66.6
2004,percentage (%),a) time series,female,20 - 64 years,bw,Baden-Württemberg,66.5
2005,percentage (%),a) time series,female,20 - 64 years,bw,Baden-Württemberg,66.7
2006,percentage (%),a) time series,female,20 - 64 years,bw,Baden-Württemberg,68.3
2007,percentage (%),a) time series,female,20 - 64 years,bw,Baden-Württemberg,70.5
2008,percentage (%),a) time series,female,20 - 64 years,bw,Baden-Württemberg,71.4
2009,percentage (%),a) time series,female,20 - 64 years,bw,Baden-Württemberg,71.9
2010,percentage (%),a) time series,female,20 - 64 years,bw,Baden-Württemberg,72.3
2011,percentage (%),a) time series,female,20 - 64 years,bw,Baden-Württemberg,74.0
2012,percentage (%),a) time series,female,20 - 64 years,bw,Baden-Württemberg,74.4
2013,percentage (%),a) time series,female,20 - 64 years,bw,Baden-Württemberg,75.4
2014,percentage (%),a) time series,female,20 - 64 years,bw,Baden-Württemberg,76.0
2015,percentage (%),a) time series,female,20 - 64 years,bw,Baden-Württemberg,76.5
2016,percentage (%),a) time series,female,20 - 64 years,bw,Baden-Württemberg,77.3
2017,percentage (%),a) time series,female,20 - 64 years,bw,Baden-Württemberg,77.2
2018,percentage (%),a) time series,female,20 - 64 years,bw,Baden-Württemberg,78.2
2019,percentage (%),a) time series,female,20 - 64 years,bw,Baden-Württemberg,78.6
2000,percentage (%),a) time series,male,20 - 64 years,bw,Baden-Württemberg,81.5
2001,percentage (%),a) time series,male,20 - 64 years,bw,Baden-Württemberg,81.3
2002,percentage (%),a) time series,male,20 - 64 years,bw,Baden-Württemberg,81.1
2003,percentage (%),a) time series,male,20 - 64 years,bw,Baden-Württemberg,80.8
2004,percentage (%),a) time series,male,20 - 64 years,bw,Baden-Württemberg,80.2
2005,percentage (%),a) time series,male,20 - 64 years,bw,Baden-Württemberg,81.3
2006,percentage (%),a) time series,male,20 - 64 years,bw,Baden-Württemberg,82.3
2007,percentage (%),a) time series,male,20 - 64 years,bw,Baden-Württemberg,84.1
2008,percentage (%),a) time series,male,20 - 64 years,bw,Baden-Württemberg,85.3
2009,percentage (%),a) time series,male,20 - 64 years,bw,Baden-Württemberg,83.6
2010,percentage (%),a) time series,male,20 - 64 years,bw,Baden-Württemberg,84.3
2011,percentage (%),a) time series,male,20 - 64 years,bw,Baden-Württemberg,85.8
2012,percentage (%),a) time series,male,20 - 64 years,bw,Baden-Württemberg,85.8
2013,percentage (%),a) time series,male,20 - 64 years,bw,Baden-Württemberg,85.9
2014,percentage (%),a) time series,male,20 - 64 years,bw,Baden-Württemberg,85.7
2015,percentage (%),a) time series,male,20 - 64 years,bw,Baden-Württemberg,86.0
2016,percentage (%),a) time series,male,20 - 64 years,bw,Baden-Württemberg,86.1
2017,percentage (%),a) time series,male,20 - 64 years,bw,Baden-Württemberg,86.5
2018,percentage (%),a) time series,male,20 - 64 years,bw,Baden-Württemberg,87.2
2019,percentage (%),a) time series,male,20 - 64 years,bw,Baden-Württemberg,87.5
2000,percentage (%),a) time series,male and female,20 - 64 years,by,Bayern,73.0
2001,percentage (%),a) time series,male and female,20 - 64 years,by,Bayern,73.8
2002,percentage (%),a) time series,male and female,20 - 64 years,by,Bayern,73.5
2003,percentage (%),a) time series,male and female,20 - 64 years,by,Bayern,72.8
2004,percentage (%),a) time series,male and female,20 - 64 years,by,Bayern,72.5
2005,percentage (%),a) time series,male and female,20 - 64 years,by,Bayern,73.5
2006,percentage (%),a) time series,male and female,20 - 64 years,by,Bayern,75.1
2007,percentage (%),a) time series,male and female,20 - 64 years,by,Bayern,76.2
2008,percentage (%),a) time series,male and female,20 - 64 years,by,Bayern,77.5
2009,percentage (%),a) time series,male and female,20 - 64 years,by,Bayern,77.2
2010,percentage (%),a) time series,male and female,20 - 64 years,by,Bayern,78.2
2011,percentage (%),a) time series,male and female,20 - 64 years,by,Bayern,79.6
2012,percentage (%),a) time series,male and female,20 - 64 years,by,Bayern,80.2
2013,percentage (%),a) time series,male and female,20 - 64 years,by,Bayern,80.7
2014,percentage (%),a) time series,male and female,20 - 64 years,by,Bayern,81.2
2015,percentage (%),a) time series,male and female,20 - 64 years,by,Bayern,81.3
2016,percentage (%),a) time series,male and female,20 - 64 years,by,Bayern,81.8
2017,percentage (%),a) time series,male and female,20 - 64 years,by,Bayern,82.3
2018,percentage (%),a) time series,male and female,20 - 64 years,by,Bayern,82.8
2019,percentage (%),a) time series,male and female,20 - 64 years,by,Bayern,83.5
2000,percentage (%),a) time series,female,20 - 64 years,by,Bayern,64.6
2001,percentage (%),a) time series,female,20 - 64 years,by,Bayern,66.0
2002,percentage (%),a) time series,female,20 - 64 years,by,Bayern,65.9
2003,percentage (%),a) time series,female,20 - 64 years,by,Bayern,65.4
2004,percentage (%),a) time series,female,20 - 64 years,by,Bayern,65.6
2005,percentage (%),a) time series,female,20 - 64 years,by,Bayern,66.0
2006,percentage (%),a) time series,female,20 - 64 years,by,Bayern,67.9
2007,percentage (%),a) time series,female,20 - 64 years,by,Bayern,69.0
2008,percentage (%),a) time series,female,20 - 64 years,by,Bayern,70.4
2009,percentage (%),a) time series,female,20 - 64 years,by,Bayern,70.8
2010,percentage (%),a) time series,female,20 - 64 years,by,Bayern,72.0
2011,percentage (%),a) time series,female,20 - 64 years,by,Bayern,73.9
2012,percentage (%),a) time series,female,20 - 64 years,by,Bayern,74.5
2013,percentage (%),a) time series,female,20 - 64 years,by,Bayern,75.2
2014,percentage (%),a) time series,female,20 - 64 years,by,Bayern,76.2
2015,percentage (%),a) time series,female,20 - 64 years,by,Bayern,76.3
2016,percentage (%),a) time series,female,20 - 64 years,by,Bayern,77.2
2017,percentage (%),a) time series,female,20 - 64 years,by,Bayern,77.6
2018,percentage (%),a) time series,female,20 - 64 years,by,Bayern,78.0
2019,percentage (%),a) time series,female,20 - 64 years,by,Bayern,79.1
2000,percentage (%),a) time series,male,20 - 64 years,by,Bayern,81.3
2001,percentage (%),a) time series,male,20 - 64 years,by,Bayern,81.6
2002,percentage (%),a) time series,male,20 - 64 years,by,Bayern,80.9
2003,percentage (%),a) time series,male,20 - 64 years,by,Bayern,80.2
2004,percentage (%),a) time series,male,20 - 64 years,by,Bayern,79.3
2005,percentage (%),a) time series,male,20 - 64 years,by,Bayern,80.9
2006,percentage (%),a) time series,male,20 - 64 years,by,Bayern,82.1
2007,percentage (%),a) time series,male,20 - 64 years,by,Bayern,83.3
2008,percentage (%),a) time series,male,20 - 64 years,by,Bayern,84.6
2009,percentage (%),a) time series,male,20 - 64 years,by,Bayern,83.6
2010,percentage (%),a) time series,male,20 - 64 years,by,Bayern,84.4
2011,percentage (%),a) time series,male,20 - 64 years,by,Bayern,85.3
2012,percentage (%),a) time series,male,20 - 64 years,by,Bayern,85.9
2013,percentage (%),a) time series,male,20 - 64 years,by,Bayern,86.1
2014,percentage (%),a) time series,male,20 - 64 years,by,Bayern,86.1
2015,percentage (%),a) time series,male,20 - 64 years,by,Bayern,86.1
2016,percentage (%),a) time series,male,20 - 64 years,by,Bayern,86.3
2017,percentage (%),a) time series,male,20 - 64 years,by,Bayern,86.8
2018,percentage (%),a) time series,male,20 - 64 years,by,Bayern,87.4
2019,percentage (%),a) time series,male,20 - 64 years,by,Bayern,87.7
2000,percentage (%),a) time series,male and female,20 - 64 years,be,Berlin,63.5
2001,percentage (%),a) time series,male and female,20 - 64 years,be,Berlin,63.9
2002,percentage (%),a) time series,male and female,20 - 64 years,be,Berlin,63.4
2003,percentage (%),a) time series,male and female,20 - 64 years,be,Berlin,61.5
2004,percentage (%),a) time series,male and female,20 - 64 years,be,Berlin,61.0
2005,percentage (%),a) time series,male and female,20 - 64 years,be,Berlin,62.1
2006,percentage (%),a) time series,male and female,20 - 64 years,be,Berlin,63.1
2007,percentage (%),a) time series,male and female,20 - 64 years,be,Berlin,65.5
2008,percentage (%),a) time series,male and female,20 - 64 years,be,Berlin,66.1
2009,percentage (%),a) time series,male and female,20 - 64 years,be,Berlin,68.3
2010,percentage (%),a) time series,male and female,20 - 64 years,be,Berlin,69.3
2011,percentage (%),a) time series,male and female,20 - 64 years,be,Berlin,70.6
2012,percentage (%),a) time series,male and female,20 - 64 years,be,Berlin,71.7
2013,percentage (%),a) time series,male and female,20 - 64 years,be,Berlin,72.0
2014,percentage (%),a) time series,male and female,20 - 64 years,be,Berlin,72.4
2015,percentage (%),a) time series,male and female,20 - 64 years,be,Berlin,72.5
2016,percentage (%),a) time series,male and female,20 - 64 years,be,Berlin,75.2
2017,percentage (%),a) time series,male and female,20 - 64 years,be,Berlin,76.2
2018,percentage (%),a) time series,male and female,20 - 64 years,be,Berlin,77.7
2019,percentage (%),a) time series,male and female,20 - 64 years,be,Berlin,78.5
2000,percentage (%),a) time series,female,20 - 64 years,be,Berlin,60.0
2001,percentage (%),a) time series,female,20 - 64 years,be,Berlin,60.5
2002,percentage (%),a) time series,female,20 - 64 years,be,Berlin,60.6
2003,percentage (%),a) time series,female,20 - 64 years,be,Berlin,58.4
2004,percentage (%),a) time series,female,20 - 64 years,be,Berlin,58.9
2005,percentage (%),a) time series,female,20 - 64 years,be,Berlin,60.1
2006,percentage (%),a) time series,female,20 - 64 years,be,Berlin,61.0
2007,percentage (%),a) time series,female,20 - 64 years,be,Berlin,63.1
2008,percentage (%),a) time series,female,20 - 64 years,be,Berlin,63.6
2009,percentage (%),a) time series,female,20 - 64 years,be,Berlin,66.1
2010,percentage (%),a) time series,female,20 - 64 years,be,Berlin,66.8
2011,percentage (%),a) time series,female,20 - 64 years,be,Berlin,68.1
2012,percentage (%),a) time series,female,20 - 64 years,be,Berlin,68.6
2013,percentage (%),a) time series,female,20 - 64 years,be,Berlin,69.3
2014,percentage (%),a) time series,female,20 - 64 years,be,Berlin,70.0
2015,percentage (%),a) time series,female,20 - 64 years,be,Berlin,69.8
2016,percentage (%),a) time series,female,20 - 64 years,be,Berlin,72.2
2017,percentage (%),a) time series,female,20 - 64 years,be,Berlin,72.7
2018,percentage (%),a) time series,female,20 - 64 years,be,Berlin,74.4
2019,percentage (%),a) time series,female,20 - 64 years,be,Berlin,75.0
2000,percentage (%),a) time series,male,20 - 64 years,be,Berlin,67.1
2001,percentage (%),a) time series,male,20 - 64 years,be,Berlin,67.1
2002,percentage (%),a) time series,male,20 - 64 years,be,Berlin,66.3
2003,percentage (%),a) time series,male,20 - 64 years,be,Berlin,64.6
2004,percentage (%),a) time series,male,20 - 64 years,be,Berlin,63.0
2005,percentage (%),a) time series,male,20 - 64 years,be,Berlin,64.1
2006,percentage (%),a) time series,male,20 - 64 years,be,Berlin,65.2
2007,percentage (%),a) time series,male,20 - 64 years,be,Berlin,67.9
2008,percentage (%),a) time series,male,20 - 64 years,be,Berlin,68.6
2009,percentage (%),a) time series,male,20 - 64 years,be,Berlin,70.4
2010,percentage (%),a) time series,male,20 - 64 years,be,Berlin,71.7
2011,percentage (%),a) time series,male,20 - 64 years,be,Berlin,73.1
2012,percentage (%),a) time series,male,20 - 64 years,be,Berlin,74.8
2013,percentage (%),a) time series,male,20 - 64 years,be,Berlin,74.7
2014,percentage (%),a) time series,male,20 - 64 years,be,Berlin,74.8
2015,percentage (%),a) time series,male,20 - 64 years,be,Berlin,75.1
2016,percentage (%),a) time series,male,20 - 64 years,be,Berlin,78.2
2017,percentage (%),a) time series,male,20 - 64 years,be,Berlin,79.6
2018,percentage (%),a) time series,male,20 - 64 years,be,Berlin,80.9
2019,percentage (%),a) time series,male,20 - 64 years,be,Berlin,81.9
2000,percentage (%),a) time series,male and female,20 - 64 years,bb,Brandenburg,66.6
2001,percentage (%),a) time series,male and female,20 - 64 years,bb,Brandenburg,65.5
2002,percentage (%),a) time series,male and female,20 - 64 years,bb,Brandenburg,65.4
2003,percentage (%),a) time series,male and female,20 - 64 years,bb,Brandenburg,65.6
2004,percentage (%),a) time series,male and female,20 - 64 years,bb,Brandenburg,65.6
2005,percentage (%),a) time series,male and female,20 - 64 years,bb,Brandenburg,67.1
2006,percentage (%),a) time series,male and female,20 - 64 years,bb,Brandenburg,70.0
2007,percentage (%),a) time series,male and female,20 - 64 years,bb,Brandenburg,72.5
2008,percentage (%),a) time series,male and female,20 - 64 years,bb,Brandenburg,74.3
2009,percentage (%),a) time series,male and female,20 - 64 years,bb,Brandenburg,74.9
2010,percentage (%),a) time series,male and female,20 - 64 years,bb,Brandenburg,76.1
2011,percentage (%),a) time series,male and female,20 - 64 years,bb,Brandenburg,77.0
2012,percentage (%),a) time series,male and female,20 - 64 years,bb,Brandenburg,77.0
2013,percentage (%),a) time series,male and female,20 - 64 years,bb,Brandenburg,77.9
2014,percentage (%),a) time series,male and female,20 - 64 years,bb,Brandenburg,77.9
2015,percentage (%),a) time series,male and female,20 - 64 years,bb,Brandenburg,78.8
2016,percentage (%),a) time series,male and female,20 - 64 years,bb,Brandenburg,80.3
2017,percentage (%),a) time series,male and female,20 - 64 years,bb,Brandenburg,80.7
2018,percentage (%),a) time series,male and female,20 - 64 years,bb,Brandenburg,81.2
2019,percentage (%),a) time series,male and female,20 - 64 years,bb,Brandenburg,81.9
2000,percentage (%),a) time series,female,20 - 64 years,bb,Brandenburg,62.2
2001,percentage (%),a) time series,female,20 - 64 years,bb,Brandenburg,61.7
2002,percentage (%),a) time series,female,20 - 64 years,bb,Brandenburg,62.0
2003,percentage (%),a) time series,female,20 - 64 years,bb,Brandenburg,63.7
2004,percentage (%),a) time series,female,20 - 64 years,bb,Brandenburg,63.9
2005,percentage (%),a) time series,female,20 - 64 years,bb,Brandenburg,64.5
2006,percentage (%),a) time series,female,20 - 64 years,bb,Brandenburg,68.1
2007,percentage (%),a) time series,female,20 - 64 years,bb,Brandenburg,69.7
2008,percentage (%),a) time series,female,20 - 64 years,bb,Brandenburg,71.3
2009,percentage (%),a) time series,female,20 - 64 years,bb,Brandenburg,72.6
2010,percentage (%),a) time series,female,20 - 64 years,bb,Brandenburg,74.0
2011,percentage (%),a) time series,female,20 - 64 years,bb,Brandenburg,75.3
2012,percentage (%),a) time series,female,20 - 64 years,bb,Brandenburg,74.6
2013,percentage (%),a) time series,female,20 - 64 years,bb,Brandenburg,75.8
2014,percentage (%),a) time series,female,20 - 64 years,bb,Brandenburg,75.6
2015,percentage (%),a) time series,female,20 - 64 years,bb,Brandenburg,76.3
2016,percentage (%),a) time series,female,20 - 64 years,bb,Brandenburg,78.7
2017,percentage (%),a) time series,female,20 - 64 years,bb,Brandenburg,79.8
2018,percentage (%),a) time series,female,20 - 64 years,bb,Brandenburg,80.3
2019,percentage (%),a) time series,female,20 - 64 years,bb,Brandenburg,80.4
2000,percentage (%),a) time series,male,20 - 64 years,bb,Brandenburg,70.9
2001,percentage (%),a) time series,male,20 - 64 years,bb,Brandenburg,69.2
2002,percentage (%),a) time series,male,20 - 64 years,bb,Brandenburg,68.8
2003,percentage (%),a) time series,male,20 - 64 years,bb,Brandenburg,67.4
2004,percentage (%),a) time series,male,20 - 64 years,bb,Brandenburg,67.2
2005,percentage (%),a) time series,male,20 - 64 years,bb,Brandenburg,69.7
2006,percentage (%),a) time series,male,20 - 64 years,bb,Brandenburg,71.9
2007,percentage (%),a) time series,male,20 - 64 years,bb,Brandenburg,75.2
2008,percentage (%),a) time series,male,20 - 64 years,bb,Brandenburg,77.1
2009,percentage (%),a) time series,male,20 - 64 years,bb,Brandenburg,77.2
2010,percentage (%),a) time series,male,20 - 64 years,bb,Brandenburg,78.1
2011,percentage (%),a) time series,male,20 - 64 years,bb,Brandenburg,78.6
2012,percentage (%),a) time series,male,20 - 64 years,bb,Brandenburg,79.3
2013,percentage (%),a) time series,male,20 - 64 years,bb,Brandenburg,79.9
2014,percentage (%),a) time series,male,20 - 64 years,bb,Brandenburg,80.1
2015,percentage (%),a) time series,male,20 - 64 years,bb,Brandenburg,81.2
2016,percentage (%),a) time series,male,20 - 64 years,bb,Brandenburg,81.9
2017,percentage (%),a) time series,male,20 - 64 years,bb,Brandenburg,81.5
2018,percentage (%),a) time series,male,20 - 64 years,bb,Brandenburg,82.0
2019,percentage (%),a) time series,male,20 - 64 years,bb,Brandenburg,83.4
2000,percentage (%),a) time series,male and female,20 - 64 years,hb,Bremen,64.4
2001,percentage (%),a) time series,male and female,20 - 64 years,hb,Bremen,65.2
2002,percentage (%),a) time series,male and female,20 - 64 years,hb,Bremen,64.8
2003,percentage (%),a) time series,male and female,20 - 64 years,hb,Bremen,65.3
2004,percentage (%),a) time series,male and female,20 - 64 years,hb,Bremen,62.0
2005,percentage (%),a) time series,male and female,20 - 64 years,hb,Bremen,62.5
2006,percentage (%),a) time series,male and female,20 - 64 years,hb,Bremen,65.0
2007,percentage (%),a) time series,male and female,20 - 64 years,hb,Bremen,68.3
2008,percentage (%),a) time series,male and female,20 - 64 years,hb,Bremen,68.5
2009,percentage (%),a) time series,male and female,20 - 64 years,hb,Bremen,67.9
2010,percentage (%),a) time series,male and female,20 - 64 years,hb,Bremen,70.0
2011,percentage (%),a) time series,male and female,20 - 64 years,hb,Bremen,70.8
2012,percentage (%),a) time series,male and female,20 - 64 years,hb,Bremen,72.2
2013,percentage (%),a) time series,male and female,20 - 64 years,hb,Bremen,71.7
2014,percentage (%),a) time series,male and female,20 - 64 years,hb,Bremen,72.1
2015,percentage (%),a) time series,male and female,20 - 64 years,hb,Bremen,72.0
2016,percentage (%),a) time series,male and female,20 - 64 years,hb,Bremen,74.8
2017,percentage (%),a) time series,male and female,20 - 64 years,hb,Bremen,75.3
2018,percentage (%),a) time series,male and female,20 - 64 years,hb,Bremen,75.5
2019,percentage (%),a) time series,male and female,20 - 64 years,hb,Bremen,75.8
2000,percentage (%),a) time series,female,20 - 64 years,hb,Bremen,57.8
2001,percentage (%),a) time series,female,20 - 64 years,hb,Bremen,59.0
2002,percentage (%),a) time series,female,20 - 64 years,hb,Bremen,58.8
2003,percentage (%),a) time series,female,20 - 64 years,hb,Bremen,60.4
2004,percentage (%),a) time series,female,20 - 64 years,hb,Bremen,57.3
2005,percentage (%),a) time series,female,20 - 64 years,hb,Bremen,57.2
2006,percentage (%),a) time series,female,20 - 64 years,hb,Bremen,60.1
2007,percentage (%),a) time series,female,20 - 64 years,hb,Bremen,63.5
2008,percentage (%),a) time series,female,20 - 64 years,hb,Bremen,63.8
2009,percentage (%),a) time series,female,20 - 64 years,hb,Bremen,65.5
2010,percentage (%),a) time series,female,20 - 64 years,hb,Bremen,66.8
2011,percentage (%),a) time series,female,20 - 64 years,hb,Bremen,67.5
2012,percentage (%),a) time series,female,20 - 64 years,hb,Bremen,67.1
2013,percentage (%),a) time series,female,20 - 64 years,hb,Bremen,67.7
2014,percentage (%),a) time series,female,20 - 64 years,hb,Bremen,68.1
2015,percentage (%),a) time series,female,20 - 64 years,hb,Bremen,69.0
2016,percentage (%),a) time series,female,20 - 64 years,hb,Bremen,70.8
2017,percentage (%),a) time series,female,20 - 64 years,hb,Bremen,71.7
2018,percentage (%),a) time series,female,20 - 64 years,hb,Bremen,71.5
2019,percentage (%),a) time series,female,20 - 64 years,hb,Bremen,71.3
2000,percentage (%),a) time series,male,20 - 64 years,hb,Bremen,71.0
2001,percentage (%),a) time series,male,20 - 64 years,hb,Bremen,71.5
2002,percentage (%),a) time series,male,20 - 64 years,hb,Bremen,70.8
2003,percentage (%),a) time series,male,20 - 64 years,hb,Bremen,70.2
2004,percentage (%),a) time series,male,20 - 64 years,hb,Bremen,66.7
2005,percentage (%),a) time series,male,20 - 64 years,hb,Bremen,67.7
2006,percentage (%),a) time series,male,20 - 64 years,hb,Bremen,69.8
2007,percentage (%),a) time series,male,20 - 64 years,hb,Bremen,73.0
2008,percentage (%),a) time series,male,20 - 64 years,hb,Bremen,73.2
2009,percentage (%),a) time series,male,20 - 64 years,hb,Bremen,70.4
2010,percentage (%),a) time series,male,20 - 64 years,hb,Bremen,73.2
2011,percentage (%),a) time series,male,20 - 64 years,hb,Bremen,74.1
2012,percentage (%),a) time series,male,20 - 64 years,hb,Bremen,77.3
2013,percentage (%),a) time series,male,20 - 64 years,hb,Bremen,75.8
2014,percentage (%),a) time series,male,20 - 64 years,hb,Bremen,76.0
2015,percentage (%),a) time series,male,20 - 64 years,hb,Bremen,75.0
2016,percentage (%),a) time series,male,20 - 64 years,hb,Bremen,78.5
2017,percentage (%),a) time series,male,20 - 64 years,hb,Bremen,78.7
2018,percentage (%),a) time series,male,20 - 64 years,hb,Bremen,79.2
2019,percentage (%),a) time series,male,20 - 64 years,hb,Bremen,80.1
2000,percentage (%),a) time series,male and female,20 - 64 years,hh,Hamburg,69.4
2001,percentage (%),a) time series,male and female,20 - 64 years,hh,Hamburg,69.8
2002,percentage (%),a) time series,male and female,20 - 64 years,hh,Hamburg,67.7
2003,percentage (%),a) time series,male and female,20 - 64 years,hh,Hamburg,67.5
2004,percentage (%),a) time series,male and female,20 - 64 years,hh,Hamburg,67.5
2005,percentage (%),a) time series,male and female,20 - 64 years,hh,Hamburg,70.0
2006,percentage (%),a) time series,male and female,20 - 64 years,hh,Hamburg,71.6
2007,percentage (%),a) time series,male and female,20 - 64 years,hh,Hamburg,73.2
2008,percentage (%),a) time series,male and female,20 - 64 years,hh,Hamburg,74.0
2009,percentage (%),a) time series,male and female,20 - 64 years,hh,Hamburg,74.6
