Year,Units,display,title,dimension,Bundesland,GeoCode,Value
2012,ha/d,time series,expansion of settlement and transport area,transport area,,,10.86
2013,ha/d,time series,expansion of settlement and transport area,transport area,,,18.52
2014,ha/d,time series,expansion of settlement and transport area,transport area,,,23.44
2015,ha/d,time series,expansion of settlement and transport area,transport area,,,9.77
1996,ha/d,time series,expansion of settlement and transport area,,,,119.58
1997,ha/d,time series,expansion of settlement and transport area,,,,124.25
1998,ha/d,time series,expansion of settlement and transport area,,,,130.62
1999,ha/d,time series,expansion of settlement and transport area,,,,130.65
2000,ha/d,time series,expansion of settlement and transport area,,,,131.1
2001,ha/d,time series,expansion of settlement and transport area,,,,121.1
2002,ha/d,time series,expansion of settlement and transport area,,,,109.32
2003,ha/d,time series,expansion of settlement and transport area,,,,98.9
2004,ha/d,time series,expansion of settlement and transport area,,,,131.15
2005,ha/d,time series,expansion of settlement and transport area,,,,117.53
2006,ha/d,time series,expansion of settlement and transport area,,,,105.75
2007,ha/d,time series,expansion of settlement and transport area,,,,96.71
2008,ha/d,time series,expansion of settlement and transport area,,,,95.08
2009,ha/d,time series,expansion of settlement and transport area,,,,78.08
2010,ha/d,time series,expansion of settlement and transport area,,,,76.71
2011,ha/d,time series,expansion of settlement and transport area,,,,73.62
2012,ha/d,time series,expansion of settlement and transport area,,,,69.35
2013,ha/d,time series,expansion of settlement and transport area,,,,70.59
2014,ha/d,time series,expansion of settlement and transport area,,,,63.27
2015,ha/d,time series,expansion of settlement and transport area,,,,61.01
2010,ha/d,time series,expansion of settlement and transport area,,bb,DE4,4.8
2011,ha/d,time series,expansion of settlement and transport area,,bb,DE4,3.2
2012,ha/d,time series,expansion of settlement and transport area,,bb,DE4,3.6
2013,ha/d,time series,expansion of settlement and transport area,,bb,DE4,11.2
2014,ha/d,time series,expansion of settlement and transport area,,bb,DE4,2.9
2015,ha/d,time series,expansion of settlement and transport area,,bb,DE4,1.9
2010,ha/d,time series,expansion of settlement and transport area,,be,DE3,0.3
2011,ha/d,time series,expansion of settlement and transport area,,be,DE3,0.2
2012,ha/d,time series,expansion of settlement and transport area,,be,DE3,-0.6
2013,ha/d,time series,expansion of settlement and transport area,,be,DE3,0.3
2014,ha/d,time series,expansion of settlement and transport area,,be,DE3,0.0
2015,ha/d,time series,expansion of settlement and transport area,,be,DE3,0.0
2010,ha/d,time series,expansion of settlement and transport area,,bw,DE1,6.7
2011,ha/d,time series,expansion of settlement and transport area,,bw,DE1,6.3
2012,ha/d,time series,expansion of settlement and transport area,,bw,DE1,6.7
2013,ha/d,time series,expansion of settlement and transport area,,bw,DE1,5.3
2014,ha/d,time series,expansion of settlement and transport area,,bw,DE1,5.2
2015,ha/d,time series,expansion of settlement and transport area,,bw,DE1,5.2
2010,ha/d,time series,expansion of settlement and transport area,,by,DE2,20.8
2011,ha/d,time series,expansion of settlement and transport area,,by,DE2,18.0
2012,ha/d,time series,expansion of settlement and transport area,,by,DE2,12.0
2013,ha/d,time series,expansion of settlement and transport area,,by,DE2,12.6
2014,ha/d,time series,expansion of settlement and transport area,,by,DE2,10.8
2015,ha/d,time series,expansion of settlement and transport area,,by,DE2,13.1
2010,ha/d,time series,expansion of settlement and transport area,,hb,DE5,0.2
2011,ha/d,time series,expansion of settlement and transport area,,hb,DE5,0.2
2012,ha/d,time series,expansion of settlement and transport area,,hb,DE5,0.6
2013,ha/d,time series,expansion of settlement and transport area,,hb,DE5,0.0
2014,ha/d,time series,expansion of settlement and transport area,,hb,DE5,0.1
2015,ha/d,time series,expansion of settlement and transport area,,hb,DE5,0.0
2010,ha/d,time series,expansion of settlement and transport area,,he,DE7,3.6
2011,ha/d,time series,expansion of settlement and transport area,,he,DE7,1.4
2012,ha/d,time series,expansion of settlement and transport area,,he,DE7,3.7
2013,ha/d,time series,expansion of settlement and transport area,,he,DE7,2.2
2014,ha/d,time series,expansion of settlement and transport area,,he,DE7,3.6
2015,ha/d,time series,expansion of settlement and transport area,,he,DE7,2.5
2010,ha/d,time series,expansion of settlement and transport area,,hh,DE6,0.2
2011,ha/d,time series,expansion of settlement and transport area,,hh,DE6,0.0
2012,ha/d,time series,expansion of settlement and transport area,,hh,DE6,0.2
2013,ha/d,time series,expansion of settlement and transport area,,hh,DE6,0.4
2014,ha/d,time series,expansion of settlement and transport area,,hh,DE6,-0.6
2015,ha/d,time series,expansion of settlement and transport area,,hh,DE6,-0.9
2010,ha/d,time series,expansion of settlement and transport area,,mv,DE8,7.1
2011,ha/d,time series,expansion of settlement and transport area,,mv,DE8,2.7
2012,ha/d,time series,expansion of settlement and transport area,,mv,DE8,3.1
2013,ha/d,time series,expansion of settlement and transport area,,mv,DE8,2.1
2010,ha/d,time series,expansion of settlement and transport area,,ni,DE9,8.0
2011,ha/d,time series,expansion of settlement and transport area,,ni,DE9,14.8
2012,ha/d,time series,expansion of settlement and transport area,,ni,DE9,9.8
2013,ha/d,time series,expansion of settlement and transport area,,ni,DE9,9.2
2014,ha/d,time series,expansion of settlement and transport area,,ni,DE9,10.3
2015,ha/d,time series,expansion of settlement and transport area,,ni,DE9,9.5
2010,ha/d,time series,expansion of settlement and transport area,,nw,DEA,11.5
2011,ha/d,time series,expansion of settlement and transport area,,nw,DEA,10.0
2012,ha/d,time series,expansion of settlement and transport area,,nw,DEA,10.4
2013,ha/d,time series,expansion of settlement and transport area,,nw,DEA,9.3
2014,ha/d,time series,expansion of settlement and transport area,,nw,DEA,9.0
2015,ha/d,time series,expansion of settlement and transport area,,nw,DEA,9.3
2010,ha/d,time series,expansion of settlement and transport area,,rp,DEB,0.5
2011,ha/d,time series,expansion of settlement and transport area,,rp,DEB,1.0
2012,ha/d,time series,expansion of settlement and transport area,,rp,DEB,1.5
2013,ha/d,time series,expansion of settlement and transport area,,rp,DEB,1.4
2014,ha/d,time series,expansion of settlement and transport area,,rp,DEB,0.6
2015,ha/d,time series,expansion of settlement and transport area,,rp,DEB,-1.0
2010,ha/d,time series,expansion of settlement and transport area,,sh,DEF,3.0
2011,ha/d,time series,expansion of settlement and transport area,,sh,DEF,4.8
2012,ha/d,time series,expansion of settlement and transport area,,sh,DEF,2.3
2013,ha/d,time series,expansion of settlement and transport area,,sh,DEF,2.7
2014,ha/d,time series,expansion of settlement and transport area,,sh,DEF,2.9
2015,ha/d,time series,expansion of settlement and transport area,,sh,DEF,2.8
2010,ha/d,time series,expansion of settlement and transport area,,sl,DEC,1.0
2011,ha/d,time series,expansion of settlement and transport area,,sl,DEC,0.5
2012,ha/d,time series,expansion of settlement and transport area,,sl,DEC,0.3
2013,ha/d,time series,expansion of settlement and transport area,,sl,DEC,0.3
2014,ha/d,time series,expansion of settlement and transport area,,sl,DEC,0.4
2015,ha/d,time series,expansion of settlement and transport area,,sl,DEC,0.1
2010,ha/d,time series,expansion of settlement and transport area,,sn,DED,6.9
2011,ha/d,time series,expansion of settlement and transport area,,sn,DED,6.0
2012,ha/d,time series,expansion of settlement and transport area,,sn,DED,5.7
2013,ha/d,time series,expansion of settlement and transport area,,sn,DED,2.9
2010,ha/d,time series,expansion of settlement and transport area,,st,DEE,-1.6
2011,ha/d,time series,expansion of settlement and transport area,,st,DEE,-0.6
2012,ha/d,time series,expansion of settlement and transport area,,st,DEE,-0.4
2013,ha/d,time series,expansion of settlement and transport area,,st,DEE,0.2
2014,ha/d,time series,expansion of settlement and transport area,,st,DEE,1.8
2015,ha/d,time series,expansion of settlement and transport area,,st,DEE,0.5
2010,ha/d,time series,expansion of settlement and transport area,,th,DEG,3.7
2011,ha/d,time series,expansion of settlement and transport area,,th,DEG,5.1
2012,ha/d,time series,expansion of settlement and transport area,,th,DEG,5.4
2013,ha/d,time series,expansion of settlement and transport area,,th,DEG,2.6
2014,ha/d,time series,expansion of settlement and transport area,,th,DEG,8.3
2015,ha/d,time series,expansion of settlement and transport area,,th,DEG,2.5
1996,ha/d,time series,expansion of settlement and transport area,,,,119.6
1997,ha/d,time series,expansion of settlement and transport area,,,,120.7
1998,ha/d,time series,expansion of settlement and transport area,,,,123.5
1999,ha/d,time series,expansion of settlement and transport area,,,,126.3
2000,ha/d,time series,expansion of settlement and transport area,,,,129.1
2001,ha/d,time series,expansion of settlement and transport area,,,,128.3
2002,ha/d,time series,expansion of settlement and transport area,,,,123.1
2003,ha/d,time series,expansion of settlement and transport area,,,,115.1
2004,ha/d,time series,expansion of settlement and transport area,,,,115.1
2005,ha/d,time series,expansion of settlement and transport area,,,,114.3
2006,ha/d,time series,expansion of settlement and transport area,,,,113.3
2007,ha/d,time series,expansion of settlement and transport area,,,,112.8
2008,ha/d,time series,expansion of settlement and transport area,,,,103.8
2009,ha/d,time series,expansion of settlement and transport area,,,,93.9
2010,ha/d,time series,expansion of settlement and transport area,,,,86.6
2011,ha/d,time series,expansion of settlement and transport area,,,,80.9
2012,ha/d,time series,expansion of settlement and transport area,,,,74.4
2013,ha/d,time series,expansion of settlement and transport area,,,,72.6
2014,ha/d,time series,expansion of settlement and transport area,,,,69.2
2015,ha/d,time series,expansion of settlement and transport area,,,,66.1
2016,ha/d,time series,expansion of settlement and transport area,,,,61.5
2030,ha/d,target (max),expansion of settlement and transport area,,,,30.0
